ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,41e0ff39-da7c-451a-8f08-82d3a9b369f2,1,,,3749257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d8c32d32-494b-4ae1-bb0c-d2f738952e3c,2,,,3749257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 40236, 'name': 'Ian Walker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40243, 'name': 'Frank Mohammed Sinclair'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 40241, 'name': 'Matt Heath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 24798, 'name': 'Nikos Dabizas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 40239, 'name': 'Jordan Stewart'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 15049, 'name': 'Billy McKinlay'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 40238, 'name': 'Lilian Nalis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 15173, 'name': 'Steffen Freund'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 40237, 'name': 'James Scowcroft'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 40242, 'name': 'Marcus Bent'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 40240, 'name': 'Paul Dickov'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6e678cba-67c3-4e9a-acca-78ab69b7d68b,3,,,3749257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['b31e69b0-a75e-4721-b023-c06094ddcfa0'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b31e69b0-a75e-4721-b023-c06094ddcfa0,4,,,3749257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['6e678cba-67c3-4e9a-acca-78ab69b7d68b'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,07ac9328-eaaa-4b49-8924-067345bb74f7,1816,,,3749257,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Arsenal,1,['257a5b56-ea14-4cc5-8adf-5ea82b41c3f8'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,257a5b56-ea14-4cc5-8adf-5ea82b41c3f8,1817,,,3749257,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Arsenal,1,['07ac9328-eaaa-4b49-8924-067345bb74f7'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.238292,,,,,,,,,,,,,,,0613063a-1cd4-4a18-83a7-9722be2d9f40,5,,"[61.0, 40.1]",3749257,0,,,,,-1.6614562,,Left Foot,,,"[60.9, 39.0]",,Ground Pass,,1.104536,,,,,Marcus Bent,40242.0,,,,,,Kick Off,1,From Kick Off,Paul Dickov,40240.0,Left Center Forward,2,Leicester City,22,['500a6fd9-61c7-4b61-bb3c-8e6605c24084'],1,,,,,,,,,,,,,,,,,Leicester City,22,00:00:01.036,Pass,
,,,,,,,,,,,,,,,,0.981739,,,,,,,,,,,,,,,9905bb84-10f3-454e-b006-24fc3adba708,7,,"[60.9, 39.0]",3749257,0,,,,,2.6511316,,Right Foot,,,"[50.6, 44.5]",,Ground Pass,,11.676472,,,,,Billy McKinlay,15049.0,,,,,,,1,From Kick Off,Marcus Bent,40242.0,Right Center Forward,2,Leicester City,22,['6881fd16-ba43-4689-b6bb-91a94ccf865a'],1,,,,,,,,,,,,,,,,,Leicester City,22,00:00:01.274,Pass,
,,,,,,,,,,,,,,,,1.502268,,,,,,,,,,,,,,,32b8c47b-4410-4e2a-874c-c1711a74f758,10,,"[49.6, 43.9]",3749257,0,,,,,-1.867504,,Right Foot,,,"[40.0, 12.5]",,Ground Pass,,32.834736,,,,,Jordan Stewart,40239.0,,,,,,,1,From Kick Off,Billy McKinlay,15049.0,Right Defensive Midfield,2,Leicester City,22,['c3f8411c-aa45-4723-9b67-60b6f4fc396e'],3,,,,,,,,,,,,,,,,,Leicester City,22,00:00:03.509,Pass,
,,,,,,,,,,,,,,,,1.254016,,,,,,,,,,,,,,,df42110c-c91e-4b5a-92d9-21d0a15b9923,13,,"[35.8, 13.4]",3749257,0,,,,,2.0576956,,Left Foot,,,"[27.7, 28.7]",,Ground Pass,,17.311846,,,,,Matt Heath,40241.0,,,,,,,1,From Kick Off,Jordan Stewart,40239.0,Left Back,2,Leicester City,22,['3d980900-8982-4efe-8a5b-75ed278cbeef'],6,,,,,,,,,,,,,,,,,Leicester City,22,00:00:06.158,Pass,
