50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c4abeba1-b103-452d-a4a5-15a7ca014951,1,,,3749117,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 19497, 'name': 'Nigel Martyn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 129558, 'name': 'Tony Hibbert'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 40285, 'name': 'Alan Stubbs'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 40281, 'name': 'David Unsworth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 40282, 'name': 'Gary Naysmith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 40287, 'name': 'Tie Li'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 375066, 'name': 'Lee Carsley'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 375070, 'name': 'Kevin Kilbane'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 40286, 'name': 'Tomasz Radziński'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 24794, 'name': 'Duncan Ferguson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7264f166-2dc1-4abc-85a0-4dd2107e3de4,2,,,3749117,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 26194, 'name': 'Pascal Cygan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 24971, 'name': 'Nwankwo Christian Kanu'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 25}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7ee1f400-421c-4c1e-b362-b7d1af724da6,3,,,3749117,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['2ef8a692-a453-4191-a489-863158594de6'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2ef8a692-a453-4191-a489-863158594de6,4,,,3749117,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['7ee1f400-421c-4c1e-b362-b7d1af724da6'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,995b9f26-76e1-4088-a80d-068af9e41cdb,1587,,,3749117,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,118,Arsenal,1,['a22f9ee9-6e6f-45ee-bf7c-35b17baab615'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a22f9ee9-6e6f-45ee-bf7c-35b17baab615,1588,,,3749117,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,118,Arsenal,1,['995b9f26-76e1-4088-a80d-068af9e41cdb'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.719072,,,,,,,,,,,,,b9b75a9c-7deb-4e06-a7cc-3aea4a93de4e,5,,"[60.0, 40.0]",3749117,0,,,,,-1.7640078,,Right Foot,,,"[59.1, 35.4]",,Ground Pass,,4.6872168,,,,Wayne Mark Rooney,3538.0,,,,,,Kick Off,1,From Kick Off,Duncan Ferguson,24794.0,Center Forward,2,Everton,29,['135d8c97-016b-4a76-b4e1-c9200cd93ad9'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.527,Pass,
,,,,,,,,,,,,,,,,2.894634,,,,,,,,,,,,,2309a987-9e58-4d1c-bdf1-8dde2d3f2547,8,,"[58.2, 34.4]",3749117,0,,,,,-2.7456925,,Left Foot,,,"[32.6, 23.7]",,Ground Pass,,27.74617,,,,Gary Naysmith,40282.0,,,,,,,1,From Kick Off,Wayne Mark Rooney,3538.0,Left Wing,2,Everton,29,['cefa4f1f-0929-4e2f-bb63-887cb6893326'],2,,,,,,,,,,,,,,,,,Everton,29,00:00:02.260,Pass,
,,,,,,,,,,,,,,,,1.94975,,,,,,,,,,,,,219d0c86-58e3-4cc0-b44d-41573c4e36e5,11,,"[36.0, 20.5]",3749117,0,,,,,-0.015216216,,Left Foot,,,"[82.0, 19.8]",,High Pass,,46.005325,,,,Wayne Mark Rooney,3538.0,,,,,,,1,From Kick Off,Gary Naysmith,40282.0,Left Back,2,Everton,29,['f45353ad-16c2-4153-b415-6ab42822e34f'],6,,,,,,,,,,,,,,,,,Everton,29,00:00:06.619,Pass,
,,,,,,,,,,,,,,,,3.147376,,,,,,,,,,,,,006df48b-42c1-41a8-abc1-744ebd02dbf9,14,,"[81.8, 19.8]",3749117,0,,,,True,0.73866165,,,,,"[105.3, 41.2]",,Low Pass,,31.7838,,Incomplete,,Tomasz Radziński,40286.0,,,,,,,1,From Kick Off,Wayne Mark Rooney,3538.0,Left Wing,2,Everton,29,"['1b9a0ce7-ec9c-4c87-9166-4f38700d9d7d', '4819add8-5b16-4c6f-b6ce-9afba56f9c7f', '8c24b69d-d997-43c5-a543-c498deb73079']",8,,,,,,,,,,,,,,,,,Everton,29,00:00:08.569,Pass,True
