50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7a2b19c8-b60d-4248-9a18-c3bd26c4ed6b,1,,,3890518,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25003, 'name': 'Sascha Riether'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 32}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 30312, 'name': 'Uilson de Souza Paula Júnior'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 3510, 'name': 'Sead Kolašinac'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 6}, {'player': {'id': 6717, 'name': 'Johannes Geis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 5242, 'name': 'Younès Belhanda'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b875d449-7ce0-47ab-8790-bf0629372ec9,2,,,3890518,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 8216, 'name': 'Sven Bender'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 25}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 28}, {'player': {'id': 13206, 'name': 'Erik Durm'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 37}, {'player': {'id': 9475, 'name': 'Moritz Leitner'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8232, 'name': 'Nuri Şahin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8246, 'name': 'Christian Pulisic'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 24324, 'name': 'Gustavo Adrián Ramos Vásquez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6cbec744-06dd-400d-a651-7b1a1b9fe3dd,3,,,3890518,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['287c2d1d-58b2-4097-83dd-cf41d73a5b65'],0,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,287c2d1d-58b2-4097-83dd-cf41d73a5b65,4,,,3890518,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['6cbec744-06dd-400d-a651-7b1a1b9fe3dd'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6b5846e9-2070-4657-b316-28657085c759,1834,,,3890518,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,107,Borussia Dortmund,180,['5ed422a2-9388-41cb-8973-ee923e2de2a6'],0,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5ed422a2-9388-41cb-8973-ee923e2de2a6,1835,,,3890518,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,107,Borussia Dortmund,180,['6b5846e9-2070-4657-b316-28657085c759'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.192204,,,,,,,,,,,,,,,f19652b4-50c4-4148-bbb7-5c66616bd7b2,5,,"[61.0, 40.1]",3890518,0,,,,,-2.0152156,,Right Foot,,,,"[60.0, 38.0]",,Ground Pass,,2.3259406,,,,Younès Belhanda,5242.0,,,,Kick Off,1,From Kick Off,Klaas-Jan Huntelaar,8060.0,Center Forward,2,Schalke 04,181,['879910b3-9879-4b75-93cc-bae23310b253'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.661,Pass,
,,,,,,,,,,,,,,,0.978002,,,,,,,,,,,,,,,cd047c58-47c0-426d-9010-e44cb6b95427,8,,"[59.6, 38.0]",3890518,0,,,,,2.8831377,,Left Foot,,,,"[50.9, 40.3]",,Ground Pass,,8.998889,,,,Johannes Geis,6717.0,,,,,1,From Kick Off,Younès Belhanda,5242.0,Left Wing,2,Schalke 04,181,['fc7e1afd-6cb8-4623-93ff-ebceb3f5560d'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.929,Pass,
,,,,,,,,,,,,,,,1.199487,,,,,,,,,,,,,,,a4258ca7-30dd-411a-887b-98ff8f52b178,11,,"[49.4, 41.7]",3890518,0,,,,,1.9376932,,Right Foot,,,,"[40.1, 65.9]",,Ground Pass,,25.92547,,,,Sascha Riether,25003.0,,,,,1,From Kick Off,Johannes Geis,6717.0,Right Defensive Midfield,2,Schalke 04,181,['66935dd4-158a-449a-9e4e-f26714e48d83'],2,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:02.424,Pass,
,,,,,,,,,,,,,,,1.09805,,,,,,,,,,,,,,,1fedaf2b-fc4e-4a7e-b116-cc15dbd72e70,14,,"[42.2, 64.8]",3890518,0,,,,,-2.2994373,,Right Foot,,,,"[33.9, 55.5]",,Ground Pass,,12.465152,,,,Joël Andre Job Matip,3502.0,,,,,1,From Kick Off,Sascha Riether,25003.0,Right Center Back,2,Schalke 04,181,['19c6e431-8132-4fb6-9f5d-2b7540ecb6f9'],4,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:04.727,Pass,
