50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,de705a6a-b8d9-4d90-812c-a5601ef4159a,1,,,3890334,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9134, 'name': 'Aleksandar Ignjovski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 400619, 'name': 'Stefan Reinartz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 9148, 'name': 'Johannes Flum'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 23268, 'name': 'Alexander Meier'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 30}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,95157d13-532d-4224-bad9-fdc6de38b7d1,2,,,3890334,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8545, 'name': 'Julian Korb'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 26677, 'name': 'Álvaro Domínguez Soto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 8809, 'name': 'Oscar Wendt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 11285, 'name': 'Ibrahima Traoré'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6e0e4dd7-f378-4ea8-ad53-019a9c93e991,3,,,3890334,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,['643cab83-ff8b-4741-bf18-04919fbe1c2f'],0,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,643cab83-ff8b-4741-bf18-04919fbe1c2f,4,,,3890334,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,['6e0e4dd7-f378-4ea8-ad53-019a9c93e991'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1acfb5a3-bfe7-49bc-b4f2-6cbcf599ec94,1889,,,3890334,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,81,Eintracht Frankfurt,184,['aa775125-1524-43d9-9d81-8e425c02e00e'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,aa775125-1524-43d9-9d81-8e425c02e00e,1890,,,3890334,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,81,Eintracht Frankfurt,184,['1acfb5a3-bfe7-49bc-b4f2-6cbcf599ec94'],0,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.597316,,,,,,,,,,,,,,,b005f7d2-f2d7-4505-936d-6625ec8b6827,5,,"[60.0, 40.0]",3890334,0,,,,0.98279375,,Right Foot,,,,"[60.8, 41.2]",,Ground Pass,1.4422206,,,Raffael Caetano de Araújo,8810.0,,,,,Kick Off,1,From Kick Off,Fabian Johnson,11283.0,Left Midfield,2,Borussia Mönchengladbach,185,['285b4181-6d0e-4558-8ac3-994ec11e85da'],1,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:01.054,Pass,
,,,,,,,,,,,,,,,1.39235,,,,,,,,,,,,,,,95bf5109-a2c8-4616-910b-95ef43e391cb,7,,"[60.8, 42.8]",3890334,0,,,,-3.019301,,Right Foot,,,,"[42.9, 40.6]",,Ground Pass,18.034689,,,Álvaro Domínguez Soto,26677.0,,,,,,1,From Kick Off,Raffael Caetano de Araújo,8810.0,Left Center Forward,2,Borussia Mönchengladbach,185,['c133d658-53fb-48af-97e7-b61036b44d25'],1,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:01.651,Pass,
,,,,,,,,,,,,,,,3.801194,,,,,,,,,,,,,,,60e4627d-5e3c-41eb-b948-44e68209febf,9,,"[42.1, 40.6]",3890334,0,,,,0.6852774,,Left Foot,,,,"[90.3, 80.0]",,High Pass,62.25432,Out,,Ibrahima Traoré,11285.0,,,,,,1,From Kick Off,Álvaro Domínguez Soto,26677.0,Left Center Back,2,Borussia Mönchengladbach,185,['057912a7-8dd4-469b-9069-b7077a83b0fe'],3,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:03.044,Pass,
,,,,,,,,,,,,,,,1.499126,,,,,,,,,,,,,,,b9a9c288-e387-4558-86c3-02816d634b0e,11,,"[26.6, 0.1]",3890334,0,,,,0.15176515,,,,,,"[52.1, 4.0]",,High Pass,25.79651,,,Alexander Meier,23268.0,,,,,Throw-in,1,From Throw In,Bastian Oczipka,8504.0,Left Back,3,Eintracht Frankfurt,184,['cd6525aa-509e-4998-b8bb-f7087865bcf3'],14,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:14.441,Pass,
