50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.430724,,,,,,,,,,,,,,,,099be769-347f-450e-ab6e-d9361d260b04,16,,"[10.7, 32.9]",3890277,0,,,,,-0.673033,,Right Foot,,,"[25.0, 21.5]",,Ground Pass,18.287973,,,,Roman Neustädter,16534.0,,,,,1,From Kick Off,Ralf Fährmann,8517.0,Goalkeeper,2,Schalke 04,181,['34c6187f-883f-4b0a-9e12-72ebbab29053'],7,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:07.940,Pass,
,,,,,,,,,,,,,,,,,2.466814,,,,,,,,,,,,,,,,af7f8543-bd69-4dfa-afee-e4714fe01709,19,,"[22.4, 21.5]",3890277,0,,,,,2.6697035,,Left Foot,,,"[7.9, 28.9]",,Ground Pass,16.279127,,,,Ralf Fährmann,8517.0,,,,,1,From Kick Off,Roman Neustädter,16534.0,Left Center Back,2,Schalke 04,181,['563c623e-6e2e-4847-a94a-cf5e8f00cae6'],11,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:11.121,Pass,
,,,,,,,,,,,,,,,,,1.720049,,,,,,,,,,,,,,,,1e205df0-57fd-405c-8cfe-71692151b36c,22,,"[7.9, 34.5]",3890277,0,,,,,-1.021693,,Right Foot,,,"[21.3, 12.6]",,Ground Pass,25.674307,,,,Roman Neustädter,16534.0,,,,,1,From Kick Off,Ralf Fährmann,8517.0,Goalkeeper,2,Schalke 04,181,['3ac486e7-224d-4848-8f3c-d42c0c6c76a1'],15,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:15.947,Pass,
,,,,,,,,,,,,,,,,,1.583716,,,,,,,,,,,,,,,,ce0a631f-c5e6-4f6e-9025-d267eb3eba05,25,,"[22.4, 12.6]",3890277,0,,,,,0.56310606,,Right Foot,,,"[40.3, 23.9]",,Ground Pass,21.168373,,,,Johannes Geis,6717.0,,,,,1,From Kick Off,Roman Neustädter,16534.0,Left Center Back,2,Schalke 04,181,['4da8546d-99db-435c-a955-131c92cd8098'],19,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:19.705,Pass,
,,,,,,,,,,,,,,,,,2.745994,,,,,,,,,,,,,,,,891ec401-1501-4c83-929d-e5191a67f37b,28,,"[40.5, 23.1]",3890277,0,,,,,0.06583877,,Right Foot,,,"[76.9, 25.5]",,High Pass,36.479034,,Incomplete,,,,,,,,1,From Kick Off,Johannes Geis,6717.0,Right Defensive Midfield,2,Schalke 04,181,"['9b6731fc-2efc-46b9-bcff-8d5c2f4dc90f', '9d2b9056-4083-4b37-aaf3-7fff211de275']",21,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:21.289,Pass,True
,,,,,,,,,,,,,,,,,1.243777,,,,,,,,,,,,,,,,9b6731fc-2efc-46b9-bcff-8d5c2f4dc90f,29,,"[43.2, 54.6]",3890277,0,,,,,1.8753072,,Right Foot,,,"[36.6, 75.6]",,Ground Pass,22.012724,,,,Christian Träsch,23266.0,,,,Recovery,1,Regular Play,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,3,Wolfsburg,179,"['7d49c57c-ed29-4efb-9b37-c0caa7d18205', '891ec401-1501-4c83-929d-e5191a67f37b']",24,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:24.035,Pass,
,,,,,,,,,,,,,,,,,2.203102,,,,,,,,,,,,,,,,756ccfc7-da0a-4cec-acde-d74f828eb5d7,32,,"[34.3, 74.5]",3890277,0,,,,,-2.4745202,,Right Foot,,,"[10.3, 55.6]",,Ground Pass,30.548487,,,,Koen Casteels,8240.0,,,,,1,Regular Play,Christian Träsch,23266.0,Right Back,3,Wolfsburg,179,['2850083a-ec43-494b-abcb-8f1e23f1aa04'],25,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:25.607,Pass,
,,,,,,,,,,,,,,,,,3.094989,,,,,,,,,,,,,,,,9da158da-bcbe-48ab-903c-fd83e57fbba2,36,,"[9.4, 53.4]",3890277,0,,,,,-0.24229291,,Left Foot,,,"[62.0, 40.4]",,High Pass,54.182655,,Incomplete,,Bas Dost,10594.0,,,,,1,Regular Play,Koen Casteels,8240.0,Goalkeeper,3,Wolfsburg,179,"['af707ff5-98a4-478e-9e62-65b76df0d198', 'f35a73a8-3606-43ed-8e3a-fe0f6b4b0fc0', 'feac5702-9696-4e98-8a11-c840097a7c84']",29,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:29.508,Pass,True
,,,,,,,,,,,,,,,,,1.540307,,,,,,,,,,,,,,,,f35a73a8-3606-43ed-8e3a-fe0f6b4b0fc0,39,,"[58.1, 39.7]",3890277,0,,,,True,-0.5572152,,,,,"[71.1, 31.6]",,High Pass,15.316984,,Incomplete,,Leroy Sané,3053.0,,,,Recovery,1,Regular Play,Joël Andre Job Matip,3502.0,Right Center Back,3,Wolfsburg,179,"['4468b7ec-53c6-4225-901c-d451a815187e', '63f130b0-f9d2-4d0a-aed6-9539d548b34f', '9da158da-bcbe-48ab-903c-fd83e57fbba2', 'e9307f66-0f78-4368-a7f1-b934c18a1579']",32,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:32.603,Pass,True
,,,,,,,,,,,,,,,,,1.678048,,,,,,,,,,,,,,,,99485e97-feb5-4c1c-9b04-8bd4894f5c70,44,,"[50.5, 50.8]",3890277,0,,,,,1.6024313,,Right Foot,,,"[50.0, 66.6]",,High Pass,15.807909,,,,Christian Träsch,23266.0,,,,,1,Regular Play,Josuha Guilavogui,8230.0,Right Defensive Midfield,3,Wolfsburg,179,"['4b6e9492-694a-4e16-bac6-606eee4adc97', 'e5cc6842-9737-46dd-8d28-f94845201ed5']",34,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:34.878,Pass,True
