50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7e6acd5f-e7cc-4c09-bf0b-35be5a24bb73,1,,,3890380,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 13126, 'name': 'Miiko Martín Albornoz Inola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8543, 'name': 'Manuel Schmiedebach'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 24244, 'name': 'Uffe Manich Bech'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 400613, 'name': 'Leon Andreasen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 2}, {'player': {'id': 8541, 'name': 'Kenan Karaman'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 26}, {'player': {'id': 11845, 'name': 'Artur Sobiech'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5af90ce8-98fc-446d-98ef-41b4314060c8,2,,,3890380,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40460, 'name': 'Tobias Levels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8394, 'name': 'Robert Bauer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 20355, 'name': 'Tomáš Pekhart'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,053f497f-94bd-41f8-b63b-59c49904dffb,3,,,3890380,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['5b5bf22d-8da5-4ab4-b3ef-6ade6c676c69'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5b5bf22d-8da5-4ab4-b3ef-6ade6c676c69,4,,,3890380,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['053f497f-94bd-41f8-b63b-59c49904dffb'],0,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ada2f67d-c5d5-470c-8290-f2ffa85082cf,1607,,,3890380,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Ingolstadt,189,['b64e1eaa-85b3-4c02-80c5-5cfe97e75ab7'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b64e1eaa-85b3-4c02-80c5-5cfe97e75ab7,1608,,,3890380,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Ingolstadt,189,['ada2f67d-c5d5-470c-8290-f2ffa85082cf'],0,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.71261,,,,,,,,,,,,,60779cd0-1c3c-4c81-a96f-b2581097cedd,5,,"[61.0, 40.1]",3890380,0,True,,,2.9159913,,Left Foot,,,,"[48.8, 42.9]",,Ground Pass,,12.517188,,,,Salif Sané,5664.0,,,,,Kick Off,1,From Kick Off,Artur Sobiech,11845.0,Center Forward,2,Hannover 96,178,['23d40335-0e85-40ef-88bc-46020c26fed2'],0,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.119,Pass,
,,,,,,,,,,,,,,,,,,,1.222874,,,,,,,,,,,,,bad9c7c4-1fbd-44e2-8b83-7cbefb12e27c,8,,"[51.0, 44.0]",3890380,0,,,,0.07624082,,Right Foot,,,,"[79.8, 46.2]",,Ground Pass,,28.883905,,,,Artur Sobiech,11845.0,,,,,,1,From Kick Off,Salif Sané,5664.0,Right Defensive Midfield,2,Hannover 96,178,"['46741208-cfbb-48b6-a800-153ed9232dd2', 'a3a0f824-d7c1-4f8b-80ba-c848f0a29915']",2,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:02.885,Pass,True
,,,,,,,,,,,,,,,,,,,1.820604,,,,,,,,,,,,,869754cb-de60-408c-9293-46e0c16132f4,13,,"[76.4, 45.8]",3890380,0,,,,2.740643,,Right Foot,,,,"[67.2, 49.7]",,Ground Pass,,9.992497,,,,Manuel Schmiedebach,8543.0,,,,,,1,From Kick Off,Artur Sobiech,11845.0,Center Forward,2,Hannover 96,178,['f3144e8d-9865-4903-a03a-bb9e91987f15'],5,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:05.292,Pass,
,,,,,,,,,,,,,,,,,,,3.478549,,,,,,,,,,,,,8b0dcdc3-a61b-4892-b13b-fa84ff2b0064,16,,"[67.2, 49.7]",3890380,0,,,,-1.058504,,Right Foot,,,,"[94.7, 0.8]",,High Pass,,56.102226,,Out,,Kenan Karaman,8541.0,,True,,,,1,From Kick Off,Manuel Schmiedebach,8543.0,Left Defensive Midfield,2,Hannover 96,178,['4e45a2b7-0c9e-4e05-80f9-f489e8a68b93'],7,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:07.193,Pass,
