50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2b3f2dd6-0e2a-49e6-8a58-0e5e3dc19e50,1,,,3890491,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 13206, 'name': 'Erik Durm'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 37}, {'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 8232, 'name': 'Nuri Şahin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8233, 'name': 'Gonzalo Castro Randon'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,856ef0a8-204a-4f40-a8d4-144ab410ea8f,2,,,3890491,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 18399, 'name': 'Gaëtan Bussmann'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8561, 'name': 'Fabian Frei'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 9098, 'name': 'Christian Clemens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 8817, 'name': 'Jhon Andrés Córdoba Copete'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",FSV Mainz 05,177,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1b738b56-5f0e-4de6-9c86-a6b1a6f4f03a,3,,,3890491,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['a5c0efc0-9480-4e98-aa0a-67979e80598a'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a5c0efc0-9480-4e98-aa0a-67979e80598a,4,,,3890491,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['1b738b56-5f0e-4de6-9c86-a6b1a6f4f03a'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c6ccd7ee-1726-4cfa-864e-5b8019dccb2f,2001,,,3890491,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,Borussia Dortmund,180,['1528a547-dcec-4ba5-9520-51774a7e1a70'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1528a547-dcec-4ba5-9520-51774a7e1a70,2002,,,3890491,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,Borussia Dortmund,180,['c6ccd7ee-1726-4cfa-864e-5b8019dccb2f'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.203864,,,,,,,,,,,a5443a34-ad6d-48a5-a459-8804bebca0ce,5,,"[61.0, 40.1]",3890491,0,,,,,1.6672701,,Left Foot,,,"[60.7, 43.2]",,Ground Pass,,3.1144824,,,,Yunus Mallı,8679.0,,,,,Kick Off,1,From Kick Off,Jhon Andrés Córdoba Copete,8817.0,Center Forward,2,FSV Mainz 05,177,['9d96c523-bc94-44f1-9b4f-80508355c4e2'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.160,Pass,
,,,,,,,,,,,,,,,,,,1.126556,,,,,,,,,,,6aaf2e19-faf6-408b-8717-18ddf4b48ff9,7,,"[60.7, 43.2]",3890491,0,,,,,-3.038511,,Right Foot,,,"[52.0, 42.3]",,Ground Pass,,8.746428,,,,Julian Baumgartlinger,20037.0,,,,,,1,From Kick Off,Yunus Mallı,8679.0,Center Attacking Midfield,2,FSV Mainz 05,177,['b12e06d7-87cc-4424-9079-19f1a41427e3'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.363,Pass,
,,,,,,,,,,,,,,,,,,1.921078,,,,,,,,,,,01a3bd76-c8fa-4fc5-ae22-0d03fb47d980,10,,"[52.0, 42.3]",3890491,0,,,,,-1.8815583,,Right Foot,,,"[47.6, 28.6]",,Ground Pass,,14.389232,,,,Fabian Frei,8561.0,,,,,,1,From Kick Off,Julian Baumgartlinger,20037.0,Right Defensive Midfield,2,FSV Mainz 05,177,['e5537ccd-1366-41b2-b281-9639fc59ad55'],1,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:01.546,Pass,
,,,,,,,,,,,,,,,,,,1.873823,,,,,,,,,,,b0e4743b-166e-43b6-b0ba-8e87715d6914,14,,"[45.4, 25.8]",3890491,0,,,,,-1.0897423,,Right Foot,,,"[56.1, 5.3]",,Ground Pass,,23.124447,,,,Gaëtan Bussmann,18399.0,,,,,,1,From Kick Off,Fabian Frei,8561.0,Left Defensive Midfield,2,FSV Mainz 05,177,"['3167eb73-8451-4b1e-b4cc-94b3d67dbb3b', '49301120-6c39-4fc4-a977-5305cd77a66c']",3,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:03.810,Pass,True
