50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.112152,,,,,,,,,,,,,,e0524957-748d-402d-ade8-54064fefa95e,2382,,"[91.8, 21.7]",3890361,63,,,,,2.003204,,Right Foot,,,"[90.6, 24.3]",,Ground Pass,,2.8635643,Incomplete,,,,,,,,,2,Regular Play,Jairo Samperio Bustara,6925.0,Left Midfield,129,FSV Mainz 05,177,['4c404a0c-9aea-42c2-a6a6-c7d1e127dd30'],36,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:18:36.860,Pass,
,,,,,,,,,,,,,,,,1.079617,,,,,,,,,,,,,,28a711f4-ce0b-4a9f-9ed8-74505e4dcf50,2387,,"[23.1, 54.1]",3890361,63,,,,,1.4117732,,Right Foot,,,"[24.8, 64.7]",,Ground Pass,,10.7354555,,,Christian Träsch,23266.0,,,,,,2,Regular Play,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,130,Wolfsburg,179,"['49db591f-787c-48f3-9702-a442d9c74bb8', '5f47ee6f-5fb2-4995-9bc6-6ee7a8b858b2']",39,,,,,,,,,,,,,,,,,Wolfsburg,179,00:18:39.349,Pass,True
,,,,,,,,,,,,,,,,0.541261,,,,,,,,,,,,,,2f8f79c3-5921-43e9-bbb3-2a40672b55f1,2390,,"[32.6, 71.6]",3890361,63,,,,,0.22827378,,Right Foot,,,"[42.5, 73.9]",,Ground Pass,,10.163661,,,Adelino André Vieira Freitas,10790.0,,,,,,2,Regular Play,Christian Träsch,23266.0,Right Back,130,Wolfsburg,179,['ade76137-ed79-4986-a54a-6bd89bf0322b'],42,,,,,,,,,,,,,,,,,Wolfsburg,179,00:18:42.174,Pass,
,,,,,,,,,,,,,,,,1.38707,,,,,,,,,,,,,,832bfa19-d9cd-4838-91e0-b7a08bc17c8f,2393,,"[40.4, 75.1]",3890361,63,,,,,-1.3037462,,Right Foot,,,"[43.3, 64.5]",,Ground Pass,,10.98954,,,Josuha Guilavogui,8230.0,,,,,,2,Regular Play,Adelino André Vieira Freitas,10790.0,Right Wing,130,Wolfsburg,179,['e6032875-1fb0-4366-b2d7-ff4c4157f78a'],44,,,,,,,,,,,,,,,,,Wolfsburg,179,00:18:44.026,Pass,
,,,,,,,,,,,,,,,,0.59569,,,,,,,,,,,,,,1689c405-7084-4086-806d-b8634e67fc67,2397,,"[44.4, 63.6]",3890361,63,,,,,1.7526721,,Right Foot,,,"[42.8, 72.3]",,Ground Pass,,8.845903,,,Adelino André Vieira Freitas,10790.0,,,,,,2,Regular Play,Josuha Guilavogui,8230.0,Right Defensive Midfield,130,Wolfsburg,179,"['23dd4449-bf7b-4232-b551-97bf521dfb95', 'fcf58be7-cfe3-417f-8536-9b12eacde9af']",46,,,,,,,,,,,,,,,,,Wolfsburg,179,00:18:46.963,Pass,True
,,,,,,,,,,,,,,,,1.266474,,,,,,,,,,,,,,c54fe2b4-138c-47fe-b3a4-773ad776b354,2404,,"[52.7, 4.3]",3890361,63,,,,,2.2777045,,Left Foot,,,"[44.5, 13.9]",,Ground Pass,,12.625371,,,Niko Bungert,13319.0,,,,,Recovery,2,Regular Play,Pierre Bengtsson,20871.0,Left Back,131,FSV Mainz 05,177,"['7e681e0b-af67-480b-8b45-dba3ac50e486', 'f816a1ef-306b-4b49-836c-f07a47f09ec9']",52,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:18:52.140,Pass,True
,,,,,,,,,,,,,,,,1.118587,,,,,,,,,,,,,,e3aaa967-eee1-465a-a348-872bda81e9a6,2407,,"[43.8, 16.6]",3890361,63,,,,,0.32175055,,Right Foot,,,"[51.3, 19.1]",,Ground Pass,,7.905694,,,Gonzalo Alejandro Jara Reyes,30551.0,,,,,,2,Regular Play,Niko Bungert,13319.0,Left Center Back,131,FSV Mainz 05,177,['d93d4e89-1aa2-451f-b323-128554128bb5'],54,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:18:54.290,Pass,
,,,,,,,,,,,,,,,,1.187608,,,,,,,,,,,,,,df4dcf82-14de-4011-a706-b22cbbc697f0,2410,,"[50.6, 19.2]",3890361,63,,,,,0.850014,,Right Foot,,,"[66.5, 37.3]",,Ground Pass,,24.091908,,,Pablo Ezequiel De Blasis,8555.0,,,,,,2,Regular Play,Gonzalo Alejandro Jara Reyes,30551.0,Left Defensive Midfield,131,FSV Mainz 05,177,['d22d5da2-5297-472e-9b4b-bcc1de0ba216'],56,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:18:56.569,Pass,
,,,,,,,,,,,,,,,,1.058885,,,,,,,,,,,,,,20bf389d-4c42-4edb-8330-0d005665c9ec,2414,,"[66.5, 37.9]",3890361,63,,,,,-2.4769907,,Left Foot,,,"[56.8, 30.3]",,Ground Pass,,12.322743,,,Gonzalo Alejandro Jara Reyes,30551.0,,,,,,2,Regular Play,Pablo Ezequiel De Blasis,8555.0,Right Midfield,131,FSV Mainz 05,177,"['30bb187f-5990-4014-87cd-299ac173e02e', '55d0293d-03e2-4643-ae6d-158d4742b23b']",58,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:18:58.314,Pass,True
,,,,,,,,,,,,,,,,2.812154,,,,,,,,,,,,,,e05d6c59-37db-44d0-bdfc-80d26c2a21e1,2418,,"[56.5, 31.0]",3890361,63,,,,,1.224857,,Right Foot,,,"[69.8, 67.9]",,High Pass,,39.223717,,,Daniel Brosinski,8548.0,,,,,,2,Regular Play,Gonzalo Alejandro Jara Reyes,30551.0,Left Defensive Midfield,131,FSV Mainz 05,177,['beb4a692-baa0-4331-9579-3d5e8e606876'],59,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:18:59.978,Pass,
,,,,,,,,,,,,,,,,2.981435,,,,,,,,,,,,,,459c5a42-c40d-45ff-9e28-a14dbaa2651c,2420,,"[70.5, 70.0]",3890361,64,,,,,-2.9158762,,Right Foot,,,"[43.5, 63.8]",,Ground Pass,,27.702707,,,Leon Aderemi Balogun,5467.0,,,,,,2,Regular Play,Daniel Brosinski,8548.0,Right Back,131,FSV Mainz 05,177,['16d961fa-eb6c-4ca2-97a9-336ac22415c1'],2,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:19:02.790,Pass,
,,,,,,,,,,,,,,,,0.81086,,,,,,,,,,,,,,bb7e2d90-72ed-45d2-8760-4a217a863ed2,2423,,"[42.6, 63.8]",3890361,64,,,,,-0.4636476,,Right Foot,,,"[55.8, 57.2]",,Ground Pass,,14.758049,,,Danny Latza,8539.0,,,,,,2,Regular Play,Leon Aderemi Balogun,5467.0,Right Center Back,131,FSV Mainz 05,177,['385cf1eb-e0cc-4098-9d09-8f9e381bf6e7'],6,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:19:06.515,Pass,
,,,,,,,,,,,,,,,,1.302907,,,,,,,,,,,,,,6bda693a-cf5f-4fc1-9c83-b1b58d93ca4d,2427,,"[55.8, 56.0]",3890361,64,,,,,1.1249133,,Right Foot,,,"[63.4, 71.9]",,Ground Pass,,17.622997,,,Daniel Brosinski,8548.0,,,,,,2,Regular Play,Danny Latza,8539.0,Right Defensive Midfield,131,FSV Mainz 05,177,['3eb24806-099f-4473-b795-76effd027994'],7,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:19:07.935,Pass,
,,,,,,,,,,,,,,,,0.781185,,,,,,,,,,,,,,63b244cd-3a24-4c02-a82f-1e57a3d43343,2431,,"[63.4, 74.0]",3890361,64,,,,,-1.5439571,,Right Foot,,,"[63.8, 59.1]",,Ground Pass,,14.905368,,,Danny Latza,8539.0,,,,,,2,Regular Play,Daniel Brosinski,8548.0,Right Back,131,FSV Mainz 05,177,"['665d1bd5-4f9a-4cf1-82a7-7345ee2cc388', 'fa2c5d6a-dcfd-4d08-857c-b5f314703289']",9,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:19:09.635,Pass,True
,,,,,,,,,,,,,,,,1.93925,,,,,,,,,,,,,,d799434b-c2a2-408a-a43e-6f2f8539b4b4,2434,,"[90.8, 54.1]",3890361,64,,,,,0.44933367,,Right Foot,,,"[110.5, 63.6]",,Ground Pass,,21.870985,,,Pablo Ezequiel De Blasis,8555.0,,,,,,2,Regular Play,Danny Latza,8539.0,Right Defensive Midfield,131,FSV Mainz 05,177,['22a212df-981f-4afb-9ab4-24c07298cf76'],14,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:19:14.722,Pass,
,,,,,,,,,,,,,,,,0.884875,,,,,,,,,,,,,,2c12f9ac-4aff-4995-a759-52d4d575200d,2437,,"[110.5, 63.6]",3890361,64,,,,,-1.3544105,,Right Foot,True,,"[115.6, 40.4]",,Low Pass,,23.753946,Incomplete,,Yoshinori Muto,6337.0,,,,,,2,Regular Play,Pablo Ezequiel De Blasis,8555.0,Right Midfield,131,FSV Mainz 05,177,"['156b8fab-1da5-4b6a-a917-b6d04705ea1c', 'd157e70a-b102-4a41-8608-88a6a5ca5b71']",16,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:19:16.781,Pass,
,,,,,,,,,,,,,,,,1.044495,,,,,,,,,,,,,,9109f0b6-0245-417e-b20d-bd7c97044f5a,2443,,"[68.6, 58.4]",3890361,64,,,,,0.49656466,,Right Foot,,,"[91.3, 70.7]",,Low Pass,,25.81821,Incomplete,,Pablo Ezequiel De Blasis,8555.0,,,,,,2,Regular Play,Leon Aderemi Balogun,5467.0,Right Center Back,131,FSV Mainz 05,177,"['6d4a4fe2-0562-44ba-8167-01a7304af33e', '9e6b6465-17ce-4acc-9726-3031bf1e36ef']",27,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:19:27.321,Pass,
