50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,79f5c046-1af3-4d54-85cc-526871e17edd,1,,,3890424,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 35033, 'name': 'Slobodan Rajković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 35}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 34}, {'player': {'id': 40477, 'name': 'Jan Rosenthal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b2f4d7c8-5132-4d00-8b8b-eff89ef11530,2,,,3890424,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30312, 'name': 'Uilson de Souza Paula Júnior'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 3510, 'name': 'Sead Kolašinac'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6717, 'name': 'Johannes Geis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 13}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2a63f049-fc94-436d-9e99-be9400fa9e96,3,,,3890424,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['7e11fecb-f519-4f8b-8102-9dc3d2a7bd63'],0,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7e11fecb-f519-4f8b-8102-9dc3d2a7bd63,4,,,3890424,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['2a63f049-fc94-436d-9e99-be9400fa9e96'],0,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,41e6e09b-7fed-4bba-a4b8-a9dc1129b64f,1357,,,3890424,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Schalke 04,181,['54fca292-340d-479a-b7c0-7fb62edbecad'],0,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,54fca292-340d-479a-b7c0-7fb62edbecad,1358,,,3890424,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Schalke 04,181,['41e6e09b-7fed-4bba-a4b8-a9dc1129b64f'],0,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.162413,,,,,,,,,,,,,bab5e968-2876-4137-8211-2991e7e70bbf,5,,"[61.0, 40.1]",3890424,0,,True,,,-1.943784,,Right Foot,,,"[60.1, 37.8]",,Ground Pass,,2.4698179,,,Max Meyer,8508.0,,,,,Kick Off,1,From Kick Off,Klaas-Jan Huntelaar,8060.0,Center Forward,2,Schalke 04,181,['551aa687-fa12-4bb9-bb47-67b64a0a5fea'],0,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.237,Pass,
,,,,,,,,,,,,,,,,,,1.24573,,,,,,,,,,,,,54dcac88-dc71-489b-a2cc-d20b78841cd0,7,,"[59.8, 40.6]",3890424,0,,,,,-3.1027772,,Right Foot,,,"[49.5, 40.2]",,Ground Pass,,10.307764,,,Leon Goretzka,6324.0,,,,,,1,From Kick Off,Max Meyer,8508.0,Center Attacking Midfield,2,Schalke 04,181,['52cdcaa8-30f5-40b9-9d5f-6fb6b7d10bc4'],1,,,,,,,,,,,,,,,,Schalke 04,181,00:00:01.678,Pass,
,,,,,,,,,,,,,,,,,,1.850209,,,,,,,,,,,,,82d1a074-3710-4f47-92e6-87cfc026ef4c,10,,"[47.6, 37.9]",3890424,0,,,,,-2.398086,,Right Foot,,,"[38.9, 29.9]",,Ground Pass,,11.819053,,,Roman Neustädter,16534.0,,,,,,1,From Kick Off,Leon Goretzka,6324.0,Left Defensive Midfield,2,Schalke 04,181,['c031b7e9-67b0-4cc3-ae1d-f4bc30e3d60a'],4,,,,,,,,,,,,,,,,Schalke 04,181,00:00:04.005,Pass,
,,,,,,,,,,,,,,,,,,1.134825,,,,,,,,,,,,,0bbb586e-c3d3-4ee4-b182-7d4d031ab965,13,,"[52.2, 25.4]",3890424,0,,,,,-1.0667666,,Right Foot,,,"[62.9, 6.0]",,Ground Pass,,22.155134,,,Jean-Eric Maxim Choupo-Moting,3499.0,,,,,,1,From Kick Off,Roman Neustädter,16534.0,Left Center Back,2,Schalke 04,181,['391afab2-932a-4292-aef1-0c4459debbb0'],10,,,,,,,,,,,,,,,,Schalke 04,181,00:00:10.462,Pass,
