50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[92.1, 62.9]",,,,,,,,,,,,5.702685,,,,,,,,,,,,,58bae4a2-f745-4e2a-8944-118c2b59edd4,1024,,"[71.8, 62.7]",3890535,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,49,Wolfsburg,179,"['16402975-6987-42c0-9549-b65c31baaac1', '177d3b98-e264-458e-b9aa-cfc12edd5d04', '7bf74028-8540-4ca1-bb0d-e3a19ff6e77a']",21,,,,,,,,,,,,,,,,,Wolfsburg,179,00:22:21.880,Carry,True
,,,,,"[95.2, 61.0]",,,,,,,,,,,,2.773376,,,,,,,,,,,,,a4818735-8290-43ee-98fa-4ced23817608,1028,,"[99.6, 77.1]",3890535,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Daniel Caligiuri,8521.0,Right Midfield,49,Wolfsburg,179,"['1b688fe1-7a21-41e7-bef7-869a89ec8325', 'a23e5224-9bfe-4f36-a4da-e630550f6550', 'fa49115c-6103-4978-9955-795ece556681']",28,,,,,,,,,,,,,,,,,Wolfsburg,179,00:22:28.607,Carry,True
,,,,,"[40.3, 55.0]",,,,,,,,,,,,1.395696,,,,,,,,,,,,,a139a602-564f-45a9-8b93-37960cee89f4,1036,,"[37.2, 51.9]",3890535,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Dante Bonfim da Costa Santos,3197.0,Left Center Back,49,Wolfsburg,179,"['92909f15-77f6-4198-b92e-f0578d49ea3e', 'f3e32945-e332-4a0d-acde-a5dd40c6ebd9']",39,,,,,,,,,,,,,,,,,Wolfsburg,179,00:22:39.620,Carry,
,,,,,"[57.4, 46.5]",,,,,,,,,,,,2.893971,,,,,,,,,,,,,22e28e49-d318-482a-b673-302720f461cb,1039,,"[58.5, 45.8]",3890535,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Maximilian Arnold,8235.0,Left Midfield,49,Wolfsburg,179,"['575dadfd-8ab8-4d12-9976-9b07a8f1ac00', '96a37790-7f23-4f03-b14c-b5a3f8dc196e', 'e0445d46-7848-4caa-a126-4072938eabfe']",42,,,,,,,,,,,,,,,,,Wolfsburg,179,00:22:42.574,Carry,True
,,,,,"[46.4, 39.2]",,,,,,,,,,,,1.56441,,,,,,,,,,,,,35b95c92-e418-4ff1-8f69-f8cc15726cfb,1043,,"[45.0, 46.5]",3890535,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Dante Bonfim da Costa Santos,3197.0,Left Center Back,49,Wolfsburg,179,"['78267c42-fc4f-4275-b85b-c137d7d7d28e', 'ff205304-b042-4e84-aa85-0290191ebcee']",46,,,,,,,,,,,,,,,,,Wolfsburg,179,00:22:46.399,Carry,
,,,,,"[51.1, 8.8]",,,,,,,,,,,,2.202164,,,,,,,,,,,,,e5c6d8b5-3f7c-4754-b24b-b086d9da34d2,1046,,"[47.7, 8.7]",3890535,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Luiz Gustavo Dias,3545.0,Left Defensive Midfield,49,Wolfsburg,179,"['d816cedd-656c-48c6-955f-ed7f01cdb16c', 'ffea098a-d108-4e40-8ab0-cbff9cf2a67c']",49,,,,,,,,,,,,,,,,,Wolfsburg,179,00:22:49.762,Carry,
,,,,,"[50.5, 33.3]",,,,,,,,,,,,2.809483,,,,,,,,,,,,,7978f084-3bfb-40c1-9176-d825d4d6a0f1,1049,,"[48.7, 33.1]",3890535,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Dante Bonfim da Costa Santos,3197.0,Left Center Back,49,Wolfsburg,179,"['6d555fdb-7ef4-41e4-afb8-71c2f36a6b9a', 'ff9d1004-4bd6-4c51-9ec2-d5a64c399944']",53,,,,,,,,,,,,,,,,,Wolfsburg,179,00:22:53.412,Carry,
,,,,,"[57.4, 58.2]",,,,,,,,,,,,1.62405,,,,,,,,,,,,,5b77ba74-4a35-4f9e-a4a1-39fd1a702fd5,1052,,"[52.0, 74.0]",3890535,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,49,Wolfsburg,179,"['8f7dbfa8-10b1-45b4-bc90-df1b4e229edb', '97f6109e-6b52-46cd-9feb-77dfb7825dfd']",57,,,,,,,,,,,,,,,,,Wolfsburg,179,00:22:57.948,Carry,
,,,,,"[69.8, 71.6]",,,,,,,,,,,,2.510326,,,,,,,,,,,,,8a9f9639-aeb2-4333-982d-5a01ee2a7a64,1055,,"[69.8, 75.7]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Christian Träsch,23266.0,Right Back,49,Wolfsburg,179,"['04732502-a516-4351-9043-f1ec7dc160fd', 'f7aa8ed7-0223-4a74-a33a-adb23aa1fff6']",0,,,,,,,,,,,,,,,,,Wolfsburg,179,00:23:00.661,Carry,
,,,,,"[59.4, 65.3]",,,,,,,,,,,,1.916763,,,,,,,,,,,,,2e077696-5814-42ca-bab8-82f4ea72f455,1058,,"[58.5, 64.3]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,49,Wolfsburg,179,"['01870d5c-82f5-489d-901a-4c9dd31b0857', '76522c65-f4f6-4e2c-be31-6c259ef90710', 'd9f5c6e9-907b-4077-a8f6-69c84bb4c461']",4,,,,,,,,,,,,,,,,,Wolfsburg,179,00:23:04.565,Carry,True
,,,,,"[57.8, 71.5]",,,,,,,,,,,,0.04,,,,,,,,,,,,,51591366-c780-4a39-a6b7-80532be589d1,1062,,"[58.1, 71.5]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Christian Träsch,23266.0,Right Back,49,Wolfsburg,179,"['30d6c5ce-e6b1-4bad-97e0-4002673b6b22', '4fdc0bba-a8d1-415f-964f-1b949d594f79']",7,,,,,,,,,,,,,,,,,Wolfsburg,179,00:23:07.224,Carry,
