50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.917372,,,,,,,,,,,,,,,,4198d140-096e-4924-b06a-da9b0c89d01d,17,,"[98.8, 10.1]",3890278,0,,,,,-2.0659297,,Right Foot,,,,"[93.4, 0.1]",,High Pass,,11.364858,,Out,,Juan Bernat Velasco,15651.0,,,,,,,1,From Throw In,Thomas Müller,5562.0,Center Attacking Midfield,3,Bayern Munich,169,"['13305935-b9ef-410d-b93f-b1d2097b7e4f', 'bca3794f-1bc5-4305-b7b0-76283b005387']",21,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:21.298,Pass,True
,,,,,,,,,,,,,,,,1.552567,,,,,,,,,,,,,,,,d893b243-17c3-4083-9f2a-239e8c7737be,19,,"[29.0, 80.0]",3890278,0,,,,,-0.38204485,,,,,,"[51.4, 71.0]",,High Pass,,24.140423,,,,Stefan Kießling,11394.0,,,,,,Throw-in,1,From Throw In,Roberto Hilbert,8918.0,Right Back,4,Bayer Leverkusen,904,['3263b40f-b182-4b3f-8573-c3a188d9d16e'],30,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:30.845,Pass,
,,,,,,,,,,,,,,,,0.871358,,,,,,,,,,,,,,,,198eacd8-3023-4351-bcd6-6345e3092f40,22,,"[51.4, 71.0]",3890278,0,,,,,-1.4104209,,Other,,,,"[52.5, 64.2]",,Ground Pass,,6.8883963,,,,Admir Mehmedi,8219.0,,,,,,,1,From Throw In,Stefan Kießling,11394.0,Left Center Forward,4,Bayer Leverkusen,904,['daa5c0cc-7590-4524-8378-38961b0d98b4'],32,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:32.477,Pass,
,,,,,,,,,,,,,,,,1.205597,,,,,,,,,,,,,,,,8d266d7e-3634-4b1b-99ff-83653fe0f55d,27,,"[50.5, 67.9]",3890278,0,,,,,2.69461,,Right Foot,,,,"[38.4, 73.7]",,Ground Pass,,13.418271,,,,Roberto Hilbert,8918.0,,,,,,,1,From Throw In,Admir Mehmedi,8219.0,Right Center Forward,4,Bayer Leverkusen,904,['dc71994c-aaae-4a1d-93ab-798423bd0ae2'],35,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:35.887,Pass,
,,,,,,,,,,,,,,,,0.804577,,,,,,,,,,,,,,,,f7cbef51-a01a-41b1-b608-8cbbcac3c589,29,,"[39.1, 74.6]",3890278,0,,,,,0.1660251,,Right Foot,,,,"[57.6, 77.7]",,Low Pass,,18.75793,,,,Karim Bellarabi,8213.0,,,,,,,1,From Throw In,Roberto Hilbert,8918.0,Right Back,4,Bayer Leverkusen,904,['d1f93e3b-c0b7-451e-b61b-207c35cf99d7'],37,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:37.093,Pass,
,,,,,,,,,,,,,,,,2.248815,,,,,,,,,,,,,,,,076e6852-760a-428c-bef3-3d54def8761a,31,,"[58.2, 77.7]",3890278,0,,,,,-1.2103746,,Left Foot,,,,"[65.7, 57.8]",,High Pass,,21.266405,,,,Hakan Çalhanoğlu,7039.0,,,,,,,1,From Throw In,Karim Bellarabi,8213.0,Right Midfield,4,Bayer Leverkusen,904,['3fc0cca5-0629-4f9c-a77c-610159f7c7cf'],37,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:37.898,Pass,
,,,,,,,,,,,,,,,,1.188778,,,,,,,,,,,,,,,,614dc099-de46-4a60-a60a-f1eb5c15fc70,33,,"[65.7, 57.6]",3890278,0,,,,,-0.79052633,,Head,,,,"[75.4, 47.8]",,Low Pass,,13.788764,,,,Stefan Kießling,11394.0,,,,,,,1,From Throw In,Hakan Çalhanoğlu,7039.0,Left Midfield,4,Bayer Leverkusen,904,['d2a6bd98-2297-498f-adc0-869f2b007839'],40,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:40.186,Pass,
,,,,,,,,,,,,,,,,0.855186,,,,,,,,,,,,,,,,fd878fa6-40f8-4ae8-82b9-49aec97d7414,36,,"[75.6, 47.8]",3890278,0,,,,,2.6894388,,Right Foot,,,,"[68.6, 51.2]",,High Pass,,7.7820306,,,,Hakan Çalhanoğlu,7039.0,,,,,,,1,From Throw In,Stefan Kießling,11394.0,Left Center Forward,4,Bayer Leverkusen,904,['c2caa537-bfec-4e29-ad00-570937d3a00d'],41,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:41.767,Pass,
,,,,,,,,,,,,,,,,1.382141,,,,,,,,,,,,,,,,98d3b0cc-9193-4b0d-86ba-74644ff803ee,48,,"[63.6, 40.7]",3890278,0,,,,,-2.1978102,,Right Foot,,,,"[51.5, 24.0]",,Ground Pass,,20.622803,,,,Wendell Nascimento Borges,8212.0,,,,,,,1,From Throw In,Lars Bender,8969.0,Right Defensive Midfield,4,Bayer Leverkusen,904,"['635bb377-5083-4f83-821e-ad61ddee8fb0', '9fe5d2cc-8fbe-4a64-969c-9c84872cc423']",46,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:46.945,Pass,True
,,,,,,,,,,,,,,,,2.200401,,,,,,,,,,,,,,,,19a9bec5-7dab-4b7e-ab8a-8a4183256e43,52,,"[55.8, 9.9]",3890278,0,,,,,0.6032299,,Right Foot,,,,"[78.3, 25.4]",,Ground Pass,,27.322153,,Incomplete,,Stefan Kießling,11394.0,,,,,,,1,From Throw In,Wendell Nascimento Borges,8212.0,Left Back,4,Bayer Leverkusen,904,"['510f7367-2a2d-4b37-828c-6f3f538052cd', '525b7f04-b199-44dc-8d3a-b80d67d2417a']",51,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:51.254,Pass,
