50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0dd57bbb-4b4e-4d2c-9255-622c29bcc5a8,1,,,,3890522,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 9400, 'name': 'Daniel Tawiah Opare'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 8318, 'name': 'Jeffrey Gouweleeuw'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8319, 'name': 'Philipp Max'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 40462, 'name': 'Halil Altıntop'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 30}, {'player': {'id': 5514, 'name': 'Alfreð Finnbogason'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b744f3e8-cfc3-4ba7-bf05-65a42a6d7289,2,,,,3890522,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8270, 'name': 'Daniel Schwaab'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 38172, 'name': 'Toni Šunjić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 40470, 'name': 'Georg Niedermeier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 9728, 'name': 'Florian Klein'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 27639, 'name': 'Artem Kravets'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9c32cd1f-39fa-4e8f-8427-4cded803405b,3,,,,3890522,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['a7dad690-17d9-40cd-b5ad-4db9a923e141'],0,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a7dad690-17d9-40cd-b5ad-4db9a923e141,4,,,,3890522,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['9c32cd1f-39fa-4e8f-8427-4cded803405b'],0,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e1319a88-5f94-4a9c-914b-e9f1128e1287,1504,,,,3890522,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,86,VfB Stuttgart,174,['ce544cf2-5494-4d1e-a2cf-90a6d5b64623'],0,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ce544cf2-5494-4d1e-a2cf-90a6d5b64623,1505,,,,3890522,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,86,VfB Stuttgart,174,['e1319a88-5f94-4a9c-914b-e9f1128e1287'],0,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,0b43c75b-0d6c-4c4e-86a9-51b077ac0255,5,,,"[60.0, 40.0]",3890522,0,,,,,1.8313987,,Right Foot,,,"[59.6, 41.5]",Ground Pass,,1.5524175,,,Halil Altıntop,40462.0,,,,,Kick Off,1,From Kick Off,Alfreð Finnbogason,5514.0,Center Forward,2,Augsburg,172,['9d810ac3-1bb1-4453-a69a-3e5f00914204'],0,,,,,,,,,,,,,,,Augsburg,172,00:00:00.080,Pass,
,,,,,,,,,,,,,,,,1.7493,,,,,,,,,,,,,da85699d-f3db-4e15-a099-d501c7fc0a0c,8,,,"[59.9, 41.3]",3890522,0,,,,,-3.0202405,,Right Foot,,,"[43.5, 39.3]",Ground Pass,,16.521502,,,Daniel Baier,8317.0,,,,,,1,From Kick Off,Halil Altıntop,40462.0,Center Attacking Midfield,2,Augsburg,172,['f5f99e45-ac0a-44e2-b867-2b9136273ab7'],0,,,,,,,,,,,,,,,Augsburg,172,00:00:00.456,Pass,
,,,,,,,,,,,,,,,,1.759266,,,,,,,,,,,,,d0837c25-4734-4aab-a001-ee49f9008c84,11,,,"[43.5, 39.3]",3890522,0,,,,,-1.7177439,,Right Foot,,,"[39.4, 11.6]",Ground Pass,,28.001785,,,Ragnar Klavan,4174.0,,,,,,1,From Kick Off,Daniel Baier,8317.0,Left Defensive Midfield,2,Augsburg,172,['154cdf2c-4d80-4361-b9f1-c7f5b5b46558'],4,,,,,,,,,,,,,,,Augsburg,172,00:00:04.688,Pass,
,,,,,,,,,,,,,,,,1.751024,,,,,,,,,,,,,dcf96e30-42d3-419d-8a1c-a8c0d4fae046,14,,,"[39.4, 11.6]",3890522,0,,,,,-1.1537471,,Left Foot,,,"[42.9, 3.7]",Ground Pass,,8.640602,,,Philipp Max,8319.0,,,,,,1,From Kick Off,Ragnar Klavan,4174.0,Left Center Back,2,Augsburg,172,['ddb8412c-1e61-4231-8369-58ce36cd0b9d'],7,,,,,,,,,,,,,,,Augsburg,172,00:00:07.497,Pass,
