50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f63cc151-0158-45b5-9583-571ee677a117,1,,,,3890274,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,,0,,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9459, 'name': 'Paweł Olkowski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 8829, 'name': 'Frederik Hillesborg Sørensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8397, 'name': 'Kevin Vogt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 27}, {'player': {'id': 8822, 'name': 'Simon Zoller'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a81e9e9b-60a9-497f-a9b6-1272708b2a02,2,,,,3890274,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,,0,,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 34}, {'player': {'id': 8308, 'name': 'Aaron Hunt'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 10594, 'name': 'Bas Dost'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,199f52b3-6710-4b3e-88bc-1abf65b41bce,3,,,,3890274,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,['3b1d604e-ff89-4c89-8114-3d9f8a6f01fe'],0,,,,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3b1d604e-ff89-4c89-8114-3d9f8a6f01fe,4,,,,3890274,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,['199f52b3-6710-4b3e-88bc-1abf65b41bce'],0,,,,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,35936dda-280b-4655-9458-a0938a21d850,1892,,,,3890274,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,Wolfsburg,179,['5325746e-2a1e-4c95-8703-491919b13471'],0,,,,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5325746e-2a1e-4c95-8703-491919b13471,1893,,,,3890274,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,Wolfsburg,179,['35936dda-280b-4655-9458-a0938a21d850'],0,,,,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.298887,,,,,,,,,,,,8f010b52-1555-4024-a077-3c18a4158d65,5,,,"[61.0, 40.1]",3890274,0,,,,,-0.348771,,Right Foot,,,,"[62.1, 39.7]",,Ground Pass,,1.17047,,,,,Simon Zoller,8822.0,,,,,Kick Off,1,From Kick Off,Anthony Modeste,23486.0,Right Center Forward,2,FC Köln,186,['bfae714a-06ff-4802-816f-f50950d562a0'],0,,,,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.819,Pass,
,,,,,,,,,,,,,,,,,2.1626,,,,,,,,,,,,e36e2412-e2d3-4ffb-a894-b8bc3b2dc395,7,,,"[63.2, 41.7]",3890274,0,,,,,2.7223604,,Right Foot,,,,"[35.6, 54.0]",,Ground Pass,,30.216717,,,,,Frederik Hillesborg Sørensen,8829.0,,,,,,1,From Kick Off,Simon Zoller,8822.0,Left Center Forward,2,FC Köln,186,['862a9dc4-6e55-4ca0-8293-9342baf46462'],1,,,,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:01.118,Pass,
,,,,,,,,,,,,,,,,,1.454423,,,,,,,,,,,,f0504b77-605a-44f2-98ff-ee06fe7a1a62,10,,,"[36.6, 53.3]",3890274,0,,,,,1.121408,,Right Foot,,,,"[47.5, 75.9]",,Ground Pass,,25.091234,,,,,Paweł Olkowski,9459.0,,,,,,1,From Kick Off,Frederik Hillesborg Sørensen,8829.0,Right Center Back,2,FC Köln,186,['f70f30d6-e1c8-46a0-a076-0ec276837150'],3,,,,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:03.637,Pass,
,,,,,,,,,,,,,,,,,2.245094,,,,,,,,,,,,6fe93fd6-be50-4128-8349-c895918e9947,13,,,"[47.3, 73.7]",3890274,0,,,,,-0.85595226,,Right Foot,,,,"[73.6, 43.4]",,High Pass,,40.122063,,,Incomplete,,Anthony Modeste,23486.0,,,,,,1,From Kick Off,Paweł Olkowski,9459.0,Right Back,2,FC Köln,186,"['22924abf-039d-490f-aa8b-db4bf0e4fa11', '3ae50792-4032-4f6a-9b64-35e4b5f8a968']",6,,,,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:06.272,Pass,
