50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.749051,,,,,,,,,,,,,335f119d-8bf4-44a5-9638-fe01bfb76baa,16,,,"[28.7, 58.0]",3890469,0,,,,-1.6095366,,Right Foot,,,"[27.7, 32.2]",,Ground Pass,,25.819372,,,,Eugen Polanski,8404.0,,,,,,,1,From Kick Off,Fabian Lukas Schär,5537.0,Right Center Back,2,Hoffenheim,175,['e36f7b96-b558-4754-ba00-cf83b399b234'],8,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:08.155,Pass,
,,,,,,,,,,,,,,,,,,1.2656,,,,,,,,,,,,,c81ee386-81a8-402d-bfae-251a24de78b4,19,,,"[34.0, 30.8]",3890469,0,,,,-1.3258177,,Right Foot,,,"[39.4, 9.2]",,Ground Pass,,22.26477,,,,Niklas Süle,6322.0,,,,,,,1,From Kick Off,Eugen Polanski,8404.0,Center Defensive Midfield,2,Hoffenheim,175,['1187d990-8aff-4ee9-926b-5b4b3cd2707f'],11,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:11.504,Pass,
,,,,,,,,,,,,,,,,,,1.725492,,,,,,,,,,,,,8241226d-835c-49cf-88b6-21c875e35576,23,,,"[34.0, 10.4]",3890469,0,,,,2.3019001,,Right Foot,,,"[16.6, 29.8]",,Ground Pass,,26.05993,,,,Oliver Baumann,8393.0,,,,,,,1,From Kick Off,Niklas Süle,6322.0,Left Center Back,2,Hoffenheim,175,"['1f658632-34cc-4615-b145-1b3cd78c8a78', '50d32649-01ca-4c58-afbd-0e89abc09435']",15,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:15.061,Pass,True
,,,,,,,,,,,,,,,,,,1.406041,,,,,,,,,,,,,29bda7b8-3b37-4641-8bfa-dc9abe5924e3,26,,,"[17.2, 34.9]",3890469,0,,,,0.2814793,,Right Foot,,,"[25.5, 37.3]",,Ground Pass,,8.640023,,,,Eugen Polanski,8404.0,,,,,,,1,From Kick Off,Oliver Baumann,8393.0,Goalkeeper,2,Hoffenheim,175,['f4339773-3d74-42c1-b0ce-c8f290b139d9'],18,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:18.831,Pass,
,,,,,,,,,,,,,,,,,,1.999997,,,,,,,,,,,,,2412a610-a922-486d-aa60-83feda4003a9,29,,,"[24.2, 39.1]",3890469,0,,,,1.6532536,,Right Foot,,,"[22.2, 63.3]",,Ground Pass,,24.282503,,,,Fabian Lukas Schär,5537.0,,,,,,,1,From Kick Off,Eugen Polanski,8404.0,Center Defensive Midfield,2,Hoffenheim,175,['fb764c4b-5a65-4412-9625-f514728b3615'],21,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:21.037,Pass,
,,,,,,,,,,,,,,,,,,1.279998,,,,,,,,,,,,,eda5215a-b306-4015-8659-dc4198e69e69,32,,,"[32.4, 65.6]",3890469,0,,,,-1.0460006,,Right Foot,,,"[45.6, 42.8]",,Ground Pass,,26.345398,,,,Pirmin Schwegler,8556.0,,,,,,,1,From Kick Off,Fabian Lukas Schär,5537.0,Right Center Back,2,Hoffenheim,175,['32823d5d-996e-48ac-9473-d1e4ef72ae90'],27,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:27.258,Pass,
,,,,,,,,,,,,,,,,,,1.241175,,,,,,,,,,,,,28a8b3c0-3395-4c9a-be08-96dfafa22abc,34,,,"[45.6, 42.8]",3890469,0,,,,0.11848996,,Right Foot,,,"[58.2, 44.3]",,High Pass,,12.6889715,,,,Eduardo Jesús Vargas Rojas,27317.0,,,,,,,1,From Kick Off,Pirmin Schwegler,8556.0,Left Center Midfield,2,Hoffenheim,175,['1ce3e407-bb85-4649-8902-40d4065e85b5'],28,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:28.538,Pass,
,,,,,,,,,,,,,,,,,,0.919224,,,,,,,,,,,,,84fb8c44-c306-4f4d-a4b5-e87393d1d2c9,37,,,"[58.2, 44.3]",3890469,0,,,,-2.6071973,,Other,,,"[53.3, 41.4]",,Low Pass,,5.6938562,,Incomplete,,Pirmin Schwegler,8556.0,,,,,,,1,From Kick Off,Eduardo Jesús Vargas Rojas,27317.0,Center Forward,2,Hoffenheim,175,"['3141ecb3-cb7a-43d4-ba80-60a44aa3f01d', '4133a66a-b54d-44ae-a0ea-8f68f952f151']",29,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:29.802,Pass,
,,,,,,,,,,,,,,,,,,0.11631,,,,,,,,,,,,,c8f0cde2-55de-43d6-b4b8-ba4953502de7,42,,,"[65.3, 39.0]",3890469,0,,,,3.1415927,,Right Foot,,,"[64.8, 39.0]",,Low Pass,,0.5,,Incomplete,,Dominik Kohr,8207.0,,,,,,,1,From Kick Off,Ja-Cheol Koo,5627.0,Right Defensive Midfield,2,Hoffenheim,175,"['a4e00e83-7078-479e-92b4-4ca22721ad11', 'ea6865b7-fde9-48d6-bb1b-44126c549fc9', 'f3f2e320-95d8-4f43-a41f-fb15bf952b1a']",31,,,,,,,,,,,,,,,,Augsburg,172,00:00:31.115,Pass,True
,,,,,,,,,,,,,,,,,,0.850796,,,,,,,,,,,,,8d09e437-6283-4a16-b3cf-8c14931d2e9b,47,,,"[59.4, 36.3]",3890469,0,,,,-0.13992468,,Right Foot,,,"[66.5, 35.3]",,Ground Pass,,7.170077,,,,Kevin Volland,8215.0,,,,,,,1,From Kick Off,Pirmin Schwegler,8556.0,Left Center Midfield,2,Hoffenheim,175,['674bee37-ac1e-4deb-b1c0-ce5f9833ed46'],32,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:32.639,Pass,
