50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,24fd772b-2dba-4836-bd07-411a187413fb,1,,,3890262,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 12383, 'name': 'Florian Jungwirth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 9222, 'name': 'Fabian Holland'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 34}, {'player': {'id': 400612, 'name': 'Marco Sailer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 40481, 'name': 'Dominik Stroh-Engel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,14d3ae83-4edc-47cb-9bc0-cdbbe15b9bf9,2,,,3890262,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 13126, 'name': 'Miiko Martín Albornoz Inola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8543, 'name': 'Manuel Schmiedebach'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8541, 'name': 'Kenan Karaman'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 26}, {'player': {'id': 24914, 'name': 'Edgar Prib'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 8551, 'name': 'Felix Klaus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 20027, 'name': 'Mevlüt Erdinç'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f9ff199d-46cf-4bd9-8fa0-8a43273044c1,3,,,3890262,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['9c6d52aa-1229-41d7-9619-0e8d796b497a'],0,,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9c6d52aa-1229-41d7-9619-0e8d796b497a,4,,,3890262,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['f9ff199d-46cf-4bd9-8fa0-8a43273044c1'],0,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7499b127-a31c-4b93-8ead-46b38fd5d07d,1310,,,3890262,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Hannover 96,178,['dc2d0a06-7fba-4278-b92b-88e64361c637'],0,,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dc2d0a06-7fba-4278-b92b-88e64361c637,1311,,,3890262,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Hannover 96,178,['7499b127-a31c-4b93-8ead-46b38fd5d07d'],0,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.516018,,,,,,,,,,,,,5fc0ec23-c846-44e9-99c4-44a7df132210,5,,"[60.0, 40.0]",3890262,0,,,,,-1.6921483,,Right Foot,,,,"[59.5, 35.9]",,Ground Pass,,4.1303754,,,,Marco Sailer,400612.0,,,,,Kick Off,1,From Kick Off,Dominik Stroh-Engel,40481.0,Center Forward,2,Darmstadt 98,872,['d77aaaf8-5e34-4d4f-a7c8-1362bc137df2'],0,,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.124,Pass,
,,,,,,,,,,,,,,,,1.198604,,,,,,,,,,,,,18cfd82b-a352-4e41-b2fc-d669ad13f1a4,7,,"[59.5, 38.4]",3890262,0,,,,,2.7778249,,Right Foot,,,,"[39.8, 45.9]",,Ground Pass,,21.079374,,,,Peter Niemeyer,40467.0,,,,,,1,From Kick Off,Marco Sailer,400612.0,Center Attacking Midfield,2,Darmstadt 98,872,['17961897-a424-43f7-94b2-a4e55cf160db'],0,,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.640,Pass,
,,,,,,,,,,,,,,,,0.947585,,,,,,,,,,,,,95e064b8-2ed8-40d4-84aa-380bea082d11,10,,"[40.5, 46.3]",3890262,0,,,,,-2.0881557,,Right Foot,,,,"[30.2, 28.2]",,Ground Pass,,20.825464,,,,Luca Caldirola,9404.0,,,,,,1,From Kick Off,Peter Niemeyer,40467.0,Left Defensive Midfield,2,Darmstadt 98,872,['b07cba5c-2260-4552-b5cb-737b4018af60'],2,,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:02.800,Pass,
,,,,,,,,,,,,,,,,1.649282,,,,,,,,,,,,,cad1ab86-ba68-45b3-9469-30a7c166a617,13,,"[23.2, 29.0]",3890262,0,,,,,1.5909549,,Left Foot,,,,"[22.7, 53.8]",,Ground Pass,,24.80504,,,,Aytac Sulu,9217.0,,,,,,1,From Kick Off,Luca Caldirola,9404.0,Left Center Back,2,Darmstadt 98,872,['a50a8082-a3db-4d64-9eae-c1f90e7aaa3f'],5,,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:05.692,Pass,
,,,,,,,,,,,,,,,,1.268961,,,,,,,,,,,,,f6133777-b9ea-48cb-a601-8e184a9e72b1,16,,"[24.0, 54.1]",3890262,0,,,,,-1.5246108,,Right Foot,,,,"[25.1, 30.3]",,Ground Pass,,23.825407,,,,Luca Caldirola,9404.0,,,,,,1,From Kick Off,Aytac Sulu,9217.0,Right Center Back,2,Darmstadt 98,872,['cc4f4f97-4983-438f-8f96-db5643790446'],9,,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:09.122,Pass,
,,,,,,,,,,,,,,,,2.856971,,,,,,,,,,,,,d0cfe9f1-2820-45e8-aab8-01836b66fe9b,19,,"[25.5, 16.8]",3890262,0,,,,,0.088781156,,Left Foot,,,,"[78.3, 21.5]",,High Pass,,53.008774,,Incomplete,,Marco Sailer,400612.0,,,,,,1,From Kick Off,Luca Caldirola,9404.0,Left Center Back,2,Darmstadt 98,872,"['8d575264-5b72-484f-ac68-b7db7396d79e', 'eee2c670-6ca0-4296-b469-2f7871eaca9f']",12,,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:12.682,Pass,
,,,,,,,,,,,,,,,,1.002219,,,,,,,,,,,,,8d575264-5b72-484f-ac68-b7db7396d79e,22,,"[41.8, 58.6]",3890262,0,,,,True,-0.40710416,,,,,,"[52.7, 53.9]",,High Pass,,11.870131,,,,Manuel Schmiedebach,8543.0,,,,,Recovery,1,Regular Play,Marcelo Antônio Guedes Filho,3164.0,Right Center Back,3,Hannover 96,178,"['16f53270-5b2e-47f0-849d-ff8949f5821b', '45e5ca59-dc87-4b28-b37e-caa17244ccbb', 'd0cfe9f1-2820-45e8-aab8-01836b66fe9b']",15,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:15.539,Pass,True
,,,,,,,,,,,,,,,,1.448947,,,,,,,,,,,,,ed826142-340b-4750-9488-b340a3cf7cda,24,,"[52.7, 53.9]",3890262,0,,,,,-0.032040313,,Head,,,,"[68.3, 53.4]",,High Pass,,15.60801,,,,Mevlüt Erdinç,20027.0,,,,,,1,Regular Play,Manuel Schmiedebach,8543.0,Right Defensive Midfield,3,Hannover 96,178,['5e9f8e23-3ac9-4123-8fc6-aff894bd2ad8'],16,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:16.558,Pass,
,,,,,,,,,,,,,,,,0.604444,,,,,,,,,,,,,611586c5-8a80-44d5-a6d8-5445f0b0bda9,27,,"[68.3, 54.5]",3890262,0,,,,,2.881963,,Other,,,,"[61.9, 56.2]",,Low Pass,,6.6219335,,,,Kenan Karaman,8541.0,,,,,,1,Regular Play,Mevlüt Erdinç,20027.0,Center Forward,3,Hannover 96,178,"['7b332008-b660-4b23-bdc1-b4bee152103c', 'b0de30b9-27ad-4714-b378-fd88966669f0']",18,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:18.007,Pass,True
,,,,,,,,,,,,,,,,0.723123,,,,,,,,,,,,,a627b147-2433-459e-84aa-d3677a7468a6,29,,"[61.9, 56.2]",3890262,0,,,,,-0.9999227,,Right Foot,,,,"[68.9, 45.3]",,Ground Pass,,12.95415,,,,Edgar Prib,24914.0,,,,,,1,Regular Play,Kenan Karaman,8541.0,Right Wing,3,Hannover 96,178,['3918aae3-3df7-4703-babd-40d67934efa2'],18,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:18.612,Pass,
,,,,,,,,,,,,,,,,1.712118,,,,,,,,,,,,,5ffeffd4-d870-46a7-8966-89e4c17d4dcf,36,,"[85.2, 61.8]",3890262,1,,,,,-0.73835194,b8d61bd6-1589-4b10-8a8b-be4c2679e293,Left Foot,,,,"[113.0, 36.5]",,High Pass,,37.588963,,,,Marcelo Antônio Guedes Filho,3164.0,True,,,,Free Kick,1,From Free Kick,Oliver Sorg,12316.0,Right Back,4,Hannover 96,178,['23600ef9-167c-4e25-b8e2-d67071f1748f'],3,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:01:03.332,Pass,
,,,,,,,,,,,,,,,,2.463856,,,,,,,,,,,,,32b20594-7bb5-4d15-8e43-916298067bb6,41,,"[120.0, 0.1]",3890262,1,,,,,1.7106032,,Left Foot,,,,"[113.4, 47.0]",,High Pass,,47.362114,,Incomplete,True,Christian Schulz,400614.0,,True,Outswinging,,Corner,1,From Corner,Miiko Martín Albornoz Inola,13126.0,Left Back,5,Hannover 96,178,"['9c9e245f-cdb3-4818-8a7c-6197dca64a2d', 'a6ccaec5-0077-4390-a608-fb52f718e2ba']",30,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:01:30.700,Pass,
,,,,,,,,,,,,,,,,1.184511,,,,,,,,,,,,,ef3e9e76-7acc-44a9-8773-4a59a49fd625,45,,"[106.6, 45.3]",3890262,1,,,,,-0.15160549,,Head,,,,"[113.8, 44.2]",,High Pass,,7.283543,,Incomplete,,Mevlüt Erdinç,20027.0,,,,,Recovery,1,From Corner,Marcelo Antônio Guedes Filho,3164.0,Right Center Back,5,Hannover 96,178,"['3038a515-efca-4ba8-893b-66bc139783d2', 'cd4b7b41-7327-418c-a4bf-33cd2adf0287']",34,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:01:34.302,Pass,
,,,,,,,,,,,,,,,,4.112326,,,,,,,,,,,,,0163fc66-9c77-45b8-a037-0f92ece875bb,50,,"[21.9, 53.2]",3890262,2,,,,,-0.07013887,,Right Foot,,,,"[88.8, 48.5]",,High Pass,,67.064896,,,,Dominik Stroh-Engel,40481.0,,,,,Free Kick,1,From Free Kick,Christian Mathenia,8306.0,Goalkeeper,6,Darmstadt 98,872,['f923835e-9806-4a83-98e9-fb0f8ecb2bd3'],7,,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:02:07.451,Pass,
