50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a6af9b57-d627-43b5-8a7e-07fd5f83b1ec,1,,,3890373,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8545, 'name': 'Julian Korb'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 12320, 'name': 'Tony Jantschke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 8809, 'name': 'Oscar Wendt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8395, 'name': 'Håvard Nordtveit'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11285, 'name': 'Ibrahima Traoré'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,637949c0-e7ee-4676-bf64-207a5cac0bf0,2,,,3890373,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 13126, 'name': 'Miiko Martín Albornoz Inola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8543, 'name': 'Manuel Schmiedebach'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 24244, 'name': 'Uffe Manich Bech'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 30287, 'name': 'Ceyhun Gülselam'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 8541, 'name': 'Kenan Karaman'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 26}, {'player': {'id': 11845, 'name': 'Artur Sobiech'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3c079d1a-68ff-49ff-88b3-ba1d889f9e9c,3,,,3890373,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['1741a18a-cf4d-4d86-ba93-4da3bdf800a0'],0,,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1741a18a-cf4d-4d86-ba93-4da3bdf800a0,4,,,3890373,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['3c079d1a-68ff-49ff-88b3-ba1d889f9e9c'],0,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,938b4a3d-3d83-44c9-93d0-f23887511c10,2102,,,3890373,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Borussia Mönchengladbach,185,['7f9ac54f-a8a9-4c80-81dd-374d5a2fd773'],0,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7f9ac54f-a8a9-4c80-81dd-374d5a2fd773,2103,,,3890373,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Borussia Mönchengladbach,185,['938b4a3d-3d83-44c9-93d0-f23887511c10'],0,,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.100319,,,,,,,,,,,,,,9f66ed72-5b38-424b-b6d4-45a56ffd5377,5,,"[61.0, 40.1]",3890373,0,,,,,2.910147,,Left Foot,,,"[45.3, 43.8]",,Ground Pass,,16.130096,,,,Salif Sané,5664.0,,,,,Kick Off,1,From Kick Off,Artur Sobiech,11845.0,Center Forward,2,Hannover 96,178,['e4bcfb14-bdf2-4f67-85e3-888afd6e3ed3'],0,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.512,Pass,
,,,,,,,,,,,,,,,,,2.05576,,,,,,,,,,,,,,dc27c59b-7be9-413d-93b9-81d32abd04e3,8,,"[45.0, 41.3]",3890373,0,,,,,-1.8186778,,Right Foot,,,"[36.8, 8.9]",,Ground Pass,,33.42155,,,,Miiko Martín Albornoz Inola,13126.0,,,,,,1,From Kick Off,Salif Sané,5664.0,Right Defensive Midfield,2,Hannover 96,178,['853cfdee-2b15-480d-aeed-7280099f9484'],2,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:02.697,Pass,
,,,,,,,,,,,,,,,,,2.712316,,,,,,,,,,,,,,abd8c97d-2c04-42b3-b7a6-627dc15790c6,11,,"[36.2, 6.4]",3890373,0,,,,,-0.008247236,,Left Foot,,,"[84.7, 6.0]",,High Pass,,48.501648,,Unknown,,Artur Sobiech,11845.0,,,,,,1,From Kick Off,Miiko Martín Albornoz Inola,13126.0,Left Back,2,Hannover 96,178,['13c836d1-4e2b-46c2-b94f-cd610592314d'],5,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:05.531,Pass,
,,,,,,,,,,,,,,,,,0.122608,,,,,,,,,,,,,,946f853c-b432-4f1c-85af-3c4220f5c382,15,,"[29.7, 75.6]",3890373,0,,True,,,-2.3157542,,Right Foot,,,"[21.4, 66.6]",,Ground Pass,,12.242957,,,,Andreas Christensen,3959.0,,,,,Free Kick,1,From Free Kick,Julian Korb,8545.0,Right Back,3,Borussia Mönchengladbach,185,['66537f1b-2738-4273-a326-bafaa2ec49d7'],14,,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:14.913,Pass,
