50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9c472fec-5d73-435e-9dd9-e75dc0dd2ff2,1,,,,3890505,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19295, 'name': 'Philipp Lahm'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 15651, 'name': 'Juan Bernat Velasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8227, 'name': 'Mario Götze'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 8223, 'name': 'Franck Bilal Ribéry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b720e307-b6e5-40a1-932f-f47688e1a1b7,2,,,,3890505,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 19}, {'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 400621, 'name': 'Tohouri Zahoui Constant Djakpa'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 18888, 'name': 'Szabolcs Huszti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 35240, 'name': 'Änis Ben-Hatira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 32}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,944153fe-ad6b-4236-99fe-b6ae90857371,3,,,,3890505,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['f3d0e31a-95e3-444b-ae06-f1eeda56ff6e'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f3d0e31a-95e3-444b-ae06-f1eeda56ff6e,4,,,,3890505,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['944153fe-ad6b-4236-99fe-b6ae90857371'],0,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,26e975c8-e1e1-4a4b-abdd-80dedf11910d,1761,,,,3890505,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,110,Eintracht Frankfurt,184,['bad665e6-ec62-4efa-97ea-67578be75925'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bad665e6-ec62-4efa-97ea-67578be75925,1762,,,,3890505,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,110,Eintracht Frankfurt,184,['26e975c8-e1e1-4a4b-abdd-80dedf11910d'],0,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.819303,,,,,,,,,,,a5d649f6-984a-46e4-8601-1a8255d3f4ac,5,,,"[61.0, 40.1]",3890505,0,,True,,,1.7294515,,Right Foot,,,"[60.6, 42.6]",Ground Pass,2.531798,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,Kick Off,1,From Kick Off,Robert Lewandowski,5668.0,Center Forward,2,Bayern Munich,169,['7bd62fd7-c56e-4014-b8eb-7f19451073d9'],0,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.722,Pass,
,,,,,,,,,,,,,,,,,1.310048,,,,,,,,,,,c69794f9-013c-4f41-abe2-f41024935812,7,,,"[60.6, 42.6]",3890505,0,,,,,-3.0842392,,Right Foot,,,"[39.7, 41.4]",Ground Pass,20.934422,,,,David Olatukunbo Alaba,8220.0,,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,2,Bayern Munich,169,['216900f8-426e-4ecc-9c2f-7a9d5763ed5d'],1,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:01.737,Pass,
,,,,,,,,,,,,,,,,,0.947971,,,,,,,,,,,4f990311-7a21-4d37-bc85-b6420c59a075,10,,,"[39.7, 41.4]",3890505,0,,,,,0.8745231,,Left Foot,,,"[50.4, 54.2]",Ground Pass,16.683226,,,,Philipp Lahm,19295.0,,,,,,,1,From Kick Off,David Olatukunbo Alaba,8220.0,Left Center Back,2,Bayern Munich,169,['c98fd993-6278-4161-a441-f39128a88bfa'],4,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:04.189,Pass,
,,,,,,,,,,,,,,,,,0.626291,,,,,,,,,,,9046127b-c7db-4d50-9938-9e64594e7ba3,13,,,"[55.4, 54.6]",3890505,0,,,,,-0.040793683,,Right Foot,,,"[70.1, 54.0]",Ground Pass,14.71224,,,,Robert Lewandowski,5668.0,,,,,,,1,From Kick Off,Philipp Lahm,19295.0,Right Back,2,Bayern Munich,169,['b57cdf59-4007-4468-a248-98e324e8f35f'],6,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:06.644,Pass,
