50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,01c553e2-a86d-439d-9299-e680be6715a0,1,,,3890314,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 8237, 'name': 'Paul Verhaegh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4279, 'name': 'Konstantinos Stafylidis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 40462, 'name': 'Halil Altıntop'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 8574, 'name': 'Alexander Esswein'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 8807, 'name': 'Raúl Marcelo Bobadilla'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,36c49c1f-afb1-4052-8d83-9ad9508df72c,2,,,3890314,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 9396, 'name': 'Ermin Bičakčić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8392, 'name': 'Jeremy Toljan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 8556, 'name': 'Pirmin Schwegler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 8404, 'name': 'Eugen Polanski'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 6}, {'player': {'id': 8311, 'name': 'Jonathan Schmid'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 31}, {'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Hoffenheim,175,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,88c5c891-6192-4ff6-9be0-4a67e9f0db69,3,,,3890314,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['212c2e6d-b712-4bdd-a5c4-d8b2f6f2cb29'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,212c2e6d-b712-4bdd-a5c4-d8b2f6f2cb29,4,,,3890314,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['88c5c891-6192-4ff6-9be0-4a67e9f0db69'],0,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9cc523fe-210b-43e2-8cd6-8b949e63a86f,1751,,,3890314,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Hoffenheim,175,['38f9f7bd-01a5-4f6a-9021-10dc6bdf1330'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,38f9f7bd-01a5-4f6a-9021-10dc6bdf1330,1752,,,3890314,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Hoffenheim,175,['9cc523fe-210b-43e2-8cd6-8b949e63a86f'],0,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.720732,,,,,,,,,,,,,,60e7ef53-2366-43c1-8ff2-e06682af120f,5,,"[60.0, 40.0]",3890314,0,,,,,-1.2315037,,Right Foot,,,"[60.6, 38.3]",,Ground Pass,,1.8027756,,,,Raúl Marcelo Bobadilla,8807.0,,,,,,Kick Off,1,From Kick Off,Halil Altıntop,40462.0,Center Attacking Midfield,2,Augsburg,172,['21b794aa-64fa-4111-9bfc-9e573d662fc8'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.299,Pass,
,,,,,,,,,,,,,,,1.568854,,,,,,,,,,,,,,fcb6c82c-a4d6-42d4-a463-0bcd0dd0c7ac,7,,"[59.4, 36.9]",3890314,0,,,,,2.9917803,,Left Foot,,,"[43.5, 39.3]",,Ground Pass,,16.080112,,,,Daniel Baier,8317.0,,,,,,,1,From Kick Off,Raúl Marcelo Bobadilla,8807.0,Center Forward,2,Augsburg,172,['168c9f67-6470-492f-9873-95d0ef346aea'],1,,,,,,,,,,,,,,,,,Augsburg,172,00:00:01.020,Pass,
,,,,,,,,,,,,,,,3.798538,,,,,,,,,,,,,,b6fa2b94-ed53-4a4e-8be2-7c19bc8dc0a9,9,,"[45.7, 38.3]",3890314,0,,,,,-0.41909602,,Right Foot,,,"[98.9, 14.6]",,High Pass,,58.240276,,Incomplete,,Alexander Esswein,8574.0,,,,,,,1,From Kick Off,Daniel Baier,8317.0,Left Defensive Midfield,2,Augsburg,172,"['15f7a055-6229-417e-91e2-f5f630a65a91', '69660435-936b-4be0-8925-42552c2a2c85']",2,,,,,,,,,,,,,,,,,Augsburg,172,00:00:02.589,Pass,
,,,,,,,,,,,,,,,1.822882,,,,,,,,,,,,,,15f7a055-6229-417e-91e2-f5f630a65a91,11,,"[21.2, 65.5]",3890314,0,,,,,-0.0060240235,,Head,,,"[37.8, 65.4]",,High Pass,,16.600302,,Incomplete,,Pirmin Schwegler,8556.0,,,,,,Recovery,1,From Kick Off,Pavel Kadeřábek,9397.0,Right Back,2,Augsburg,172,"['1114b102-9238-48ae-a6e0-63b40a776d37', 'b6fa2b94-ed53-4a4e-8be2-7c19bc8dc0a9', 'c7c1b842-e0d6-4ac9-a79e-d3dfed890a68']",6,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:06.387,Pass,
,,,,,,,,,,,,,,,2.158592,,,,,,,,,,,,,,c7c1b842-e0d6-4ac9-a79e-d3dfed890a68,13,,"[82.3, 14.7]",3890314,0,,,,,-1.1388841,,Head,,,"[88.2, 1.9]",,High Pass,,14.094325,,,,Alexander Esswein,8574.0,,,,,,Recovery,1,From Kick Off,Halil Altıntop,40462.0,Center Attacking Midfield,2,Augsburg,172,"['15f7a055-6229-417e-91e2-f5f630a65a91', '8e122632-744b-471d-a3f1-eaad26c621b2']",8,,,,,,,,,,,,,,,,,Augsburg,172,00:00:08.210,Pass,
,,,,,,,,,,,,,,,2.177491,,,,,,,,,,,,,,0e6e4f67-63a5-480e-be69-dedea671794f,16,,"[89.2, 1.6]",3890314,0,,,,True,3.0457335,,,,,"[73.6, 3.1]",,Low Pass,,15.671949,,,,Konstantinos Stafylidis,4279.0,,,,,,,1,From Kick Off,Alexander Esswein,8574.0,Left Wing,2,Augsburg,172,"['e0166312-9cb0-4efc-8106-f6eee345aa42', 'f6a192d5-83b6-42ff-9dd1-bdeafba60af6']",10,,,,,,,,,,,,,,,,,Augsburg,172,00:00:10.449,Pass,True
,,,,,,,,,,,,,,,2.073979,,,,,,,,,,,,,,656a626a-0ddf-4ba7-86b8-81be878bf95c,19,,"[68.6, 4.3]",3890314,0,,,,,2.9028864,,Left Foot,,,"[42.3, 10.7]",,Ground Pass,,27.067509,,,,Ragnar Klavan,4174.0,,,,,,,1,From Kick Off,Konstantinos Stafylidis,4279.0,Left Back,2,Augsburg,172,['899efaac-5302-4dff-9478-a422f42ef846'],13,,,,,,,,,,,,,,,,,Augsburg,172,00:00:13.552,Pass,
,,,,,,,,,,,,,,,1.765676,,,,,,,,,,,,,,75f5405b-96df-42f1-818e-73a71f753af2,22,,"[42.3, 10.7]",3890314,0,,,,,2.088284,,Left Foot,,,"[31.2, 30.2]",,Ground Pass,,22.437914,,,,Jeong-Ho Hong,40543.0,,,,,,,1,From Kick Off,Ragnar Klavan,4174.0,Left Center Back,2,Augsburg,172,['f7e7c069-460a-4cbc-aea8-e104446ea0f3'],17,,,,,,,,,,,,,,,,,Augsburg,172,00:00:17.353,Pass,
,,,,,,,,,,,,,,,1.22809,,,,,,,,,,,,,,3b0214bc-66c5-409c-af76-d630a836ded0,26,,"[32.2, 50.4]",3890314,0,,,,,1.301022,,Right Foot,,,"[39.5, 76.8]",,Ground Pass,,27.390692,,,,Paul Verhaegh,8237.0,,,,,,,1,From Kick Off,Jeong-Ho Hong,40543.0,Right Center Back,2,Augsburg,172,"['18b37331-58d4-47d9-bcb9-0014dc02f74a', '8b7b0136-7269-4b0e-94e3-122ff9946993']",20,,,,,,,,,,,,,,,,,Augsburg,172,00:00:20.379,Pass,True
