50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,3.657308,,,,,,,,,,,,,a63fea62-a3a8-43bc-9886-433dedbf757e,15,,"[29.5, 58.8]",3890392,0,,,,,0.043904822,,Right Foot,,,,"[77.3, 60.9]",,High Pass,,47.846107,,Incomplete,,Anthony Ujah,12624.0,,,,,,Recovery,1,From Kick Off,Alejandro Gálvez Jimena,6924.0,Right Center Back,2,VfB Stuttgart,174,"['31c21b66-8fb0-42de-aea8-c0a642c7d3c0', '7c6d5c37-a167-4d28-a239-93bc09319c08', 'e01f8c14-0d27-4e46-89db-e92d1c3efb68']",8,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:08.392,Pass,
,,,,,,,,,,,,,,,,,3.223608,,,,,,,,,,,,,31c21b66-8fb0-42de-aea8-c0a642c7d3c0,18,,"[42.8, 19.2]",3890392,0,,,,True,-0.9018282,,,,,,"[57.9, 0.1]",,High Pass,,24.347895,,Out,,Emiliano Adrián Insúa Zapata,12626.0,,,,,,Recovery,1,From Kick Off,Timo Baumgartl,8956.0,Left Center Back,2,VfB Stuttgart,174,"['84bf9ead-c37e-4234-85d4-90abb6a12e91', '9a301327-aaa0-4442-9441-88a25fff92b4', 'a63fea62-a3a8-43bc-9886-433dedbf757e']",12,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:12.049,Pass,True
,,,,,,,,,,,,,,,,,0.851366,,,,,,,,,,,,,d260c5cc-0d99-4d85-9910-c1a5103183cc,20,,"[60.6, 80.0]",3890392,0,,,,,-1.0158006,,,,,,"[66.8, 70.0]",,Low Pass,,11.766053,,,,Philipp Bargfrede,8390.0,,,,,,Throw-in,1,From Throw In,Theodor Gebre Selassie,8396.0,Right Back,3,Werder Bremen,176,['0698681e-16fe-4017-9f29-1749d77dff57'],22,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:22.452,Pass,
,,,,,,,,,,,,,,,,,1.851503,,,,,,,,,,,,,c2b6d1de-11d4-46ed-bcfa-68b41de1ed49,24,,"[66.8, 69.7]",3890392,0,,,,,-1.5120405,,Right Foot,,,,"[69.1, 30.6]",,Low Pass,,39.167587,,Incomplete,,Santiago García,26359.0,,,,,,,1,From Throw In,Philipp Bargfrede,8390.0,Center Defensive Midfield,3,Werder Bremen,176,"['dd687a86-b795-46d2-aa04-35aa84be51f3', 'fa4eef93-ea83-428c-a0b2-75c9ec5e0ca8']",24,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:24.359,Pass,
,,,,,,,,,,,,,,,,,0.793111,,,,,,,,,,,,,32008390-5b83-4db3-9c35-abce9edd8814,30,,"[67.2, 52.9]",3890392,0,,,,,-2.179754,,Right Foot,,,,"[61.9, 45.3]",,Ground Pass,,9.265528,,,,Daniel Didavi,8243.0,,,,,,,1,From Throw In,Lukas Rupp,11395.0,Right Midfield,3,Werder Bremen,176,"['49658d4c-5496-49f7-9879-4a1b5e90483b', '6a430c23-3fee-4fac-85b8-356f0fb1babb']",29,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:29.838,Pass,True
,,,,,,,,,,,,,,,,,3.015091,,,,,,,,,,,,,384a985b-de29-4a03-9f2e-0486503102be,32,,"[61.2, 43.5]",3890392,0,,,,,1.318581,,Right Foot,,,,"[70.4, 79.2]",,Ground Pass,,36.86638,,Out,,Daniel Schwaab,8270.0,,,,,,,1,From Throw In,Daniel Didavi,8243.0,Right Center Midfield,3,Werder Bremen,176,['22012778-84a4-4286-9361-59570a2311cf'],30,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:30.632,Pass,
,,,,,,,,,,,,,,,,,3.284814,,,,,,,,,,,,,776ae854-889f-40e3-8782-aea16aa73256,34,,"[52.5, 0.1]",3890392,0,,,,,2.0595958,,,,,,"[35.8, 31.5]",,High Pass,,35.56473,,,,Alejandro Gálvez Jimena,6924.0,,,,,,Throw-in,1,From Throw In,Santiago García,26359.0,Left Back,4,Werder Bremen,176,['de04e712-9fd5-4114-a1f8-b1ed83430b83'],45,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:45.889,Pass,
,,,,,,,,,,,,,,,,,1.470127,,,,,,,,,,,,,eb5f564c-a0db-46b3-a28a-9aa3afcea327,37,,"[31.6, 37.7]",3890392,0,,,,,1.1957517,,Right Foot,,,,"[45.3, 72.5]",,Ground Pass,,37.399597,,,,Theodor Gebre Selassie,8396.0,,,,,,,1,From Throw In,Alejandro Gálvez Jimena,6924.0,Right Center Back,4,Werder Bremen,176,['f68bddc5-d785-4286-a31c-19d6c4d310b9'],51,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:51.083,Pass,
,,,,,,,,,,,,,,,,,0.931084,,,,,,,,,,,,,e6c381b4-737f-4cf8-b082-b91bb35d9f4e,40,,"[55.2, 73.6]",3890392,0,,,,,-1.4372673,,Right Foot,,,,"[57.0, 60.2]",,Ground Pass,,13.520355,,,,Philipp Bargfrede,8390.0,,,,,,,1,From Throw In,Theodor Gebre Selassie,8396.0,Right Back,4,Werder Bremen,176,['ee4b95bd-32bb-45ce-bbd1-42fd3a3e044c'],55,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:55.922,Pass,
,,,,,,,,,,,,,,,,,3.531572,,,,,,,,,,,,,dff01d23-0ad7-425c-b55d-c9bd8ef4ec15,43,,"[55.8, 65.0]",3890392,0,,,,,0.35230872,,Right Foot,,,,"[96.6, 80.0]",,High Pass,,43.46999,,Out,,Fin Bartels,8389.0,,,,,,,1,From Throw In,Philipp Bargfrede,8390.0,Center Defensive Midfield,4,Werder Bremen,176,['440af7a7-2cf3-415f-ae9b-5c95002bba94'],56,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:56.981,Pass,
,,,,,,,,,,,,,,,,,3.792336,,,,,,,,,,,,,d860698f-2aea-47d9-8982-305327f85744,45,,"[34.2, 0.1]",3890392,1,,,,,0.052824374,,,,,,"[77.7, 2.4]",,High Pass,,43.56076,,Incomplete,,Timo Werner,5557.0,,,,,,Throw-in,1,From Throw In,Emiliano Adrián Insúa Zapata,12626.0,Left Back,5,VfB Stuttgart,174,"['85ea8f34-67ad-41ee-b7b1-86d8f53ef6f4', 'b4c23e54-2ae0-454f-b9b2-68aa3bd2aab4']",22,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:01:22.674,Pass,
