50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,77eeea78-02d7-4135-901a-02a783f5f59f,1,,,,3890365,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 8233, 'name': 'Gonzalo Castro Randon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8ffb0970-4718-44be-b281-059beb57f33d,2,,,,3890365,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30312, 'name': 'Uilson de Souza Paula Júnior'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 8958, 'name': 'Dennis Aogo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3510, 'name': 'Sead Kolašinac'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8512, 'name': 'Franco Matías Di Santo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 25}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0d943004-89e6-471b-8d7f-4e8b58eeb395,3,,,,3890365,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['de9e193c-8e13-475c-ab5d-f8b300cfdad2'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,de9e193c-8e13-475c-ab5d-f8b300cfdad2,4,,,,3890365,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['0d943004-89e6-471b-8d7f-4e8b58eeb395'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,39566b61-ecfc-47a3-b343-190a7bd09cf1,1968,,,,3890365,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,89,Borussia Dortmund,180,['dabc0de9-f9d5-4db0-b9b9-ef9fee586d91'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,dabc0de9-f9d5-4db0-b9b9-ef9fee586d91,1969,,,,3890365,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,89,Borussia Dortmund,180,['39566b61-ecfc-47a3-b343-190a7bd09cf1'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.468054,,,,,,,,,,,,,,,77481969-b04e-48cd-a394-db18c107c7ab,5,,,"[61.0, 40.1]",3890365,0,,True,,,0.0,,Right Foot,,,,"[62.1, 40.1]",,Ground Pass,,1.1,,,,,Leroy Sané,3053.0,,,,,Kick Off,1,From Kick Off,Klaas-Jan Huntelaar,8060.0,Left Center Forward,2,Schalke 04,181,['c33005b8-ebeb-4b12-b466-1e7c8e5575e2'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.645,Pass,
,,,,,,,,,,,,,,,,,,1.305439,,,,,,,,,,,,,,,375c9daf-fa67-4bf7-8b31-917b1022b118,7,,,"[62.1, 39.8]",3890365,0,,True,,,2.6025486,,Right Foot,,,,"[51.4, 46.2]",,Ground Pass,,12.467959,,,,,Leon Goretzka,6324.0,,,,,,1,From Kick Off,Leroy Sané,3053.0,Right Center Forward,2,Schalke 04,181,['0316ad1e-e18a-4a2e-9327-31975111c95a'],1,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:01.267,Pass,
,,,,,,,,,,,,,,,,,,1.281054,,,,,,,,,,,,,,,1d821d34-9129-4932-bf2b-0d94a4098df6,9,,,"[51.4, 46.2]",3890365,0,,,,,1.3721915,,Right Foot,,,,"[57.8, 78.0]",,Ground Pass,,32.437634,,,,,Franco Matías Di Santo,8512.0,,,,,,1,From Kick Off,Leon Goretzka,6324.0,Right Defensive Midfield,2,Schalke 04,181,['f1a173b7-1f89-4447-8ec7-637d5199e5f5'],3,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:03.396,Pass,
,,,,,,,,,,,,,,,,,,4.231269,,,,,,,,,,,,,,,df993409-090c-4709-815b-c2feee4647ec,12,,,"[63.3, 77.1]",3890365,0,,,,,-0.09505634,,Right Foot,,,,"[108.4, 72.8]",,Ground Pass,,45.304523,,,Incomplete,,Leroy Sané,3053.0,,,,,,1,From Kick Off,Franco Matías Di Santo,8512.0,Right Midfield,2,Schalke 04,181,"['524dd551-6a6f-4c85-bddb-7949a20ae56e', '916a90c0-f9d2-40cd-9642-0cc29c3ebd90']",6,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:06.323,Pass,
