50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ff2a188e-98a4-4fef-813e-f391de06ce78,1,,,,3890452,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 9720, 'name': 'Philipp Ochs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 30}, {'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 8403, 'name': 'Nadiem Amiri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 8387, 'name': 'Mark Uth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hoffenheim,175,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0d8c5c51-5fe0-4585-b408-dae1a6a2794c,2,,,,3890452,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 15847, 'name': 'Alexander Hack'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 42}, {'player': {'id': 18399, 'name': 'Gaëtan Bussmann'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 9098, 'name': 'Christian Clemens'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 8817, 'name': 'Jhon Andrés Córdoba Copete'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",FSV Mainz 05,177,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d81321a2-53b5-4093-a6d7-22b5dd915c51,3,,,,3890452,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,['33b8a9a9-7700-4229-aa0f-1e32ed497368'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,33b8a9a9-7700-4229-aa0f-1e32ed497368,4,,,,3890452,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,['d81321a2-53b5-4093-a6d7-22b5dd915c51'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c47da289-369a-4164-bf4e-7b23f13d78c5,1728,,,,3890452,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Hoffenheim,175,['a03e2190-a5c0-480c-aad3-705f6d8a48e2'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a03e2190-a5c0-480c-aad3-705f6d8a48e2,1729,,,,3890452,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Hoffenheim,175,['c47da289-369a-4164-bf4e-7b23f13d78c5'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.575034,,,,,,,,,,,133cf921-4135-4fea-a93c-023a28d28363,5,,,"[61.0, 40.1]",3890452,0,,,,,-2.5702553,,Right Foot,,,"[59.6, 39.2]",,Ground Pass,,1.6643317,,,Sebastian Rudy,6039.0,,,,,Kick Off,1,From Kick Off,Eduardo Jesús Vargas Rojas,27317.0,Center Forward,2,Hoffenheim,175,['5b7c07e4-543c-426d-b167-2476cad6f7d5'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.511,Pass,
,,,,,,,,,,,,,,,,,,,1.880343,,,,,,,,,,,5effb94f-e226-4fd8-979f-318250b03d6c,8,,,"[59.4, 39.0]",3890452,0,,,,,2.738681,,Right Foot,,,"[35.0, 49.4]",,Ground Pass,,26.52395,,,Fabian Lukas Schär,5537.0,,,,,,1,From Kick Off,Sebastian Rudy,6039.0,Left Center Midfield,2,Hoffenheim,175,['c878c7ec-ff36-4f2a-9d5b-21a11cbc575e'],1,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:01.183,Pass,
,,,,,,,,,,,,,,,,,,,2.995114,,,,,,,,,,,5032bb87-4cf2-4d26-9c0d-7e0c418a5145,11,,,"[38.9, 46.0]",3890452,0,,,,,-0.56804866,,Right Foot,,,"[92.8, 11.6]",,High Pass,,63.941925,,,Kevin Volland,8215.0,,,,,,1,From Kick Off,Fabian Lukas Schär,5537.0,Right Center Back,2,Hoffenheim,175,['2b26eccb-637a-4225-9176-8e2a330e559b'],4,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:04.427,Pass,
,,,,,,,,,,,,,,,,,,,1.08914,,,,,,,,,,,6a5f759c-088f-4b4d-afad-e317a723fc1b,17,,,"[110.9, 0.1]",3890452,0,,,,,1.7175596,,,,,"[109.2, 11.6]",,Low Pass,,11.624973,,,Sebastian Rudy,6039.0,,,,,Throw-in,1,From Throw In,Philipp Ochs,9720.0,Left Back,3,Hoffenheim,175,['7a9ba1de-e87a-4cb0-a2e0-10311321c2af'],21,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:21.521,Pass,
