50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.85774,,,,,,,,,,,,,3ac48ef1-30a6-4d60-bd1d-c973694d3bec,16,,"[36.6, 69.7]",3890422,0,,,,,0.77685136,,Right Foot,,,"[42.5, 75.5]",,High Pass,,8.273452,,,,Gustavo Adrián Ramos Vásquez,24324.0,,,,,Recovery,1,Regular Play,Matthias Ginter,8808.0,Right Defensive Midfield,3,Borussia Dortmund,180,['3cebb9c8-f814-4778-a9a9-1e3c1fddc1e7'],7,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:07.819,Pass,
,,,,,,,,,,,,,,,,,,4.158511,,,,,,,,,,,,,ce544d4c-91a7-404f-a554-1402746354b6,19,,"[41.5, 75.8]",3890422,0,,,,,0.0679426,,Right Foot,,,"[75.3, 78.1]",,High Pass,,33.878162,,Incomplete,,Pierre-Emerick Aubameyang,3712.0,,,,,,1,Regular Play,Gustavo Adrián Ramos Vásquez,24324.0,Right Wing,3,Borussia Dortmund,180,"['c20c59fc-3054-4b89-9819-f0926dab343a', 'c25cfcd1-eb7b-45dd-acc4-a4160e670d91', 'f6c6efb1-9089-46a4-9622-e8c4d94f45c0']",9,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:09.677,Pass,True
,,,,,,,,,,,,,,,,,,1.550297,,,,,,,,,,,,,8f9f25e7-33c8-4d97-bab5-52dbe7320cf5,22,,"[72.8, 80.0]",3890422,0,,,,,-2.819842,,,,,"[53.9, 73.7]",,Low Pass,,19.92235,,,,Sokratis Papastathopoulos,8244.0,,,,,Throw-in,1,From Throw In,Łukasz Piszczek,5658.0,Right Back,4,Borussia Dortmund,180,['fac459fd-96be-4b90-b36c-15eddd583459'],23,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:23.145,Pass,
,,,,,,,,,,,,,,,,,,2.447954,,,,,,,,,,,,,92c762e8-483a-49d5-963d-3974a3b655b2,25,,"[53.5, 73.5]",3890422,0,,,,,-1.8841122,,Right Foot,,,"[43.1, 41.4]",,Ground Pass,,33.742702,,,,Mats Hummels,5572.0,,,,,,1,From Throw In,Sokratis Papastathopoulos,8244.0,Right Center Back,4,Borussia Dortmund,180,['5579d79e-561e-47b8-9068-454ade0014ef'],25,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:25.337,Pass,
,,,,,,,,,,,,,,,,,,0.950866,,,,,,,,,,,,,e07304bc-25db-4591-a5e0-ab4af8b1dbb4,29,,"[49.4, 49.5]",3890422,0,,,,,0.5963776,,Right Foot,,,"[63.1, 58.8]",,Ground Pass,,16.558382,,,,Matthias Ginter,8808.0,,,,,,1,From Throw In,Mats Hummels,5572.0,Left Center Back,4,Borussia Dortmund,180,"['d8f772eb-9519-4171-af62-cceacc11efcb', 'ef6f4532-9333-4006-bd41-71ed7eb1eec5']",29,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:29.878,Pass,True
,,,,,,,,,,,,,,,,,,0.998484,,,,,,,,,,,,,0b508d33-f650-4aed-ac71-a9be7ee5e17c,33,,"[65.1, 60.5]",3890422,0,,,,,0.120222785,,Right Foot,,,"[80.0, 62.3]",,Ground Pass,,15.008331,,Incomplete,,Gustavo Adrián Ramos Vásquez,24324.0,,,,,,1,From Throw In,Matthias Ginter,8808.0,Right Defensive Midfield,4,Borussia Dortmund,180,"['2cb3621e-a55e-4579-870b-97f7298cc7d4', '528e42fa-19d2-4bf7-8147-0376218f992a', '8e1d3213-7aa9-4856-abca-674a573f5490']",31,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:31.324,Pass,True
,,,,,,,,,,,,,,,,,,3.296401,,,,,,,,,,,,,0d2b684e-3021-42a6-8be0-2383a48f6557,38,,"[39.5, 25.5]",3890422,0,,,,,-0.22605221,,Right Foot,,,"[98.2, 12.0]",,High Pass,,60.232384,,Pass Offside,,Mathew Leckie,5481.0,,,,,Free Kick,1,From Free Kick,Ramazan Özcan,12319.0,Goalkeeper,5,Ingolstadt,189,['b5cea653-db1b-40b3-8d11-ec1660b8843f'],52,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:52.115,Pass,
,,,,,,,,,,,,,,,,,,2.204341,,,,,,,,,,,,,0e315906-e5ff-4d0a-b70a-af0bbe9cfb86,40,,"[21.9, 68.1]",3890422,1,,True,,,-1.3903894,,Right Foot,,,"[33.5, 4.5]",,Ground Pass,,64.64921,,,,Erik Durm,13206.0,,True,,,Free Kick,1,From Free Kick,Sokratis Papastathopoulos,8244.0,Right Center Back,6,Borussia Dortmund,180,['eb50bc4e-e94c-40dc-995f-71acb4266a2e'],8,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:01:08.675,Pass,
,,,,,,,,,,,,,,,,,,0.978474,,,,,,,,,,,,,06693bd7-d794-4c10-8049-5d90195be785,42,,"[41.4, 1.4]",3890422,1,,,,,0.09966865,,Right Foot,,,"[54.4, 2.7]",,Ground Pass,,13.064838,,,,Henrikh Mkhitaryan,3275.0,,,,,,1,From Free Kick,Erik Durm,13206.0,Left Back,6,Borussia Dortmund,180,['c7b6d716-f0c0-4f5f-b9ae-b44f1e299159'],12,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:01:12.147,Pass,
,,,,,,,,,,,,,,,,,,1.893883,,,,,,,,,,,,,d826167e-62c5-451d-b9ff-1d79cf3c6627,46,,"[51.1, 2.5]",3890422,1,,,,,2.41237,,Right Foot,,,"[29.5, 21.8]",,Ground Pass,,28.96636,,,,Mats Hummels,5572.0,,,,,,1,From Free Kick,Henrikh Mkhitaryan,3275.0,Left Wing,6,Borussia Dortmund,180,"['0e3e8510-570d-46b1-afab-b0ff34848d73', '957b3fc3-b120-4737-8f52-f93e662ab407']",14,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:01:14.934,Pass,True
,,,,,,,,,,,,,,,,,,3.261663,,,,,,,,,,,,,3cbc1b2c-8f7f-4718-896f-58ccae9a489e,50,,"[35.9, 26.4]",3890422,1,,,,,0.23335128,,Right Foot,,,"[104.9, 42.8]",,High Pass,,70.92221,,Incomplete,,,,,,,,,1,From Free Kick,Mats Hummels,5572.0,Left Center Back,6,Borussia Dortmund,180,"['8a5f97a6-2eaf-44d9-b66e-7866a1c30d4b', 'e6b0f0f3-de0f-444a-a522-59f805ce0e29']",20,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:01:20.585,Pass,True
,,,,,,,,,,,,,,,,,,3.338509,,,,,,,,,,,,,01612f9d-035f-41f9-9a0b-331bcd56bc9d,54,,"[16.7, 34.2]",3890422,1,,,,,-0.35350847,,Drop Kick,,,"[79.3, 11.1]",,High Pass,,66.72608,,Incomplete,,Mathew Leckie,5481.0,,,,,,1,From Free Kick,Ramazan Özcan,12319.0,Goalkeeper,6,Borussia Dortmund,180,"['b620487e-2491-470d-8b9f-edecf484591d', 'fad111d2-c7cb-4dac-8793-6194538e838e']",32,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:32.831,Pass,
,,,,,,,,,,,,,,,,,,2.138451,,,,,,,,,,,,,7b2f0dbb-d252-4a45-8605-62691aea0d35,58,,"[74.1, 0.1]",3890422,1,,,,,0.37477344,,,,,"[95.2, 8.4]",,High Pass,,22.673773,,Unknown,,Dario Lezcano,9113.0,,,,,Throw-in,1,From Throw In,Robert Bauer,8394.0,Left Back,7,Ingolstadt,189,['d23d7de6-3576-467a-b91b-c8e9db7f1f70'],48,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:48.483,Pass,
,,,,,,,,,,,,,,,,,,2.118238,,,,,,,,,,,,,2e4d2f13-3026-45eb-82fd-117a614a33b4,62,,"[30.3, 58.1]",3890422,2,,,,,-2.3740954,,Right Foot,,,"[10.4, 38.9]",,Ground Pass,,27.652306,,,,Roman Bürki,8225.0,,,,,Free Kick,1,From Free Kick,Sokratis Papastathopoulos,8244.0,Right Center Back,8,Borussia Dortmund,180,['38d84c9a-a128-4508-9c2b-e4e1ba8f2dc0'],4,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:02:04.895,Pass,
,,,,,,,,,,,,,,,,,,2.924852,,,,,,,,,,,,,ef830d73-4732-4f07-823d-9aef9be16b88,65,,"[30.3, 57.8]",3890422,2,,,,,0.27404317,,Right Foot,,,"[76.9, 70.9]",,Low Pass,,48.4063,,,,Łukasz Piszczek,5658.0,,,,,,1,From Free Kick,Roman Bürki,8225.0,Goalkeeper,8,Borussia Dortmund,180,['d5c07829-ea71-4849-906d-6a29e2779a22'],26,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:02:26.072,Pass,
,,,,,,,,,,,,,,,,,,1.749214,,,,,,,,,,,,,6a7ed0bc-2ecb-425c-8ed3-b5fe6484267d,67,,"[76.9, 70.9]",3890422,2,,,,True,-0.5564732,,,,,"[89.6, 63.0]",,High Pass,,14.956604,,Incomplete,,Pierre-Emerick Aubameyang,3712.0,,,,,,1,From Free Kick,Łukasz Piszczek,5658.0,Right Back,8,Borussia Dortmund,180,"['6fc7e7de-6c48-4f07-9aff-99a7f5392066', '979773b8-6c4e-436d-afe9-8ee83afafb24', 'e66a5394-3a35-4e1c-adc8-914c942c89bd']",28,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:02:28.997,Pass,True
,,,,,,,,,,,,,,,,,,1.148804,,,,,,,,,,,,,833a036c-bd03-4522-9e26-8cd79e004b65,72,,"[77.4, 62.0]",3890422,2,,,,,-0.37337637,,Head,,,"[87.1, 58.2]",,High Pass,,10.417773,,,,Pierre-Emerick Aubameyang,3712.0,,,,,Recovery,1,From Free Kick,Matthias Ginter,8808.0,Right Defensive Midfield,8,Borussia Dortmund,180,['bcdec694-03db-4e40-8171-78e59603539e'],32,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:02:32.320,Pass,
,,,,,,,,,,,,,,,,,,0.980321,,,,,,,,,,,,,baaf5d00-6434-4e83-8a98-a5565d6dd0fb,74,,"[87.8, 58.2]",3890422,2,,,,,0.7617805,,Head,,,"[94.3, 64.4]",,High Pass,,8.982761,,Incomplete,,Gustavo Adrián Ramos Vásquez,24324.0,,,,,,1,From Free Kick,Pierre-Emerick Aubameyang,3712.0,Center Forward,8,Borussia Dortmund,180,"['69edf0e7-2e2f-48db-8413-9d0679b6d174', 'afe11fb7-a79d-4eb6-abf1-e923c2a5efe1']",33,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:02:33.469,Pass,
,,,,,,,,,,,,,,,,,,1.365412,,,,,,,,,,,,,42946367-843e-4a88-b0a2-c337d18b2aac,78,,"[37.5, 13.9]",3890422,2,,,,,-2.1074846,,Right Foot,,,"[32.8, 6.0]",,Ground Pass,,9.192389,,,,Robert Bauer,8394.0,,,,,Recovery,1,Regular Play,Mathew Leckie,5481.0,Left Wing,9,Ingolstadt,189,['483f60ea-1518-4a7d-983c-a9d0062e3ac0'],35,,,,,,,,,,,,,,,,Ingolstadt,189,00:02:35.967,Pass,
,,,,,,,,,,,,,,,,,,0.424478,,,,,,,,,,,,,2c188fbe-f689-4535-aa18-9f0da5f25d47,81,,"[33.7, 6.4]",3890422,2,,,,,-0.19739556,,Left Foot,,,"[35.7, 6.0]",,Ground Pass,,2.0396078,,Incomplete,,,,,,,,,1,Regular Play,Robert Bauer,8394.0,Left Back,9,Ingolstadt,189,"['1b488bc0-f233-4444-9220-5f467d5c57fe', '545586df-d8ed-4b29-a54f-e49c7589d822']",37,,,,,,,,,,,,,,,,Ingolstadt,189,00:02:37.332,Pass,True
,,,,,,,,,,,,,,,,,,1.762108,,,,,,,,,,,,,5a73c50d-856e-44fa-a19d-e7590365cca6,83,,"[35.7, 0.1]",3890422,2,,,,,0.20018107,,,,,"[56.4, 4.3]",,High Pass,,21.12179,,Incomplete,,Dario Lezcano,9113.0,,,,,Throw-in,1,From Throw In,Robert Bauer,8394.0,Left Back,10,Ingolstadt,189,"['97b55e5e-6dd9-42db-aac5-617046f8840f', 'b21255a8-b22d-4060-8f37-62d239aef51c']",48,,,,,,,,,,,,,,,,Ingolstadt,189,00:02:48.766,Pass,
,,,,,,,,,,,,,,,,,,4.929586,,,,,,,,,,,,,97b55e5e-6dd9-42db-aac5-617046f8840f,85,,"[63.7, 75.8]",3890422,2,,,,,-0.7261891,,Left Foot,,,"[104.8, 39.3]",,High Pass,,54.967808,,Incomplete,,Pierre-Emerick Aubameyang,3712.0,,,,,Interception,1,From Throw In,Matthias Ginter,8808.0,Right Defensive Midfield,10,Ingolstadt,189,"['139a466c-3e1a-4da2-95a9-9122c3f97729', '5a73c50d-856e-44fa-a19d-e7590365cca6', '5f9ce47e-0261-47be-b25e-e4778c7a9b5d']",50,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:02:50.528,Pass,
