50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8cd77376-fceb-41b7-9536-30aa112e861e,1,,,3890460,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 20665, 'name': 'Kevin Großkreutz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 8270, 'name': 'Daniel Schwaab'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 40470, 'name': 'Georg Niedermeier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 34558, 'name': 'Sereso Geoffroy Gonzaroua Dié'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 8550, 'name': 'Alexandru Iulian Maxim'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 44}, {'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0d0e60e3-5e41-4b2c-bbaa-1fc897340e4d,2,,,3890460,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 5694, 'name': 'Hotaru Yamaguchi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 12294, 'name': 'Andre Hoffmann'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 8541, 'name': 'Kenan Karaman'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 9410, 'name': 'Marius Wolf'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 38524, 'name': 'Hiroshi Kiyotake'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 13125, 'name': 'Iver Tobias Rørvik Fossum'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e719e5f2-2fa7-4e23-8bcd-e51285ee7234,3,,,3890460,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,['ba1460f5-cfe0-4599-8396-7d6049a74488'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ba1460f5-cfe0-4599-8396-7d6049a74488,4,,,3890460,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,['e719e5f2-2fa7-4e23-8bcd-e51285ee7234'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,95718bc4-4f1d-4118-a66f-3f3292f3ec95,1836,,,3890460,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,VfB Stuttgart,174,['aad91146-d086-4562-aa71-947cf4b35d7a'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aad91146-d086-4562-aa71-947cf4b35d7a,1837,,,3890460,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,VfB Stuttgart,174,['95718bc4-4f1d-4118-a66f-3f3292f3ec95'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.616183,,,,,,,,,,,,,de862a73-9c9b-45cf-8882-a2926da4fd52,5,,"[61.0, 40.1]",3890460,0,True,,,1.5195591,,Right Foot,,,"[61.2, 44.0]",,Ground Pass,,3.905125,,,,Kenan Karaman,8541.0,,,,,Kick Off,1,From Kick Off,Marius Wolf,9410.0,Left Midfield,2,Hannover 96,178,['a3305e8d-39a5-44c6-aa35-b0e144c14c59'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.429,Pass,
,,,,,,,,,,,,,,,,,,1.098603,,,,,,,,,,,,,62a7758d-27e2-49f3-b2e5-57b8a605b41e,7,,"[61.2, 43.5]",3890460,0,,,,-2.909226,,Right Foot,,,"[48.1, 40.4]",,Ground Pass,,13.461798,,,,Andre Hoffmann,12294.0,,,,,,1,From Kick Off,Kenan Karaman,8541.0,Right Midfield,2,Hannover 96,178,['57d55733-a32c-4d89-8696-85e3a72067c7'],1,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:01.045,Pass,
,,,,,,,,,,,,,,,,,,3.330347,,,,,,,,,,,,,62910fe9-19d9-413c-b4b8-65b7c1d283cc,10,,"[48.1, 41.1]",3890460,0,,,,0.7307745,,Right Foot,,,"[91.5, 80.0]",,High Pass,,58.281815,,Out,,Iver Tobias Rørvik Fossum,13125.0,,,,,,1,From Kick Off,Andre Hoffmann,12294.0,Left Defensive Midfield,2,Hannover 96,178,['8c67a0f7-fc57-4b47-9097-3409c9927998'],3,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:03.238,Pass,
,,,,,,,,,,,,,,,,,,0.964638,,,,,,,,,,,,,96afad74-c2ee-4dcf-984f-46f5c119e2cc,12,,"[38.8, 0.1]",3890460,0,,,,0.50230235,,,,,"[45.9, 4.0]",,Low Pass,,8.100617,,,,Christian Gentner,8959.0,,,,,Throw-in,1,From Throw In,Emiliano Adrián Insúa Zapata,12626.0,Left Back,3,VfB Stuttgart,174,['13d1be12-7ae8-4371-8712-585ae24acf71'],22,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:22.130,Pass,
