50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,eb9c115b-2d46-498f-8872-32475a0a1c21,1,,,3890336,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25003, 'name': 'Sascha Riether'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 7016, 'name': 'Benedikt Höwedes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 8958, 'name': 'Dennis Aogo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6717, 'name': 'Johannes Geis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 8512, 'name': 'Franco Matías Di Santo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,82eb62a0-fd6e-47d1-ae85-478f68be9707,2,,,3890336,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8577, 'name': 'Rune Almenning Jarstein'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8576, 'name': 'Mitchell Weiser'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 8580, 'name': 'Sebastian Langkamp'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 8965, 'name': 'Fabian Lustenberger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 5569, 'name': 'Marvin Plattenhardt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 8578, 'name': 'Per Ciljan Skjelbred'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 8579, 'name': 'Vladimír Darida'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5697, 'name': 'Genki Haraguchi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 30439, 'name': 'Tolga Ciğerci'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 8571, 'name': 'Vedad Ibišević'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 8575, 'name': 'Salomon Armand Magloire Kalou'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 8}]}",Hertha Berlin,173,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8381a4cf-13e7-48ed-9a67-23a7eb9ac6e7,3,,,3890336,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['e15c7950-dd2b-4bb8-bb30-137d0aab38cb'],0,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e15c7950-dd2b-4bb8-bb30-137d0aab38cb,4,,,3890336,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['8381a4cf-13e7-48ed-9a67-23a7eb9ac6e7'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7de278d8-b7c5-4faf-bb8e-af44646f032a,1637,,,3890336,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Hertha Berlin,173,['311d8f31-6763-43ca-8bf3-f28b18ff33b0'],0,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,311d8f31-6763-43ca-8bf3-f28b18ff33b0,1638,,,3890336,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Hertha Berlin,173,['7de278d8-b7c5-4faf-bb8e-af44646f032a'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.522201,,,,,,,,,,,,f5c893e6-3d04-4012-9d09-bf8286c0d280,5,,"[61.0, 40.1]",3890336,0,,,,1.6001996,,Right Foot,,,,"[60.9, 43.5]",,Ground Pass,,3.4014702,,,,,Franco Matías Di Santo,8512.0,,,,,,Kick Off,1,From Kick Off,Jean-Eric Maxim Choupo-Moting,3499.0,Right Center Forward,2,Schalke 04,181,['34493bc6-b420-46cd-ae7d-9b8603df7215'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.395,Pass,
,,,,,,,,,,,,,,,,0.761644,,,,,,,,,,,,ef871033-82c5-426c-84f2-b09a7c7bb1d5,7,,"[58.9, 40.2]",3890336,0,,,,3.0932434,,Right Foot,,,,"[52.7, 40.5]",,Ground Pass,,6.207254,,,,,Leon Goretzka,6324.0,,,,,,,1,From Kick Off,Franco Matías Di Santo,8512.0,Left Center Forward,2,Schalke 04,181,['c8ebc697-bb77-4ca8-9f28-d0edb247fd3e'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.917,Pass,
,,,,,,,,,,,,,,,,1.752528,,,,,,,,,,,,8213aa1c-9cd6-4715-8b42-f52e3f117773,10,,"[52.4, 41.0]",3890336,0,,,,-2.242978,,Right Foot,,,,"[37.2, 21.9]",,Ground Pass,,24.410038,,,,,Joël Andre Job Matip,3502.0,,,,,,,1,From Kick Off,Leon Goretzka,6324.0,Left Defensive Midfield,2,Schalke 04,181,['a9b0aa13-5426-42e2-8037-303cfd8b75f9'],2,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:02.935,Pass,
,,,,,,,,,,,,,,,,1.60736,,,,,,,,,,,,bb41ed3c-4843-4c5f-81ec-5b1ba6f851eb,12,,"[37.2, 21.9]",3890336,0,,,,1.6806723,,Right Foot,,,,"[34.1, 50.0]",,Ground Pass,,28.27048,,,,,Johannes Geis,6717.0,,,,,,,1,From Kick Off,Joël Andre Job Matip,3502.0,Left Center Back,2,Schalke 04,181,['bcb921b7-7305-4ce2-b059-f55a661a7310'],4,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:04.687,Pass,
,,,,,,,,,,,,,,,,1.168336,,,,,,,,,,,,92240b84-598d-4bf4-9cf5-2bcef86fa348,15,,"[31.7, 51.2]",3890336,0,,,,1.2934141,,Right Foot,,,,"[35.8, 65.6]",,Ground Pass,,14.972308,,,,,Benedikt Höwedes,7016.0,,,,,,,1,From Kick Off,Johannes Geis,6717.0,Right Defensive Midfield,2,Schalke 04,181,['73b2b78c-a88e-4060-86f9-f20bb85e24b2'],7,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:07.461,Pass,
,,,,,,,,,,,,,,,,2.532424,,,,,,,,,,,,eaf0bb17-8144-4148-8ff8-9491650b7c8f,18,,"[31.4, 63.3]",3890336,0,,,,-2.562294,,Right Foot,,,,"[7.4, 47.6]",,Ground Pass,,28.679087,,,,,Ralf Fährmann,8517.0,,,,,,,1,From Kick Off,Benedikt Höwedes,7016.0,Right Center Back,2,Schalke 04,181,['f3c94ac3-b059-4fc1-a74b-60c72590ba16'],9,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:09.978,Pass,
,,,,,,,,,,,,,,,,3.53294,,,,,,,,,,,,202c3668-2c55-418c-a61b-27d644e5d46e,22,,"[9.8, 49.6]",3890336,0,,,,0.3614409,,Right Foot,,,,"[67.2, 71.3]",,High Pass,,61.36489,,,Incomplete,,Leroy Sané,3053.0,,,,,,,1,From Kick Off,Ralf Fährmann,8517.0,Goalkeeper,2,Schalke 04,181,"['e085358f-6c57-4329-a650-899bc786e87f', 'e4a6f796-507e-4d69-a6e4-1a4b0af65633']",14,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:14.736,Pass,
,,,,,,,,,,,,,,,,1.385523,,,,,,,,,,,,e4a6f796-507e-4d69-a6e4-1a4b0af65633,24,,"[52.9, 8.8]",3890336,0,,,,2.2230582,,Head,,,,"[43.2, 21.5]",,High Pass,,15.980614,,,,,Fabian Lustenberger,8965.0,,,,,,Recovery,1,Regular Play,Tolga Ciğerci,30439.0,Left Midfield,3,Hertha Berlin,173,"['10b986b8-9488-4277-a001-558130f89e62', '202c3668-2c55-418c-a61b-27d644e5d46e']",18,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:18.269,Pass,
,,,,,,,,,,,,,,,,1.411685,,,,,,,,,,,,41c840d1-15e5-4dec-92a8-3b3036db8f6b,26,,"[42.3, 23.6]",3890336,0,,,,-0.10533555,,Head,,,,"[65.0, 21.2]",,High Pass,,22.826519,,,Incomplete,,Salomon Armand Magloire Kalou,8575.0,,,,,,,1,Regular Play,Fabian Lustenberger,8965.0,Left Center Back,3,Hertha Berlin,173,"['4daa9d50-080a-4a64-b305-b041bc970452', '54a65db5-02aa-46b1-958d-8c3bcfc1d20c']",19,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:19.655,Pass,
,,,,,,,,,,,,,,,,1.71073,,,,,,,,,,,,4daa9d50-080a-4a64-b305-b041bc970452,28,,"[55.1, 58.9]",3890336,0,,,,-0.13139713,,Head,,,,"[77.8, 55.9]",,High Pass,,22.897379,,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Johannes Geis,6717.0,Right Defensive Midfield,3,Hertha Berlin,173,"['125abb07-0dd2-43cc-ba11-ba3225348527', '41c840d1-15e5-4dec-92a8-3b3036db8f6b']",21,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:21.066,Pass,
,,,,,,,,,,,,,,,,1.256055,,,,,,,,,,,,125abb07-0dd2-43cc-ba11-ba3225348527,29,,"[42.3, 24.2]",3890336,0,,,,0.14250569,,Head,,,,"[65.3, 27.5]",,High Pass,,23.235533,,,,,Salomon Armand Magloire Kalou,8575.0,,,,,,Recovery,1,Regular Play,Sebastian Langkamp,8580.0,Right Center Back,3,Hertha Berlin,173,"['36ee5936-1f28-41e8-ace3-c7d0f69bc685', '4daa9d50-080a-4a64-b305-b041bc970452']",22,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:22.777,Pass,
,,,,,,,,,,,,,,,,0.596548,,,,,,,,,,,,de41faf7-c7e4-40c5-ac7c-6a7df9479fbb,36,,"[56.2, 46.5]",3890336,0,,,,2.5262532,,Right Foot,,,,"[50.4, 50.6]",,Ground Pass,,7.102816,,,,,Johannes Geis,6717.0,,,,,,,1,Regular Play,Leon Goretzka,6324.0,Left Defensive Midfield,4,Schalke 04,181,['bf43ff2b-91c5-45d6-a0ab-f9f6c4bea007'],26,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:26.174,Pass,
