50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.879999,,,,,,,,,,,,,,,4b861a1f-df62-47fc-8f22-a338e65e6aed,16,,"[51.3, 65.8]",3890341,0,,,,,-0.4791103,,Right Foot,,,"[59.0, 61.8]",,Ground Pass,,8.676981,,,Arjen Robben,8218.0,,,,,,,1,From Kick Off,Philipp Lahm,19295.0,Right Back,2,Bayern Munich,169,['db589ac8-6ab7-4e23-8ead-c22f4fdd67f0'],6,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:06.729,Pass,
,,,,,,,,,,,,,,,,,,,1.406388,,,,,,,,,,,,,,,552012a8-36f2-4f4a-a078-a097b2621722,19,,"[64.3, 63.8]",3890341,0,,,,,0.96850896,,Left Foot,,,"[73.1, 76.6]",,Ground Pass,,15.533191,,,Kingsley Coman,8217.0,,,,,,,1,From Kick Off,Arjen Robben,8218.0,Right Center Midfield,2,Bayern Munich,169,['9fc032bc-d7e6-4303-82be-4aa6519a92f2'],9,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:09.832,Pass,
,,,,,,,,,,,,,,,,,,,1.599999,,,,,,,,,,,,,,,1165ad76-ef2a-4dad-a262-c6221ccb696f,21,,"[73.1, 76.9]",3890341,0,,,,,-3.0381892,,Right Foot,,,"[62.5, 75.8]",,Ground Pass,,10.656922,,,Philipp Lahm,19295.0,,,,,,,1,From Kick Off,Kingsley Coman,8217.0,Right Midfield,2,Bayern Munich,169,['9cfae28f-a531-406e-b2d3-a2a47c97e41e'],11,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:11.239,Pass,
,,,,,,,,,,,,,,,,,,,0.907855,,,,,,,,,,,,,,,89552599-377c-472e-9979-375191c1430f,24,,"[64.7, 69.5]",3890341,0,,,,,-0.89053667,,Right Foot,,,"[73.6, 58.5]",,Ground Pass,,14.149558,,,Robert Lewandowski,5668.0,,,,,,,1,From Kick Off,Philipp Lahm,19295.0,Right Back,2,Bayern Munich,169,['422fbf93-7ed2-424d-a0cb-d8c7615a32f6'],14,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:14.926,Pass,
,,,,,,,,,,,,,,,,,,,1.306534,,,,,,,,,,,,,,,5242896e-9f81-4609-9726-784b2e9d70cc,26,,"[73.6, 58.5]",3890341,0,,,,,2.4920433,,Right Foot,,,"[65.7, 64.5]",,Ground Pass,,9.920181,,,Philipp Lahm,19295.0,,,,,,,1,From Kick Off,Robert Lewandowski,5668.0,Center Forward,2,Bayern Munich,169,['1af2d9e5-693b-4887-ae5c-7b31e0f3a15b'],15,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:15.833,Pass,
,,,,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,,,,,f4bcbfc6-098a-4ae2-a19b-82d8a357511b,29,,"[66.5, 64.2]",3890341,0,,,,,-1.9305034,,Right Foot,,,"[57.7, 40.8]",,Ground Pass,,25.0,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,,1,From Kick Off,Philipp Lahm,19295.0,Right Back,2,Bayern Munich,169,['b196fceb-eb8f-4236-8c91-3b00151d2023'],18,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:18.186,Pass,
,,,,,,,,,,,,,,,,,,,0.683312,,,,,,,,,,,,,,,7d257718-1664-4d7c-9464-ac4d5dbeb02a,32,,"[57.2, 39.6]",3890341,0,,,,,-1.4257044,,Left Foot,,,"[60.4, 17.7]",,Ground Pass,,22.132555,,,David Olatukunbo Alaba,8220.0,,,,,,,1,From Kick Off,Arturo Erasmo Vidal Pardo,8206.0,Center Defensive Midfield,2,Bayern Munich,169,['805e6778-4481-4794-8648-1373e3ff8899'],20,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:20.647,Pass,
,,,,,,,,,,,,,,,,,,,1.914548,,,,,,,,,,,,,,,20e2ad4d-8561-4b23-b573-3386b618f6d1,35,,"[68.0, 17.9]",3890341,0,,,,,-0.5903418,,Left Foot,,,"[87.7, 4.7]",,Ground Pass,,23.7135,,,Márcio Rafael Ferreira de Souza,8209.0,,,,,,,1,From Kick Off,David Olatukunbo Alaba,8220.0,Left Center Back,2,Bayern Munich,169,['0aaa48ba-f883-4a90-a3d8-7171c9b30adc'],23,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:23.010,Pass,
,,,,,,,,,,,,,,,,,,,1.599998,,,,,,,,,,,,,,,3b279c74-8ef7-4eb3-8748-d3c748a400ec,39,,"[87.3, 4.1]",3890341,0,,,,,2.9020097,,Left Foot,,,"[74.2, 7.3]",,Ground Pass,,13.485177,,,David Olatukunbo Alaba,8220.0,,,,,,,1,From Kick Off,Márcio Rafael Ferreira de Souza,8209.0,Left Back,2,Bayern Munich,169,"['7fd9ce84-5bbd-4682-abfd-434dc82cf4a0', '90f647c7-91ce-4a10-85d4-b97dec096314']",26,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:26.270,Pass,True
,,,,,,,,,,,,,,,,,,,1.599998,,,,,,,,,,,,,,,73f290ae-9de8-4575-b137-f785ccefa8b5,42,,"[72.0, 8.8]",3890341,0,,,,,1.7943914,,Left Foot,,,"[63.7, 45.3]",,Ground Pass,,37.431805,,,Jérôme Boateng,5578.0,,,,,,,1,From Kick Off,David Olatukunbo Alaba,8220.0,Left Center Back,2,Bayern Munich,169,['c65d1687-41e4-4642-8462-73dbe2fa2f04'],29,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:29.097,Pass,
