50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.567399,,,,,,,,,,,,,27abb017-85f9-42e1-8770-9a7facd5b9f2,1064,,,"[71.6, 45.5]",3890445,31,,,,True,1.0232341,,,,,,"[79.1, 57.8]",,High Pass,,14.406249,,,,,Moritz Hartmann,40464.0,,,,,,,1,Regular Play,Dario Lezcano,9113.0,Center Forward,72,Ingolstadt,189,"['42f048f7-6a80-411e-a6d8-74a05ff5dab6', 'ae62d073-2b9e-4ecd-9f36-b17767714dfc']",37,,,,,,,,,,,,,,,,,Ingolstadt,189,00:31:37.127,Pass,True
,,,,,,,,,,,,,,,,,,0.727606,,,,,,,,,,,,,473f2d36-d46e-430d-ab21-939cd0ecc308,1077,,,"[47.8, 33.9]",3890445,32,,True,,,2.976444,,Right Foot,,,,"[43.6, 34.6]",,Ground Pass,,4.2579336,,,,,Robin Knoche,8239.0,,,,,,,1,Regular Play,Luiz Gustavo Dias,3545.0,Left Defensive Midfield,76,Wolfsburg,179,['cf4edbf9-4192-42a6-a718-e44d301dcd0a'],30,,,,,,,,,,,,,,,,,Wolfsburg,179,00:32:30.998,Pass,
,,,,,,,,,,,,,,,,,,1.270896,,,,,,,,,,,,,10d30d7f-aa80-4b0c-9b57-8f3556904606,1079,,,"[43.4, 34.8]",3890445,32,,,,,1.5211917,,Left Foot,,,,"[44.1, 48.9]",,Ground Pass,,14.117365,,,,,Ronaldo Aparecido Rodrigues,8516.0,,,,,,,1,Regular Play,Robin Knoche,8239.0,Left Center Back,76,Wolfsburg,179,['ac8f74b9-30be-4630-8bf9-46de0a7aa55e'],33,,,,,,,,,,,,,,,,,Wolfsburg,179,00:32:33.439,Pass,
,,,,,,,,,,,,,,,,,,2.070687,,,,,,,,,,,,,78286d60-9620-4ecb-afea-11b0fa5f7700,1082,,,"[61.3, 56.3]",3890445,32,,,,,0.10598436,,Right Foot,,,,"[94.2, 59.8]",,High Pass,,33.085648,,,Incomplete,,Christian Träsch,23266.0,,,,,,,1,Regular Play,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,76,Wolfsburg,179,"['189f8eae-ec90-4290-9b94-83fafb95a23b', '74a471b1-8722-4c1d-9bff-59d647329b7f']",38,,,,,,,,,,,,,,,,,Wolfsburg,179,00:32:38.436,Pass,
,,,,,,,,,,,,,,,,,,1.323811,,,,,,,,,,,,,189f8eae-ec90-4290-9b94-83fafb95a23b,1084,,,"[25.9, 20.3]",3890445,32,,,,,-0.38352752,,Head,,,,"[31.6, 18.0]",,Low Pass,,6.146544,,,,,Max Christiansen,12551.0,,,,,,Recovery,1,Regular Play,Benjamin Hübner,8405.0,Left Center Back,77,Ingolstadt,189,"['575b4f96-29ce-45da-977f-0201a73114fd', '78286d60-9620-4ecb-afea-11b0fa5f7700']",40,,,,,,,,,,,,,,,,,Ingolstadt,189,00:32:40.507,Pass,
,,,,,,,,,,,,,,,,,,1.339451,,,,,,,,,,,,,d98d9ca0-2468-4f79-8582-31444a1adf16,1087,,,"[31.8, 18.2]",3890445,32,,,,,0.8685394,,Right Foot,,,,"[39.5, 27.3]",,High Pass,,11.92057,,,,,Pascal Groß,3097.0,,,,,,,1,Regular Play,Max Christiansen,12551.0,Left Center Midfield,77,Ingolstadt,189,['3c43b943-c10a-4edd-8531-34af38cf4ef6'],41,,,,,,,,,,,,,,,,,Ingolstadt,189,00:32:41.831,Pass,
,,,,,,,,,,,,,,,,,,0.804713,,,,,,,,,,,,,b755089b-26a0-461e-9b68-e4530cb42361,1090,,,"[38.8, 27.3]",3890445,32,,,,,2.6367314,,Right Foot,,,,"[35.0, 29.4]",,Low Pass,,4.3416586,,,,,Roger de Oliveira Bernardo,40459.0,,,,,,,1,Regular Play,Pascal Groß,3097.0,Right Center Midfield,77,Ingolstadt,189,['47316eec-2e26-496c-b95d-4b9ff8c3a8e6'],43,,,,,,,,,,,,,,,,,Ingolstadt,189,00:32:43.209,Pass,
,,,,,,,,,,,,,,,,,,0.926974,,,,,,,,,,,,,2f10c0dd-2427-4603-b44b-edd913275520,1093,,,"[37.1, 30.1]",3890445,32,,,,,-0.9801759,,Right Foot,,,,"[43.0, 21.3]",,Low Pass,,10.5948105,,,,,Pascal Groß,3097.0,,,,,,,1,Regular Play,Roger de Oliveira Bernardo,40459.0,Center Defensive Midfield,77,Ingolstadt,189,['8f73cf41-e9ae-466b-ba8a-025c5a967ac6'],44,,,,,,,,,,,,,,,,,Ingolstadt,189,00:32:44.039,Pass,
,,,,,,,,,,,,,,,,,,2.200351,,,,,,,,,,,,,7a3cf20e-e134-4aa6-981e-89c3fd0e4f27,1095,,,"[43.0, 21.7]",3890445,32,,,,,0.23081195,,Right Foot,,,,"[63.0, 26.4]",,High Pass,,20.544828,,,Incomplete,,Moritz Hartmann,40464.0,,,,,,,1,Regular Play,Pascal Groß,3097.0,Right Center Midfield,77,Ingolstadt,189,"['0cc7fd88-e2dd-479f-b2fa-e6d3d1ba5e76', '6d1da401-6739-4d86-8b99-52984e65795d']",44,,,,,,,,,,,,,,,,,Ingolstadt,189,00:32:44.965,Pass,
,,,,,,,,,,,,,,,,,,1.256894,,,,,,,,,,,,,6d1da401-6739-4d86-8b99-52984e65795d,1098,,,"[57.1, 53.7]",3890445,32,,,,,0.5570208,,Head,,,,"[68.5, 60.8]",,Low Pass,,13.43019,,,,,Adelino André Vieira Freitas,10790.0,,,,,,Recovery,1,Regular Play,Robin Knoche,8239.0,Left Center Back,78,Wolfsburg,179,"['7a3cf20e-e134-4aa6-981e-89c3fd0e4f27', 'a328188b-6689-436d-bd6b-f6cc353f04ad']",47,,,,,,,,,,,,,,,,,Wolfsburg,179,00:32:47.166,Pass,
