50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,300c22c2-d142-49f4-838b-053f85216f85,1,,,3890292,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 8542, 'name': 'Felipe Trevizan Martins'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 13126, 'name': 'Miiko Martín Albornoz Inola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 29}, {'player': {'id': 24914, 'name': 'Edgar Prib'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 400613, 'name': 'Leon Andreasen'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 2}, {'player': {'id': 38524, 'name': 'Hiroshi Kiyotake'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 11845, 'name': 'Artur Sobiech'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7564d4ae-2d50-4dc1-ae64-f2d750b2dd83,2,,,3890292,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0d6db23f-7df8-4789-afb2-d429fd96adba,3,,,3890292,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['093d1a10-aed7-4264-9c7d-3ffa00006073'],0,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,093d1a10-aed7-4264-9c7d-3ffa00006073,4,,,3890292,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['0d6db23f-7df8-4789-afb2-d429fd96adba'],0,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8631bab5-141f-4bf0-9c98-72010df8be64,1651,,,3890292,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,92,Borussia Dortmund,180,['50769346-326a-4b7f-8b27-bcbf3b3792e9'],0,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,50769346-326a-4b7f-8b27-bcbf3b3792e9,1652,,,3890292,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,92,Borussia Dortmund,180,['8631bab5-141f-4bf0-9c98-72010df8be64'],0,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.083287,,,,,,,,,,,,,,,74116f78-3348-4ead-8f79-d38219d1c399,5,,"[61.0, 40.1]",3890292,0,,,,,2.9881132,,Left Foot,,,"[42.9, 42.9]",,Ground Pass,,18.315294,,,,,Salif Sané,5664.0,,,,,Kick Off,1,From Kick Off,Hiroshi Kiyotake,38524.0,Left Attacking Midfield,2,Hannover 96,178,['393d559b-7101-4045-af6b-96a22c50625e'],0,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.583,Pass,
,,,,,,,,,,,,,,,,2.875209,,,,,,,,,,,,,,,0d24cd17-abb3-467c-bd0c-c30f3b1626af,8,,"[39.8, 50.4]",3890292,0,,,,,0.5863163,,Right Foot,,,"[80.9, 77.7]",,High Pass,,49.340652,,,,,Leon Andreasen,400613.0,,,,,,1,From Kick Off,Salif Sané,5664.0,Center Defensive Midfield,2,Hannover 96,178,['57e53d14-4005-4484-adaa-3e4fe74b3446'],3,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:03.543,Pass,
,,,,,,,,,,,,,,,,1.359043,,,,,,,,,,,,,,,495e6c2b-d405-4b63-b72a-8e9bf87f79da,10,,"[81.2, 77.1]",3890292,0,,,,True,-0.69473827,,,,,"[92.0, 68.1]",,High Pass,,14.05845,,,Incomplete,,Artur Sobiech,11845.0,,,,,,1,From Kick Off,Leon Andreasen,400613.0,Right Attacking Midfield,2,Hannover 96,178,"['28509606-e886-48a3-bb5d-792ae9b5264a', '914b5a52-78a0-45fd-8674-8ecd7257e008', 'f9bfc3ca-289d-4f86-9027-94cf33588d12']",6,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:06.418,Pass,True
,,,,,,,,,,,,,,,,2.077504,,,,,,,,,,,,,,,28509606-e886-48a3-bb5d-792ae9b5264a,14,,"[28.1, 12.0]",3890292,0,,,,,-0.24046606,,Left Foot,,,"[54.2, 5.6]",,Low Pass,,26.87322,,,Incomplete,,Henrikh Mkhitaryan,3275.0,,,,,Recovery,1,From Kick Off,Mats Hummels,5572.0,Left Center Back,2,Hannover 96,178,"['0eb03211-154a-46e3-b91e-04026ae08998', '495e6c2b-d405-4b63-b72a-8e9bf87f79da', '84dcb590-0534-4d9e-b03a-90df2a1f5be3', 'adc1e54a-f259-4468-9a6d-c65dbac6c0e9']",7,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:07.777,Pass,True
