50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,50707653-875a-4a90-95d5-7cc9bd8929ff,1,,,3890316,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 20871, 'name': 'Pierre Bengtsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 9098, 'name': 'Christian Clemens'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 8555, 'name': 'Pablo Ezequiel De Blasis'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 32}, {'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 6337, 'name': 'Yoshinori Muto'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",FSV Mainz 05,177,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1bbb688f-0952-4d27-a331-8a81e0ed28a1,2,,,3890316,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19295, 'name': 'Philipp Lahm'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 8209, 'name': 'Márcio Rafael Ferreira de Souza'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8217, 'name': 'Kingsley Coman'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 29}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 5837, 'name': 'Douglas Costa de Souza'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b9d54f58-e83c-42b0-a72e-33955c7c6145,3,,,3890316,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,['7bfa55db-cafe-4ab5-b391-6ca292961b62'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7bfa55db-cafe-4ab5-b391-6ca292961b62,4,,,3890316,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,['b9d54f58-e83c-42b0-a72e-33955c7c6145'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1a82170a-fa61-437c-ae14-407c18e413df,1768,,,3890316,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,93,FSV Mainz 05,177,['624fcbf5-3645-4ec4-aa67-53e381f51ab0'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,624fcbf5-3645-4ec4-aa67-53e381f51ab0,1769,,,3890316,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,93,FSV Mainz 05,177,['1a82170a-fa61-437c-ae14-407c18e413df'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.581818,,,,,,,,,,,,,,c1e95199-a2af-4df9-b193-b71bfa10fd51,5,,"[61.0, 40.1]",3890316,0,,True,,,1.6730031,,Left Foot,,,"[60.6, 44.0]",,Ground Pass,3.9204593,,,,Yunus Mallı,8679.0,,,,,,Kick Off,1,From Kick Off,Yoshinori Muto,6337.0,Left Center Forward,2,FSV Mainz 05,177,['a9851b1e-fed3-4a60-824f-f884cbc5774e'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.305,Pass,
,,,,,,,,,,,,,,,1.626683,,,,,,,,,,,,,,d64dec72-864c-440f-879c-1be8cac8201c,7,,"[59.3, 42.1]",3890316,0,,,,,-3.0679555,,Right Foot,,,"[47.1, 41.2]",,Ground Pass,12.233151,,,,Julian Baumgartlinger,20037.0,,,,,,,1,From Kick Off,Yunus Mallı,8679.0,Right Center Forward,2,FSV Mainz 05,177,['06594ba5-ec01-43ae-9ec6-e20d159e2fe1'],1,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:01.129,Pass,
,,,,,,,,,,,,,,,1.838308,,,,,,,,,,,,,,a2da9e08-366a-4379-a9be-735f6d4922f1,10,,"[47.1, 41.2]",3890316,0,,,,,-1.9117752,,Right Foot,,,"[38.3, 16.4]",,Ground Pass,26.315014,,,,Stefan Bell,8559.0,,,,,,,1,From Kick Off,Julian Baumgartlinger,20037.0,Right Defensive Midfield,2,FSV Mainz 05,177,['0c4d45ce-9157-4c2e-96e6-fa6149d6a54a'],2,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:02.836,Pass,
,,,,,,,,,,,,,,,1.019893,,,,,,,,,,,,,,223fd571-9f27-4838-bace-27bb1d9fe081,13,,"[32.8, 17.5]",3890316,0,,,,,-0.9342881,,Left Foot,,,"[39.6, 8.3]",,Ground Pass,11.44028,,,,Pierre Bengtsson,20871.0,,,,,,,1,From Kick Off,Stefan Bell,8559.0,Left Center Back,2,FSV Mainz 05,177,['902fd73f-dea3-42ba-886f-243317c2cf97'],5,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:05.702,Pass,
