50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,3.410043,,,,,,,,,,,30cd0bd7-5e29-4549-b8a9-65d4fdecd783,265,,,"[14.2, 48.5]",3890536,7,,,,0.42229727,,Right Foot,,,,"[66.5, 72.0]",,High Pass,,57.337074,Incomplete,,Sebastian Rudy,6039.0,,,,,,1,From Kick Off,Oliver Baumann,8393.0,Goalkeeper,22,Hoffenheim,175,"['584ba0a3-1ea4-45de-bbc8-3d62af32f71f', '84bc1250-f835-46fb-88a6-f65e5dd3c8f6', '975f545a-1c7c-4036-b7c5-ea6f55530bb5']",31,,,,,,,,,,,,,,,,,Hoffenheim,175,00:07:31.428,Pass,True
,,,,,,,,,,,,,,,,,0.647237,,,,,,,,,,,2b594410-f7f5-4543-810d-b26f9840d10b,269,,,"[68.3, 80.0]",3890536,7,True,,,-1.0724806,,,,,,"[72.0, 73.2]",,Low Pass,,7.741447,,,Sebastian Rudy,6039.0,,,,,Throw-in,1,From Throw In,Mark Uth,8387.0,Right Wing Back,23,Hoffenheim,175,['0a59e0b3-327b-4ec7-b30d-f00440c5abbb'],41,,,,,,,,,,,,,,,,,Hoffenheim,175,00:07:41.377,Pass,
,,,,,,,,,,,,,,,,,1.328425,,,,,,,,,,,b55ba40e-b652-4697-a532-2e9ef03cd944,271,,,"[72.0, 72.9]",3890536,7,,,,1.9585665,,Left Foot,,,,"[69.1, 80.0]",,Ground Pass,,7.66942,Out,,Mark Uth,8387.0,,,,,,1,From Throw In,Sebastian Rudy,6039.0,Right Center Midfield,23,Hoffenheim,175,['a6b3827d-aa40-420c-b552-641c973e8881'],42,,,,,,,,,,,,,,,,,Hoffenheim,175,00:07:42.752,Pass,
,,,,,,,,,,,,,,,,,1.279811,,,,,,,,,,,850d42a3-3eff-440d-87bb-d457ff9197f9,273,,,"[61.8, 0.1]",3890536,7,,,,0.19739556,,,,,,"[78.3, 3.4]",,High Pass,,16.826765,,,André Hahn,8322.0,,,,,Throw-in,1,From Throw In,Oscar Wendt,8809.0,Left Wing Back,24,Borussia Mönchengladbach,185,['3fb55c41-acbc-4ea8-bb36-d3c095b7a409'],52,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:07:52.483,Pass,
,,,,,,,,,,,,,,,,,4.920905,,,,,,,,,,,fcc30734-947b-4ddf-b2d8-04624ae4de8f,275,,,"[78.3, 3.4]",3890536,7,,,,0.33929262,,Head,,,,"[112.3, 15.4]",,High Pass,,36.05551,Incomplete,,Mahmoud Dahoud,8238.0,,,,,,1,From Throw In,André Hahn,8322.0,Right Attacking Midfield,24,Borussia Mönchengladbach,185,"['c8ec60bb-d080-48d6-a186-e786cb01c518', 'd34b9894-06b1-44cf-bc0e-ce595868717a']",53,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:07:53.763,Pass,
,,,,,,,,,,,,,,,,,3.365566,,,,,,,,,,,62bf22a1-803b-4012-b6be-e31afaedc85f,282,,,"[10.1, 63.6]",3890536,8,,,,0.08215003,,Right Foot,,,,"[76.9, 69.1]",,High Pass,,67.02604,Incomplete,,Kevin Volland,8215.0,,,,,Free Kick,1,From Free Kick,Oliver Baumann,8393.0,Goalkeeper,25,Hoffenheim,175,"['9429e7f3-b5db-4e1c-bbe4-d8405322f21f', 'bb9d60d4-888f-4ab8-bf05-4a779f3fb66e']",21,,,,,,,,,,,,,,,,,Hoffenheim,175,00:08:21.615,Pass,
,,,,,,,,,,,,,,,,,0.940536,,,,,,,,,,,9429e7f3-b5db-4e1c-bbe4-d8405322f21f,284,,,"[43.2, 11.0]",3890536,8,,,True,0.8046266,,,,,,"[48.3, 16.3]",,Low Pass,,7.3552704,Incomplete,,Granit Xhaka,3500.0,,,,,Recovery,1,From Free Kick,Håvard Nordtveit,8395.0,Left Center Back,25,Hoffenheim,175,"['139a6b11-dbd0-4227-9ddc-b4e02eb5451d', '62bf22a1-803b-4012-b6be-e31afaedc85f', 'ba64808f-7ff6-46f8-8e6d-be71719ad74a', 'c3c91211-3267-4fca-8a0d-fc12b1bb121e']",24,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:08:24.980,Pass,True
,,,,,,,,,,,,,,,,,0.73076,,,,,,,,,,,aabbec65-f87c-4dfb-836b-d12a24d13621,291,,,"[43.8, 13.6]",3890536,8,,,,-0.096253365,,Left Foot,,,,"[58.3, 12.2]",,Low Pass,,14.56743,,,Raffael Caetano de Araújo,8810.0,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,26,Borussia Mönchengladbach,185,['5b7cae55-2159-4b07-84a2-51a1714341a0'],28,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:08:28.884,Pass,
,,,,,,,,,,,,,,,,,1.86603,,,,,,,,,,,23c5c1a2-4335-46ca-b596-b9c39c61c0a9,297,,,"[56.5, 12.2]",3890536,8,,,,2.7080112,,Left Foot,,,,"[40.3, 19.7]",,Ground Pass,,17.85189,,,Andreas Christensen,3959.0,,,,,Free Kick,1,From Free Kick,Håvard Nordtveit,8395.0,Left Center Back,27,Borussia Mönchengladbach,185,['0a5a2de3-bbdf-4e46-9963-d6ddd143e996'],52,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:08:52.089,Pass,
,,,,,,,,,,,,,,,,,1.697704,,,,,,,,,,,d5aeaa89-caa0-4eff-a89d-9035b2468b68,300,,,"[40.3, 19.7]",3890536,8,,,,1.4904144,,Right Foot,,,,"[43.2, 55.7]",,Ground Pass,,36.116615,,,Nico Elvedi,8814.0,,,,,,1,From Free Kick,Andreas Christensen,3959.0,Center Back,27,Borussia Mönchengladbach,185,['5e2fe8cc-0d29-491d-9f57-3a8ad9233c22'],55,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:08:55.136,Pass,
,,,,,,,,,,,,,,,,,0.971565,,,,,,,,,,,bcb625c1-7e00-49bf-88cf-3fd6317410e8,304,,,"[63.2, 71.4]",3890536,8,,,,0.013887996,,Right Foot,,,,"[84.8, 71.7]",,Ground Pass,,21.602083,,,André Hahn,8322.0,,,,,,1,From Free Kick,Nico Elvedi,8814.0,Right Center Back,27,Borussia Mönchengladbach,185,"['256640b8-dc56-4a36-8d33-34c33ee3eae4', '6dbd90db-0703-49ac-9bd7-af35e0fbc1e8']",59,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:08:59.553,Pass,True
,,,,,,,,,,,,,,,,,1.207566,,,,,,,,,,,61eafeee-1bcc-4a7c-975d-2020e77d0bbb,306,,,"[84.8, 71.7]",3890536,9,,,,-0.67474097,,Right Foot,,,,"[92.8, 65.3]",,Ground Pass,,10.244999,,,Thorgan Hazard,5632.0,,,,,,1,From Free Kick,André Hahn,8322.0,Right Attacking Midfield,27,Borussia Mönchengladbach,185,['a5e89275-00a1-4844-b4be-e8daffc5284e'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:09:00.524,Pass,
,,,,,,,,,,,,,,,,,0.311008,,,,,,,,,,,c3bf61d9-3419-446e-81d3-9b2700fdcd56,309,,,"[98.1, 67.4]",3890536,9,,,,-0.9342881,,Right Foot,,,,"[99.8, 65.1]",,Ground Pass,,2.86007,Incomplete,,Mahmoud Dahoud,8238.0,,,,,,1,From Free Kick,Thorgan Hazard,5632.0,Center Forward,27,Borussia Mönchengladbach,185,"['43d402d8-8bdd-41af-a75b-473816100208', 'e58b7397-1303-4645-b23f-807987dbbdda']",2,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:09:02.392,Pass,
,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,032760fc-6f80-43e6-b6fb-a1429bb4a175,318,,,"[107.0, 56.9]",3890536,9,,,,-2.534605,e4ca7059-78c7-43e0-9c03-8a9581c1b576,Right Foot,,,,"[103.4, 54.4]",,Ground Pass,,4.382921,,,André Hahn,8322.0,True,,,,Recovery,1,From Free Kick,Mahmoud Dahoud,8238.0,Right Defensive Midfield,27,Borussia Mönchengladbach,185,"['45161eab-fe82-4c5b-b37d-c6a2e0eec31e', 'bcc0979a-d0cc-40a9-bee1-bc16de072aa4']",5,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:09:05.295,Pass,True
,,,,,,,,,,,,,,,,,1.14051,,,,,,,,,,,f58e2c92-abdd-466d-bb1b-984ec77f6fec,322,,,"[16.0, 43.5]",3890536,9,,,,0.77605265,,Right Foot,,,,"[21.4, 48.8]",,Ground Pass,,7.566373,,,Niklas Süle,6322.0,,,,,,1,From Keeper,Oliver Baumann,8393.0,Goalkeeper,29,Hoffenheim,175,['d7aee3a7-ead6-4d57-ab5b-546ecf2af94f'],26,,,,,,,,,,,,,,,,,Hoffenheim,175,00:09:26.841,Pass,
