50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d4d15ebe-fa14-41a5-94cd-febba3555581,1,,,3890515,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8560, 'name': 'René Adler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 8316, 'name': 'Dennis Diekmeier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40468, 'name': 'Cleber Janderson Pereira Reis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8302, 'name': 'Nicolai Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8321, 'name': 'Sven Schipplock'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8586d9f5-77b2-4e73-8fca-0fe0fae72b23,2,,,3890515,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 12383, 'name': 'Florian Jungwirth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 9222, 'name': 'Fabian Holland'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 34}, {'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7cfc6f8b-3c75-4191-960b-92207bcbceae,3,,,3890515,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,['a5061943-9d48-44fe-aa44-9a1e0178f76e'],0,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a5061943-9d48-44fe-aa44-9a1e0178f76e,4,,,3890515,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,['7cfc6f8b-3c75-4191-960b-92207bcbceae'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4cf2fb47-d714-4e91-9511-5871a84c9e77,1588,,,3890515,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,92,Hamburger SV,171,['31136fe1-0b3b-4f75-aadd-2374ec1240d7'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,31136fe1-0b3b-4f75-aadd-2374ec1240d7,1589,,,3890515,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,92,Hamburger SV,171,['4cf2fb47-d714-4e91-9511-5871a84c9e77'],0,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.977305,,,,,,,,,,,,,060f87e5-6e46-41c7-84b7-64d0032d44d2,5,,"[60.0, 40.0]",3890515,0,,True,,,2.016902,,Right Foot,,,"[58.9, 42.3]",,Ground Pass,,2.5495098,,,Sandro Wagner,9723.0,,,,,Kick Off,1,From Kick Off,Mario Vrančić,13675.0,Center Attacking Midfield,2,Darmstadt 98,872,['6adf66a0-7f09-4844-a73f-41813300e73b'],1,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:01.615,Pass,
,,,,,,,,,,,,,,,,,1.528828,,,,,,,,,,,,,bef4a9c8-8f57-497f-a8f2-9a08cb522e76,7,,"[58.2, 43.6]",3890515,0,,,,,1.5920697,,Right Foot,,,"[57.6, 71.8]",,Ground Pass,,28.206383,,,Florian Jungwirth,12383.0,,,,,,1,From Kick Off,Sandro Wagner,9723.0,Center Forward,2,Darmstadt 98,872,['bea558b4-a11f-4f9b-ba39-09bf1561d020'],3,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:03.182,Pass,
,,,,,,,,,,,,,,,,,1.17891,,,,,,,,,,,,,2442b0f6-3b6c-4d16-9ade-5be436d99843,10,,"[59.5, 71.6]",3890515,0,,,,,0.37506425,,Right Foot,,,"[72.2, 76.6]",,Ground Pass,,13.648809,,,Marcel Heller,9401.0,,,,,,1,From Kick Off,Florian Jungwirth,12383.0,Right Back,2,Darmstadt 98,872,['6503fdcf-6944-431f-bf5b-fb334eb07872'],4,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:04.801,Pass,
,,,,,,,,,,,,,,,,,0.734182,,,,,,,,,,,,,fbd09b3e-8de1-4e29-b89a-a84362b5aaf2,12,,"[71.6, 76.6]",3890515,0,,,,,-1.7834413,,Right Foot,,,"[69.7, 67.8]",,Ground Pass,,9.002777,,,Florian Jungwirth,12383.0,,,,,,1,From Kick Off,Marcel Heller,9401.0,Right Wing,2,Darmstadt 98,872,['7de877fd-8911-417b-8e49-e6e366218d6b'],5,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:05.980,Pass,
