50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,da628a31-9d49-48d3-9fa2-7ed44e5cd994,1,,,,3890281,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 8237, 'name': 'Paul Verhaegh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8319, 'name': 'Philipp Max'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 8807, 'name': 'Raúl Marcelo Bobadilla'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 40462, 'name': 'Halil Altıntop'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 400620, 'name': 'Tobias Werner'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 13}, {'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 30}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,83948448-0e22-4551-a3ee-4d99f0a5c59b,2,,,,3890281,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40460, 'name': 'Tobias Levels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3221, 'name': 'Markus Suttner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 9103, 'name': 'Lukas Hinterseer'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,060bd290-a23f-43ec-b0df-c58b2b874573,3,,,,3890281,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['305c14a5-fffb-4c86-ae16-c6387fe58041'],0,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,305c14a5-fffb-4c86-ae16-c6387fe58041,4,,,,3890281,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['060bd290-a23f-43ec-b0df-c58b2b874573'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,485fc457-6cb3-4e4e-8997-93d69d6e58e3,1582,,,,3890281,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Ingolstadt,189,['3dc47793-e319-42a5-aae5-b1a3059cb266'],0,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3dc47793-e319-42a5-aae5-b1a3059cb266,1583,,,,3890281,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Ingolstadt,189,['485fc457-6cb3-4e4e-8997-93d69d6e58e3'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.935383,,,,,,,,,,,,68de2d2b-a3c2-4e79-9f80-b0f983abf910,5,,,"[60.0, 40.0]",3890281,0,,True,,,-1.5707964,,Left Foot,,,,"[60.0, 38.7]",,Ground Pass,,1.3,,,Halil Altıntop,40462.0,,,,,Kick Off,1,From Kick Off,Caiuby Francisco da Silva,8303.0,Center Forward,2,Augsburg,172,['87587db3-0f62-4d23-8cbf-f676f8a28532'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.120,Pass,
,,,,,,,,,,,,,,,,,,,1.232164,,,,,,,,,,,,2a73acd1-fb38-4342-8398-48859ea3c168,7,,,"[59.8, 39.0]",3890281,0,,True,,,-2.9937432,,Left Foot,,,,"[45.7, 36.9]",,Ground Pass,,14.255526,,,Daniel Baier,8317.0,,,,,,1,From Kick Off,Halil Altıntop,40462.0,Center Attacking Midfield,2,Augsburg,172,['5adc3152-2602-4038-85b7-a029e41167b1'],1,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:01.055,Pass,
,,,,,,,,,,,,,,,,,,,1.645103,,,,,,,,,,,,b7a238b6-474a-4563-a626-9e10b1873d6b,9,,,"[43.8, 36.7]",3890281,0,,,,,-2.1756427,,Right Foot,,,,"[33.5, 21.8]",,Ground Pass,,18.113531,,,Ragnar Klavan,4174.0,,,,,,1,From Kick Off,Daniel Baier,8317.0,Left Defensive Midfield,2,Augsburg,172,['9ff4db34-154f-48a5-8f00-5b881b53ad87'],3,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:03.716,Pass,
,,,,,,,,,,,,,,,,,,,2.890007,,,,,,,,,,,,2e297886-ef17-4f47-9dd9-ef0b5289f596,11,,,"[33.5, 21.8]",3890281,0,,,,,2.4057035,,Left Foot,,,,"[10.2, 42.9]",,Ground Pass,,31.434057,,,Marwin Hitz,8314.0,,,,,,1,From Kick Off,Ragnar Klavan,4174.0,Left Center Back,2,Augsburg,172,['0411b3b8-bdcb-4b31-92b1-ce6886d65f0e'],5,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:05.361,Pass,
