50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dd1a38c8-882b-43e0-9c7c-bf7408eb2e6a,1,,,3890288,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 15581, 'name': 'Bernd Leno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8918, 'name': 'Roberto Hilbert'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8313, 'name': 'Kyriakos Papadopoulos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8212, 'name': 'Wendell Nascimento Borges'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 8805, 'name': 'Christoph Kramer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8969, 'name': 'Lars Bender'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8213, 'name': 'Karim Bellarabi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 38}, {'player': {'id': 5555, 'name': 'Julian Brandt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 11394, 'name': 'Stefan Kießling'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f6ead8ee-a00a-4e10-8bcd-5dd4551c04e4,2,,,3890288,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 9222, 'name': 'Fabian Holland'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 34}, {'player': {'id': 40477, 'name': 'Jan Rosenthal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 40481, 'name': 'Dominik Stroh-Engel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,80e96616-7f12-4615-889b-7d525992a3d4,3,,,3890288,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['0608978a-0440-4066-89e5-f8d2b79be553'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0608978a-0440-4066-89e5-f8d2b79be553,4,,,3890288,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['80e96616-7f12-4615-889b-7d525992a3d4'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,acfe46d5-7b14-40a1-9537-63e82e4351ec,1650,,,3890288,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,103,Bayer Leverkusen,904,['620ad97d-de84-4af0-b451-158b8e342ed8'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,620ad97d-de84-4af0-b451-158b8e342ed8,1651,,,3890288,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,103,Bayer Leverkusen,904,['acfe46d5-7b14-40a1-9537-63e82e4351ec'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.458434,,,,,,,,,,,,,6c4f7778-4f23-491a-a9b8-ad6ae96549d7,5,,"[61.0, 40.1]",3890288,0,,,,,2.1995926,,Left Foot,,,"[60.2, 41.2]",,Ground Pass,,1.360147,,,,,Dominik Stroh-Engel,40481.0,,,,,,Kick Off,1,From Kick Off,Jan Rosenthal,40477.0,Center Attacking Midfield,2,Darmstadt 98,872,['5521a36e-0356-479e-a1b0-7d6b8340cb18'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.440,Pass,
,,,,,,,,,,,,,,,,1.554471,,,,,,,,,,,,,ca4814fc-a7e7-4a19-85f1-971debd7d79e,8,,"[59.8, 39.8]",3890288,0,,,,,-2.7943847,,Right Foot,,,"[34.1, 30.5]",,Ground Pass,,27.330935,,,,,Luca Caldirola,9404.0,,,,,,,1,From Kick Off,Dominik Stroh-Engel,40481.0,Center Forward,2,Darmstadt 98,872,['24313ee2-6857-4696-b5e9-db4d56848545'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.948,Pass,
,,,,,,,,,,,,,,,,2.80922,,,,,,,,,,,,,33312c29-93b5-46b3-81c0-e6c28023c05e,11,,"[32.4, 29.7]",3890288,0,,,,,2.7527595,,Left Foot,,,"[9.7, 39.0]",,Ground Pass,,24.531204,,,,,Christian Mathenia,8306.0,,,,,,,1,From Kick Off,Luca Caldirola,9404.0,Left Center Back,2,Darmstadt 98,872,['04a0e121-a51f-4b58-80b8-888095b32337'],2,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:02.581,Pass,
,,,,,,,,,,,,,,,,3.868694,,,,,,,,,,,,,39088e1a-079e-4c7f-9245-07e310bc09de,14,,"[11.9, 44.6]",3890288,0,,,,,-0.050758503,,Right Foot,,,"[86.7, 40.8]",,High Pass,,74.89646,,,Incomplete,,Dominik Stroh-Engel,40481.0,,,,,,,1,From Kick Off,Christian Mathenia,8306.0,Goalkeeper,2,Darmstadt 98,872,"['578d1cc0-d731-473a-9001-72d94a4ca913', 'cd774110-1426-47a4-8373-67f594016f9a']",7,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:07.332,Pass,
