bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,27a9d109-2dac-4129-9ba0-675971353a1e,1,,,3890267,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 34}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 10594, 'name': 'Bas Dost'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,36cc174d-8f48-4ded-bd10-093f1da94384,2,,,3890267,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 400619, 'name': 'Stefan Reinartz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 30}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6a5f4b56-d7b5-4baf-8062-d34728a7d4c2,3,,,3890267,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['03a7db5b-b0bf-49da-a553-a81d3ece920e'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,03a7db5b-b0bf-49da-a553-a81d3ece920e,4,,,3890267,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['6a5f4b56-d7b5-4baf-8062-d34728a7d4c2'],0,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f0e39557-50b0-43b3-9a7d-f347329b41f0,1861,,,3890267,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Wolfsburg,179,['74f5a39c-b04e-4c24-b837-b1ac141739f1'],0,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,74f5a39c-b04e-4c24-b837-b1ac141739f1,1862,,,3890267,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Wolfsburg,179,['f0e39557-50b0-43b3-9a7d-f347329b41f0'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.383655,,,,,,,,,,,,,eacb2807-be10-40b0-8cc3-8df09c236e7f,5,,"[60.0, 40.0]",3890267,0,True,,,-1.5850811,,Right Foot,,,"[59.9, 33.0]",,Ground Pass,7.0007143,,,,Haris Seferović,5543.0,,,,,,Kick Off,1,From Kick Off,Luc Castaignos,7846.0,Left Center Forward,2,Eintracht Frankfurt,184,['6e6265b8-e47a-46d0-bfe6-aab976f49ed0'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.367,Pass,
,,,,,,,,,,,,,,,,,,,1.049894,,,,,,,,,,,,,5e192480-82bb-4983-8056-9f5eca2239a6,7,,"[59.9, 37.0]",3890267,0,,,,-2.8266757,,Right Foot,,,"[46.7, 32.7]",,Ground Pass,13.882723,,,,Stefan Reinartz,400619.0,,,,,,,1,From Kick Off,Haris Seferović,5543.0,Right Center Forward,2,Eintracht Frankfurt,184,['8356bef8-ab2e-47ac-bec1-2bb4521d31cc'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.841,Pass,
,,,,,,,,,,,,,,,,,,,1.782654,,,,,,,,,,,,,5a8634a4-9601-4b1a-998e-09a30d6256f1,11,,"[46.3, 38.0]",3890267,0,,,,2.4811218,,Right Foot,,,"[34.2, 47.4]",,Ground Pass,15.3222065,,,,Carlos Augusto Zambrano Ochandarte,36359.0,,,,,,,1,From Kick Off,Stefan Reinartz,400619.0,Left Defensive Midfield,2,Eintracht Frankfurt,184,['b96b9b41-5889-45f9-9df6-53337919e149'],3,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:03.855,Pass,
,,,,,,,,,,,,,,,,,,,1.898006,,,,,,,,,,,,,898de4ed-5eca-4cae-a586-40d47f256653,15,,"[35.4, 51.8]",3890267,0,,,,0.023469867,,Right Foot,,,"[78.0, 52.8]",,High Pass,42.611736,,Incomplete,,,,,,,,,,1,From Kick Off,Carlos Augusto Zambrano Ochandarte,36359.0,Right Center Back,2,Eintracht Frankfurt,184,"['9f6417ee-97e2-4b7a-97cd-7bc1593e8279', 'c8f6dd6a-10db-47e5-b37e-799b1b13257d']",7,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:07.123,Pass,True
