50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f85ba121-c29f-47cb-91e9-dbad697851a3,1,,,,3890352,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 8829, 'name': 'Frederik Hillesborg Sørensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8397, 'name': 'Kevin Vogt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5679, 'name': 'Yūya Ōsako'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 37264, 'name': 'Kazuki Nagasawa'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 25}, {'player': {'id': 10902, 'name': 'Philipp Hosiner'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 15}, {'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 27}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4ef37672-bcbf-48e2-9427-ce7be3fc907b,2,,,,3890352,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 40538, 'name': 'Jin-Su Kim'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 8556, 'name': 'Pirmin Schwegler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 8404, 'name': 'Eugen Polanski'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 6}, {'player': {'id': 8311, 'name': 'Jonathan Schmid'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8387, 'name': 'Mark Uth'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Hoffenheim,175,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1f01aaf1-42e4-4470-89d8-6715e53d550b,3,,,,3890352,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,['c806d764-297e-42ac-870b-58d58b4e864e'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c806d764-297e-42ac-870b-58d58b4e864e,4,,,,3890352,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,['1f01aaf1-42e4-4470-89d8-6715e53d550b'],0,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5d84966c-2330-4679-b08e-97ed95dba99b,2027,,,,3890352,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,109,Hoffenheim,175,['0369d5b0-19af-48e9-9467-2b524f71f380'],0,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0369d5b0-19af-48e9-9467-2b524f71f380,2028,,,,3890352,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,109,Hoffenheim,175,['5d84966c-2330-4679-b08e-97ed95dba99b'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.304473,,,,,,,,,,,,,40b97de8-e215-4af8-8f1f-f3af3c062fb9,5,,,"[60.0, 40.0]",3890352,0,,,,,-1.4352686,,Right Foot,,,"[60.3, 37.8]",Ground Pass,,2.2203603,,,Eduardo Jesús Vargas Rojas,27317.0,,,,,Kick Off,1,From Kick Off,Mark Uth,8387.0,Right Center Forward,2,Hoffenheim,175,['78ca7439-1dae-4b94-816f-bb06b6e15407'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.326,Pass,
,,,,,,,,,,,,,,,,0.98716,,,,,,,,,,,,,06d3c055-1fb7-4850-9b05-5a63753547d8,8,,,"[60.3, 37.6]",3890352,0,,,,,2.710454,,Left Foot,,,"[45.3, 44.5]",Ground Pass,,16.510906,,,Pirmin Schwegler,8556.0,,,,,,1,From Kick Off,Eduardo Jesús Vargas Rojas,27317.0,Left Center Forward,2,Hoffenheim,175,['22c07530-db14-4b7d-92af-1f54fcdfa4c2'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.670,Pass,
,,,,,,,,,,,,,,,,1.698187,,,,,,,,,,,,,4ac89671-fc48-4e4a-ab15-779b981d4fb2,11,,,"[45.1, 46.1]",3890352,0,,,,,1.804997,,Right Foot,,,"[40.4, 65.8]",Ground Pass,,20.252901,,,Pavel Kadeřábek,9397.0,,,,,,1,From Kick Off,Pirmin Schwegler,8556.0,Right Defensive Midfield,2,Hoffenheim,175,['296fd6e7-55f5-43c3-a5a2-f56185366063'],2,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:02.533,Pass,
,,,,,,,,,,,,,,,,1.216387,,,,,,,,,,,,,4690324f-76d6-4135-b56d-89d89b9c75d5,14,,,"[40.4, 65.8]",3890352,0,,,,,-2.5892892,,Right Foot,,,"[23.2, 55.2]",Ground Pass,,20.20396,,,Tobias Strobl,12321.0,,,,,,1,From Kick Off,Pavel Kadeřábek,9397.0,Right Back,2,Hoffenheim,175,['19a06912-b9b3-44af-8fe5-aa7818fde0a7'],5,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:05.049,Pass,
