50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1d9b8ec-24ff-40ed-a939-31daf8a5f7b5,1,,,3890448,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20950, 'name': 'Yanni Regäsel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 6317, 'name': 'Marco Jhonfai Fabián De La Mora'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 18888, 'name': 'Szabolcs Huszti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 23268, 'name': 'Alexander Meier'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0eb4428e-9a79-4a69-bbd0-ea99d421b016,2,,,3890448,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8560, 'name': 'René Adler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 8323, 'name': 'Gideon Jung'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8302, 'name': 'Nicolai Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8308, 'name': 'Aaron Hunt'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 5835, 'name': 'Josip Drmic'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 40473, 'name': 'Artoms Rudņevs'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a91aaa86-db58-4bc3-ac5b-90025919c856,3,,,3890448,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,['31b6f2b1-3b4c-4a3f-a08f-0a49d12df1a5'],0,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,31b6f2b1-3b4c-4a3f-a08f-0a49d12df1a5,4,,,3890448,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,['a91aaa86-db58-4bc3-ac5b-90025919c856'],0,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3903971e-7846-4f11-a050-1a10bf2bc864,1897,,,3890448,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Hamburger SV,171,['f0b3e125-742f-4811-bffe-16ac92c673db'],0,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f0b3e125-742f-4811-bffe-16ac92c673db,1898,,,3890448,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Hamburger SV,171,['3903971e-7846-4f11-a050-1a10bf2bc864'],0,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.326555,,,,,,,,,,,,,39e20007-f887-4812-9f71-ab592030565b,5,,"[60.0, 40.0]",3890448,0,True,,,-1.9693187,,Right Foot,,,,"[59.2, 38.1]",Ground Pass,,2.0615528,,,,,Aaron Hunt,8308.0,,,,,Kick Off,1,From Kick Off,Artoms Rudņevs,40473.0,Center Forward,2,Hamburger SV,171,['6c5bab00-5208-4336-af22-f0fbb0e83514'],0,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.632,Pass,
,,,,,,,,,,,,,,,,0.873104,,,,,,,,,,,,,6f8a1798-c72c-4654-9980-bf945df878f7,7,,"[59.2, 38.5]",3890448,0,True,,,3.119374,,Left Foot,,,,"[45.7, 38.8]",Ground Pass,,13.503333,,,,,Lewis Harry Holtby,8891.0,,,,,,1,From Kick Off,Aaron Hunt,8308.0,Center Attacking Midfield,2,Hamburger SV,171,['6889fd6d-b5f8-45c6-9f5e-4eec279bc22b'],0,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.990,Pass,
,,,,,,,,,,,,,,,,1.141043,,,,,,,,,,,,,84794768-1921-4d36-86b3-6d59b042816d,9,,"[47.0, 40.8]",3890448,0,,,,1.3961241,,Left Foot,,,,"[49.7, 56.1]",Ground Pass,,15.536408,,,,,Gideon Jung,8323.0,,,,,,1,From Kick Off,Lewis Harry Holtby,8891.0,Left Defensive Midfield,2,Hamburger SV,171,['afd93cc0-4fad-4d02-be27-5c20e7121b7c'],2,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:02.914,Pass,
,,,,,,,,,,,,,,,,1.681369,,,,,,,,,,,,,0d4f88e3-90d3-4e1e-9e64-9ea444fb27fa,12,,"[49.0, 55.2]",3890448,0,,,,-2.157323,,Right Foot,,,,"[28.2, 23.9]",Ground Pass,,37.58098,,,,,Emir Spahić,26791.0,,,,,,1,From Kick Off,Gideon Jung,8323.0,Right Defensive Midfield,2,Hamburger SV,171,['06fcee39-57a2-4e14-945d-bc041b759d18'],5,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:05.073,Pass,
