50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ec7732a4-9fdd-4d44-b3bf-80478ec9a5ca,1,,,3890470,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8577, 'name': 'Rune Almenning Jarstein'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 9722, 'name': 'Peter Pekarík'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8570, 'name': 'Niklas Stark'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 12327, 'name': 'John Anthony Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5569, 'name': 'Marvin Plattenhardt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 8578, 'name': 'Per Ciljan Skjelbred'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 8579, 'name': 'Vladimír Darida'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8576, 'name': 'Mitchell Weiser'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 5697, 'name': 'Genki Haraguchi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 8571, 'name': 'Vedad Ibišević'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 8575, 'name': 'Salomon Armand Magloire Kalou'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 8}]}",Hertha Berlin,173,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,397e1a60-0a87-4260-aaac-0333b0bd298f,2,,,3890470,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 6317, 'name': 'Marco Jhonfai Fabián De La Mora'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 18888, 'name': 'Szabolcs Huszti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fd42a1a5-c2fd-4ae9-be3f-b106114540a6,3,,,3890470,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,['be29797c-52ee-441c-a860-b30b57827103'],0,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,be29797c-52ee-441c-a860-b30b57827103,4,,,3890470,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,['fd42a1a5-c2fd-4ae9-be3f-b106114540a6'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4683005e-f0a2-49fe-add8-82b930f0aa30,1860,,,3890470,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Eintracht Frankfurt,184,['c9a51e75-f740-44f7-bd97-ea4077ad8a8c'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c9a51e75-f740-44f7-bd97-ea4077ad8a8c,1861,,,3890470,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Eintracht Frankfurt,184,['4683005e-f0a2-49fe-add8-82b930f0aa30'],0,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.437985,,,,,,,,,,,,1168afa4-ce0a-4a3b-be37-2b2f694a30ed,5,,"[61.0, 40.1]",3890470,0,,,,,1.815775,,Right Foot,,,"[60.8, 40.9]",,Ground Pass,,0.82462114,,,,,Vedad Ibišević,8571.0,,,,,Kick Off,1,From Kick Off,Salomon Armand Magloire Kalou,8575.0,Left Center Forward,2,Hertha Berlin,173,['aa674822-d17d-4928-8103-b76d112d6a8d'],0,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.470,Pass,
,,,,,,,,,,,,,,,1.010546,,,,,,,,,,,,89c9e959-4a4a-4803-87b8-d381ee71de7f,8,,"[60.6, 41.0]",3890470,0,,,,,-2.586099,,Right Foot,,,"[49.0, 33.8]",,Ground Pass,,13.652839,,,,,Vladimír Darida,8579.0,,,,,,1,From Kick Off,Vedad Ibišević,8571.0,Right Center Forward,2,Hertha Berlin,173,['c000dc0a-92e3-4399-a462-a845cd0fdf27'],1,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:01.028,Pass,
,,,,,,,,,,,,,,,2.266502,,,,,,,,,,,,23533ac4-540e-4aa2-ae31-15fde5d05068,11,,"[52.5, 41.6]",3890470,0,,,,,0.7821302,,Right Foot,,,"[83.2, 72.1]",,High Pass,,43.275166,,,,,Mitchell Weiser,8576.0,,,,,,1,From Kick Off,Vladimír Darida,8579.0,Left Defensive Midfield,2,Hertha Berlin,173,['439396bb-ab99-4557-a69d-c80527099313'],3,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:03.071,Pass,
,,,,,,,,,,,,,,,2.568469,,,,,,,,,,,,f0ef0450-ba8c-459a-b25e-1de71cd412ac,14,,"[75.5, 74.5]",3890470,0,,,,,2.9171767,,Left Foot,,,"[57.1, 78.7]",,High Pass,,18.873262,,,,,Peter Pekarík,9722.0,,,,,,1,From Kick Off,Mitchell Weiser,8576.0,Right Midfield,2,Hertha Berlin,173,['5571d90d-c0f6-496f-81c3-ca7b323805d9'],6,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:06.687,Pass,
