50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2c4ce258-8416-406f-9084-f1dc37823ca4,1,,,3890419,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30312, 'name': 'Uilson de Souza Paula Júnior'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 3510, 'name': 'Sead Kolašinac'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6717, 'name': 'Johannes Geis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 13}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,631517f8-a199-4c6d-b9ef-b03671496292,2,,,3890419,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 7}, {'player': {'id': 3774, 'name': 'Papiss Mison Djilobodji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8390, 'name': 'Philipp Bargfrede'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 44}, {'player': {'id': 8554, 'name': 'Levin Mete Öztunali'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 11132, 'name': 'Claudio Miguel Pizarro Bossio'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,626e80a2-9798-4f16-acc4-c526538814d0,3,,,3890419,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['4ee47bf4-08f1-4d4b-ac58-a4c603cb4126'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,4ee47bf4-08f1-4d4b-ac58-a4c603cb4126,4,,,3890419,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['626e80a2-9798-4f16-acc4-c526538814d0'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,a7de92da-4e08-4526-b407-6170f50c9c93,1781,,,3890419,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Schalke 04,181,['2a570bce-5c35-4b59-bc23-7e1d3c81d05d'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2a570bce-5c35-4b59-bc23-7e1d3c81d05d,1782,,,3890419,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Schalke 04,181,['a7de92da-4e08-4526-b407-6170f50c9c93'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.317726,,,,,,,,,,cfae2541-e613-4be3-94e2-0b99ad3ee900,5,,"[60.0, 40.0]",3890419,0,,,,2.819842,,Right Foot,,,"[59.7, 40.1]",,Ground Pass,,0.31622776,,,,,Claudio Miguel Pizarro Bossio,11132.0,,,,,,Kick Off,1,From Kick Off,Anthony Ujah,12624.0,Right Center Forward,2,Werder Bremen,176,['c0add398-1e80-4921-b810-55ccb483c026'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.356,Pass,
,,,,,,,,,,,,,,,,,,2.180642,,,,,,,,,,bcd3c452-7005-43d0-9ad0-c7bda326c36c,7,,"[59.7, 40.1]",3890419,0,,,,3.0460985,,Right Foot,,,"[33.6, 42.6]",,Ground Pass,,26.219458,,,,,Jannik Vestergaard,8815.0,,,,,,,1,From Kick Off,Claudio Miguel Pizarro Bossio,11132.0,Left Center Forward,2,Werder Bremen,176,['831fb023-93d1-4187-b1f3-a51737c3bf1b'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.566,Pass,
,,,,,,,,,,,,,,,,,,2.753898,,,,,,,,,,a294e350-d4f8-4cdc-ba34-2f731ddc9198,10,,"[39.2, 42.6]",3890419,0,,,,-0.50876176,,Right Foot,,,"[85.1, 17.0]",,High Pass,,52.55635,,,,,Anthony Ujah,12624.0,,,,,,,1,From Kick Off,Jannik Vestergaard,8815.0,Right Center Back,2,Werder Bremen,176,['1db7ef80-0322-4484-a909-a5abf3a6ff3c'],3,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:03.779,Pass,
,,,,,,,,,,,,,,,,,,1.625763,,,,,,,,,,1a99b712-06a6-4a70-8d69-3864e2907217,12,,"[84.3, 17.0]",3890419,0,,,,-2.8435957,,Head,,,"[70.3, 12.7]",,High Pass,,14.645477,,,,,Philipp Bargfrede,8390.0,,,,,,,1,From Kick Off,Anthony Ujah,12624.0,Right Center Forward,2,Werder Bremen,176,['14223706-5d8d-45e7-b813-f0d78f8006d0'],6,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:06.561,Pass,
,,,,,,,,,,,,,,,,,,1.433169,,,,,,,,,,2e36fb96-8ada-4a80-b04b-3db7cb2b44e3,15,,"[70.3, 12.7]",3890419,0,,,,-1.0028356,,Right Foot,,True,"[77.0, 2.2]",,Low Pass,,12.455521,,,,,Florian Grillitsch,11396.0,,,,,,,1,From Kick Off,Philipp Bargfrede,8390.0,Left Defensive Midfield,2,Werder Bremen,176,['b3aa41ee-d25b-437d-b39a-0c3e58838500'],8,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:08.782,Pass,
,,,,,,,,,,,,,,,,,,0.805732,,,,,,,,,,a6725d24-edb3-4fb3-93a2-9f1e27db3e70,19,,"[78.3, 4.4]",3890419,0,,,,-3.0102773,,Head,,,"[67.7, 3.0]",,Low Pass,,10.692053,,,,,Santiago García,26359.0,,,,,,,1,From Kick Off,Florian Grillitsch,11396.0,Left Midfield,2,Werder Bremen,176,['2da93d97-4160-4f88-ac2d-3340ec32af02'],10,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:10.215,Pass,
