50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b6a9494f-3b42-4ab2-aa01-393d1ea71ef5,1,,,3890379,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 51388, 'name': 'Assani Lukimya-Mulongoti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 8390, 'name': 'Philipp Bargfrede'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 44}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 8389, 'name': 'Fin Bartels'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 11132, 'name': 'Claudio Miguel Pizarro Bossio'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b1eba69e-fc45-436d-b30e-8a855e4a59b9,2,,,3890379,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8560, 'name': 'René Adler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40468, 'name': 'Cleber Janderson Pereira Reis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 8323, 'name': 'Gideon Jung'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8302, 'name': 'Nicolai Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8895, 'name': 'Pierre-Michel Lasogga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b96bc724-fb8d-4e9c-95fb-341e389c8262,3,,,3890379,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['a130ff9e-3e12-433d-8220-4084575eedfd'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a130ff9e-3e12-433d-8220-4084575eedfd,4,,,3890379,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['b96bc724-fb8d-4e9c-95fb-341e389c8262'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b49b237f-316e-4852-a310-f0bbd09d5ced,1791,,,3890379,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,Werder Bremen,176,['8aee6707-c256-4838-b38b-e6437f9aecd9'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8aee6707-c256-4838-b38b-e6437f9aecd9,1792,,,3890379,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,Werder Bremen,176,['b49b237f-316e-4852-a310-f0bbd09d5ced'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.234488,,,,,,,,,,,,,893eb33b-d7e9-4db9-a740-1cfd3c9338ab,5,,"[60.0, 40.0]",3890379,0,,,,-1.2252407,,Right Foot,,,,"[60.9, 37.5]",,Ground Pass,,2.657066,,,Pierre-Michel Lasogga,8895.0,,,,,Kick Off,1,From Kick Off,Ivo Iličević,24740.0,Left Wing,2,Hamburger SV,171,['bc21fdeb-bb87-4c48-a966-f63257c95790'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.115,Pass,
,,,,,,,,,,,,,,,,1.699231,,,,,,,,,,,,,799bbc88-97f5-49d8-97c9-9f940f316abd,7,,"[61.4, 36.6]",3890379,0,,,,2.6333318,,Right Foot,,,,"[39.5, 48.8]",,Ground Pass,,25.068905,,,Johan Danon Djourou-Gbadjere,6359.0,,,,,,1,From Kick Off,Pierre-Michel Lasogga,8895.0,Center Forward,2,Hamburger SV,171,['1a561775-2a8d-4a75-87f4-fb630fce3508'],1,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:01.350,Pass,
,,,,,,,,,,,,,,,,3.7406,,,,,,,,,,,,,db3bd397-c21b-40c2-8a27-4e175cada1eb,9,,"[40.7, 48.8]",3890379,0,,,,-0.37887877,,Right Foot,,,,"[93.7, 27.7]",,High Pass,,57.045685,Incomplete,,Michael Gregoritsch,8309.0,,,,,,1,From Kick Off,Johan Danon Djourou-Gbadjere,6359.0,Right Center Back,2,Hamburger SV,171,"['4a20306d-e43b-4e32-b8c3-b3c5e787f854', '7a0c3063-513b-4568-ac93-ff7c460f58dd']",3,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:03.049,Pass,
,,,,,,,,,,,,,,,,2.465931,,,,,,,,,,,,,4a20306d-e43b-4e32-b8c3-b3c5e787f854,11,,"[26.4, 52.4]",3890379,0,,,,0.13909595,,Head,,,,"[56.4, 56.6]",,High Pass,,30.292574,,,Anthony Ujah,12624.0,,,,,Recovery,1,Regular Play,Assani Lukimya-Mulongoti,51388.0,Right Center Back,3,Werder Bremen,176,"['9a4901b4-5a88-45f0-89f4-30628f02f41f', 'db3bd397-c21b-40c2-8a27-4e175cada1eb']",6,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:06.790,Pass,
