ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,ce6db908-0ee7-49fc-8803-5fd730809e13,1,,,3890284,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,1fb85d3f-ddac-4d0d-9a56-5c82bd278ffd,2,,,3890284,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 17313, 'name': 'Thomas Kraft'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8580, 'name': 'Sebastian Langkamp'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 8965, 'name': 'Fabian Lustenberger'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 28}, {'player': {'id': 12327, 'name': 'John Anthony Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 9722, 'name': 'Peter Pekarík'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5569, 'name': 'Marvin Plattenhardt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 8578, 'name': 'Per Ciljan Skjelbred'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 8579, 'name': 'Vladimír Darida'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 9721, 'name': 'Valentin Stocker'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 8883, 'name': 'Johannes van den Bergh'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 5697, 'name': 'Genki Haraguchi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Hertha Berlin,173,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,0567a8c5-a626-424b-bfd1-7aa90ecb6c31,3,,,3890284,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['dcb7b058-3c24-4035-a6d9-5b5de5abbac9'],0,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,dcb7b058-3c24-4035-a6d9-5b5de5abbac9,4,,,3890284,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['0567a8c5-a626-424b-bfd1-7aa90ecb6c31'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,2c342d95-cd25-4c0b-88b0-4d05f7464cef,1783,,,3890284,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,83,Hertha Berlin,173,['77b03201-0d15-49cf-8447-65c42cfc4987'],0,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,77b03201-0d15-49cf-8447-65c42cfc4987,1784,,,3890284,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,83,Hertha Berlin,173,['2c342d95-cd25-4c0b-88b0-4d05f7464cef'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,0.598102,,,,,,,,,,,add1d1b7-b15b-45f1-920e-5a89f42074e6,5,,"[61.0, 40.1]",3890284,0,,,,,1.9974238,,Right Foot,,,"[60.0, 42.3]",,Ground Pass,,2.4166093,,Valentin Stocker,9721.0,,,,,,Kick Off,1,From Kick Off,Genki Haraguchi,5697.0,Center Forward,2,Hertha Berlin,173,['3a40bf17-0d41-45dd-b289-afaa5cae6298'],0,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.600,Pass,
,,,,,,,,,,,,1.027669,,,,,,,,,,,897dc975-5c2d-45a1-b5b2-3ab02f543425,8,,"[58.7, 41.5]",3890284,0,,,,,-3.087002,,Right Foot,,,"[40.4, 40.5]",,Ground Pass,,18.327303,,Per Ciljan Skjelbred,8578.0,,,,,,,1,From Kick Off,Valentin Stocker,9721.0,Right Wing,2,Hertha Berlin,173,['5f15dda5-827e-489d-9254-044b99765d30'],1,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:01.518,Pass,
,,,,,,,,,,,,2.518547,,,,,,,,,,,1d7c2c0a-29c8-4c54-8a87-d323d5de6f81,11,,"[40.4, 40.5]",3890284,0,,,,,-2.063515,,Right Foot,,,"[27.3, 16.1]",,Ground Pass,,27.694223,,John Anthony Brooks,12327.0,,,,,,,1,From Kick Off,Per Ciljan Skjelbred,8578.0,Right Defensive Midfield,2,Hertha Berlin,173,['ce4320a3-938d-45f9-ab9d-f762d385ca05'],3,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:03.487,Pass,
,,,,,,,,,,,,5.812391,,,,,,,,,,,8dff53be-add5-4fbe-b497-e018b639c2a5,15,,"[30.3, 8.8]",3890284,0,,,,,0.5381065,,Left Foot,,,"[106.7, 54.4]",,High Pass,,88.9737,Incomplete,Genki Haraguchi,5697.0,,,True,,,,1,From Kick Off,John Anthony Brooks,12327.0,Left Center Back,2,Hertha Berlin,173,"['3c9f6605-8ba3-43f0-b936-760bfc7eee85', '43503686-6dfc-4bc6-9b10-a8e999dd1fc6', '5d55da94-5f0b-467c-aebe-14704950e8af']",7,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:07.264,Pass,True
