50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,27b6055c-6dbc-4902-b5af-5be26dbbfab9,1,,,3890323,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 11398, 'name': 'Tobias Sippel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 8545, 'name': 'Julian Korb'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 26677, 'name': 'Álvaro Domínguez Soto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 8809, 'name': 'Oscar Wendt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 11285, 'name': 'Ibrahima Traoré'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6761ecae-c08b-413e-af0e-b4b22917a514,2,,,3890323,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 4600, 'name': 'Diego Orlando Benaglio'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24919, 'name': 'Sebastian Jung'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 34}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8521, 'name': 'Daniel Caligiuri'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 40469, 'name': 'Marcel Schäfer'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 4}, {'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,be13c644-7885-4de2-91e8-26adf562be0b,3,,,3890323,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['8523f1b2-d1a0-4c7a-8001-0fa70300f392'],0,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8523f1b2-d1a0-4c7a-8001-0fa70300f392,4,,,3890323,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['be13c644-7885-4de2-91e8-26adf562be0b'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5444f972-167f-495a-82e8-0f1e73e11980,1756,,,3890323,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Wolfsburg,179,['d1ef14b0-6dda-4f59-bd08-eae4bf08becd'],0,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1ef14b0-6dda-4f59-bd08-eae4bf08becd,1757,,,3890323,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Wolfsburg,179,['5444f972-167f-495a-82e8-0f1e73e11980'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.445633,,,,,,,,,,,,,895145af-af1d-437a-8d0c-e8e77edbb148,5,,"[60.0, 40.0]",3890323,0,,,,-1.929567,,Right Foot,,"[59.4, 38.4]",,Ground Pass,,1.7088008,,,Raffael Caetano de Araújo,8810.0,,,,,Kick Off,1,From Kick Off,Fabian Johnson,11283.0,Left Midfield,2,Borussia Mönchengladbach,185,['06d282c8-6b76-4dfc-8a52-14ef426b39bf'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.721,Pass,
,,,,,,,,,,,,,,,,,,,1.452594,,,,,,,,,,,,,2c4f8cfc-9fb1-41a0-a857-1cbee95298d5,8,,"[56.7, 38.4]",3890323,0,,,,3.1173549,,Right Foot,,"[40.2, 38.8]",,Ground Pass,,16.504848,,,Álvaro Domínguez Soto,26677.0,,,,,,1,From Kick Off,Raffael Caetano de Araújo,8810.0,Left Center Forward,2,Borussia Mönchengladbach,185,['6e5432a0-10e2-49bc-9c99-80fd6796786e'],1,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:01.325,Pass,
,,,,,,,,,,,,,,,,,,,2.318315,,,,,,,,,,,,,c49c791b-00fd-4280-9a87-ce93c1dea22f,12,,"[41.7, 37.9]",3890323,0,,,,0.5792909,,Left Foot,,"[79.0, 62.3]",,High Pass,,44.571854,,,Lars Edi Stindl,8806.0,,,,,,1,From Kick Off,Álvaro Domínguez Soto,26677.0,Left Center Back,2,Borussia Mönchengladbach,185,"['a7391d8a-11d9-4330-bc58-e60eaaf0eaab', 'e7f9b844-57b7-46dd-9ec4-d0073f625869']",3,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:03.792,Pass,True
,,,,,,,,,,,,,,,,,,,0.617792,,,,,,,,,,,,,cc172efc-6a72-4f7d-bbc0-27a1e6a8920f,15,,"[79.0, 62.3]",3890323,0,,,,-1.6239377,,Other,,"[78.5, 52.9]",,High Pass,,9.413288,Incomplete,,Mahmoud Dahoud,8238.0,,,,,,1,From Kick Off,Lars Edi Stindl,8806.0,Right Center Forward,2,Borussia Mönchengladbach,185,"['11276f53-7c1b-4be2-b017-d1d477528d37', '52fe50b2-5b78-4c89-b755-72246a23d231']",6,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:06.364,Pass,
