50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2d880d36-d8dc-4eea-a884-4b96e4268838,1,,,3890261,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a05941c3-35d8-4e6c-8349-d350c565fd64,2,,,3890261,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12320, 'name': 'Tony Jantschke'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 29245, 'name': 'Marvin Schulz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 8809, 'name': 'Oscar Wendt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 11285, 'name': 'Ibrahima Traoré'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 5835, 'name': 'Josip Drmic'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7eb792bb-f438-4f15-bd71-10da02b4cf78,3,,,3890261,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['058647ed-b252-48f1-90f0-f44dd06aa5c2'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,058647ed-b252-48f1-90f0-f44dd06aa5c2,4,,,3890261,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['7eb792bb-f438-4f15-bd71-10da02b4cf78'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f6a91683-c842-4cbe-a8d9-0f293a301993,2173,,,3890261,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,79,Borussia Dortmund,180,['d58abba6-e631-4a9b-ae39-015b29aedc9e'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d58abba6-e631-4a9b-ae39-015b29aedc9e,2174,,,3890261,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,79,Borussia Dortmund,180,['f6a91683-c842-4cbe-a8d9-0f293a301993'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.47422,,,,,,,,,,,,,e6907bbb-ea91-4c43-804d-50eda2956349,5,,"[61.0, 40.1]",3890261,0,,,,1.5063695,,Right Foot,,,"[61.2, 43.2]",,Ground Pass,,3.1064448,,,Raffael Caetano de Araújo,8810.0,,,,,Kick Off,1,From Kick Off,Josip Drmic,5835.0,Left Center Forward,2,Borussia Mönchengladbach,185,['1560cdbe-7da2-4c02-ba8d-0619927c1aa5'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.382,Pass,
,,,,,,,,,,,,,,,,,,1.495405,,,,,,,,,,,,,ba6e7fbf-df36-4cd7-b13d-a6376a6d9d71,8,,"[62.7, 41.8]",3890261,0,,,,-2.9989777,,Right Foot,,,"[43.2, 39.0]",,Ground Pass,,19.7,,,Granit Xhaka,3500.0,,,,,,1,From Kick Off,Raffael Caetano de Araújo,8810.0,Right Center Forward,2,Borussia Mönchengladbach,185,['460cf46b-bed7-48eb-bd2d-7aa36fc124b1'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.976,Pass,
,,,,,,,,,,,,,,,,,,2.872836,,,,,,,,,,,,,b328f066-7c64-4df2-9ffe-087320a0e443,12,,"[42.5, 42.3]",3890261,0,,,,0.7205541,,Left Foot,,,"[79.4, 74.7]",,Low Pass,,49.1057,Incomplete,,Ibrahima Traoré,11285.0,,,,,,1,From Kick Off,Granit Xhaka,3500.0,Left Defensive Midfield,2,Borussia Mönchengladbach,185,"['347297bb-ed92-4b97-8437-0b6f611b3337', 'acf5d5bb-04ea-4687-a448-15a39cfc9936']",3,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:03.465,Pass,
,,,,,,,,,,,,,,,,,,1.316467,,,,,,,,,,,,,347297bb-ed92-4b97-8437-0b6f611b3337,15,,"[40.7, 5.4]",3890261,0,,,True,0.8690017,,,,,"[48.9, 15.1]",,High Pass,,12.701574,Incomplete,,,,,,,,Recovery,1,From Kick Off,Marcel Schmelzer,11458.0,Left Back,2,Borussia Mönchengladbach,185,"['939df374-1cdc-4c9f-b84e-fc6dae368909', 'b328f066-7c64-4df2-9ffe-087320a0e443', 'ed5aef91-974b-4fe4-8893-84043fc3355f']",6,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:06.338,Pass,True
