50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bb277a37-60cb-4729-9d68-fabe1889f378,1,,,3890476,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 20665, 'name': 'Kevin Großkreutz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 8270, 'name': 'Daniel Schwaab'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 40470, 'name': 'Georg Niedermeier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 34558, 'name': 'Sereso Geoffroy Gonzaroua Dié'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 27639, 'name': 'Artem Kravets'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3778d330-cc56-42c6-8f29-74a56e4f22a5,2,,,3890476,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 25}, {'player': {'id': 9396, 'name': 'Ermin Bičakčić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 8392, 'name': 'Jeremy Toljan'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 8404, 'name': 'Eugen Polanski'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 30847, 'name': 'Jiloan Hamad'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 8403, 'name': 'Nadiem Amiri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 8387, 'name': 'Mark Uth'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 31}]}",Hoffenheim,175,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,be8fbd81-4bd8-4143-b8ca-18aa756e8388,3,,,3890476,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,['de3d7f68-a9cd-4cbe-9b38-8c781a98c215'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,de3d7f68-a9cd-4cbe-9b38-8c781a98c215,4,,,3890476,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,['be8fbd81-4bd8-4143-b8ca-18aa756e8388'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0a504374-1dd6-4d7b-8373-ed24a6b152eb,1732,,,3890476,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Hoffenheim,175,['b39e7f41-2d22-40e6-8ff6-c0f073838487'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b39e7f41-2d22-40e6-8ff6-c0f073838487,1733,,,3890476,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Hoffenheim,175,['0a504374-1dd6-4d7b-8373-ed24a6b152eb'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.503341,,,,,,,,,,,,,f86fa718-8bbe-4ba4-ba2a-4912cc46c84c,5,,"[60.0, 40.0]",3890476,0,,,,,-1.7126933,,Right Foot,,,,"[59.9, 39.3]",,Ground Pass,,0.70710677,,,,Daniel Didavi,8243.0,,,,,,Kick Off,1,From Kick Off,Artem Kravets,27639.0,Center Forward,2,VfB Stuttgart,174,['2f708346-b684-43a7-bb94-c88ce1612cef'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.853,Pass,
,,,,,,,,,,,,,,,1.790661,,,,,,,,,,,,,8f9fd3df-f2ab-4200-afa6-da755b31043f,7,,"[59.2, 39.0]",3890476,0,,,,,3.0250065,,Left Foot,,,,"[37.0, 41.6]",,Ground Pass,,22.351734,,,,Sereso Geoffroy Gonzaroua Dié,34558.0,,,,,,,1,From Kick Off,Daniel Didavi,8243.0,Left Center Midfield,2,VfB Stuttgart,174,['75e737b0-f34d-4339-b75d-113d6bcb4580'],1,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:01.356,Pass,
,,,,,,,,,,,,,,,1.281593,,,,,,,,,,,,,6bf55f92-479b-4f67-839c-a703b7aef6f5,11,,"[38.0, 44.0]",3890476,0,,,,,0.058755822,,Right Foot,,,,"[77.1, 46.3]",,High Pass,,39.167587,,Incomplete,,Artem Kravets,27639.0,,,,,,,1,From Kick Off,Sereso Geoffroy Gonzaroua Dié,34558.0,Center Defensive Midfield,2,VfB Stuttgart,174,"['664e60c0-4a09-40d7-9eb3-fe50fd7ef498', '7bff7837-534e-43af-9002-70e2796d881e', '80bca13e-05d1-44de-ac60-c8ab9f778846']",4,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:04.589,Pass,True
,,,,,,,,,,,,,,,1.881821,,,,,,,,,,,,,9f19f066-1e76-41a9-b619-b8b0eec99fd3,15,,"[32.4, 0.1]",3890476,0,,,,,2.1704807,,,,,,"[19.0, 19.7]",,Low Pass,,23.742788,,,,Georg Niedermeier,40470.0,,,,,,Throw-in,1,From Throw In,Emiliano Adrián Insúa Zapata,12626.0,Left Back,3,VfB Stuttgart,174,['fda12476-418a-49bd-bd96-f0aa6986a9e5'],17,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:17.501,Pass,
