50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,878d9e3c-354b-48ec-939f-2c6e82890440,1,,,3890327,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 9396, 'name': 'Ermin Bičakčić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8392, 'name': 'Jeremy Toljan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 8556, 'name': 'Pirmin Schwegler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 8404, 'name': 'Eugen Polanski'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 6}, {'player': {'id': 8311, 'name': 'Jonathan Schmid'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 31}, {'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Hoffenheim,175,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b1d7dda7-e592-4e86-a974-f353bb75e8b5,2,,,3890327,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 9728, 'name': 'Florian Klein'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 38172, 'name': 'Toni Šunjić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 34558, 'name': 'Sereso Geoffroy Gonzaroua Dié'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 8550, 'name': 'Alexandru Iulian Maxim'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 44}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ff201fc6-6fbe-416b-9198-5659c6408388,3,,,3890327,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,['562941d3-2656-4d6b-863d-d4619827e52f'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,562941d3-2656-4d6b-863d-d4619827e52f,4,,,3890327,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,['ff201fc6-6fbe-416b-9198-5659c6408388'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2739fe09-32f6-413b-a03e-47e2fdbd84ca,1563,,,3890327,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,112,Hoffenheim,175,['221a6876-ba4b-4c0d-9c7f-32c7960e2edd'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,221a6876-ba4b-4c0d-9c7f-32c7960e2edd,1564,,,3890327,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,112,Hoffenheim,175,['2739fe09-32f6-413b-a03e-47e2fdbd84ca'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.333081,,,,,,,,,,,,,,,facd63c2-4376-4f62-b797-024be592160d,5,,"[60.0, 40.0]",3890327,0,,,,,2.4668517,,Right Foot,,,"[58.0, 41.6]",,Ground Pass,,2.5612497,,,Kevin Volland,8215.0,,,,,,Kick Off,1,From Kick Off,Eduardo Jesús Vargas Rojas,27317.0,Left Center Forward,2,Hoffenheim,175,['c57b5b7f-2fd7-4720-8b10-e88954711f9b'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.179,Pass,
,,,,,,,,,,,,,,,,,0.849244,,,,,,,,,,,,,,,ccb53f59-b517-4937-8fb5-35d165b17335,7,,"[57.9, 41.8]",3890327,0,,,,,-2.5258193,,Right Foot,,,"[47.3, 34.3]",,Ground Pass,,12.984991,,,Eugen Polanski,8404.0,,,,,,,1,From Kick Off,Kevin Volland,8215.0,Right Center Forward,2,Hoffenheim,175,['eb9da6b2-34dd-408d-9c94-fe44d94179c3'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.512,Pass,
,,,,,,,,,,,,,,,,,1.265894,,,,,,,,,,,,,,,6076046f-23dc-43a8-96ce-133f9e349e3b,10,,"[45.6, 36.8]",3890327,0,,,,,2.394637,,Left Foot,,,"[29.4, 51.8]",,Ground Pass,,22.078043,,,Niklas Süle,6322.0,,,,,,,1,From Kick Off,Eugen Polanski,8404.0,Left Defensive Midfield,2,Hoffenheim,175,['0d699a24-b8af-42ed-a016-2e25006c9d66'],2,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:02.973,Pass,
,,,,,,,,,,,,,,,,,2.053982,,,,,,,,,,,,,,,915218fd-4638-410b-b558-fdff5327ae6a,13,,"[24.2, 56.2]",3890327,0,,,,,-2.3335447,,Left Foot,,,"[9.1, 40.4]",,Ground Pass,,21.855206,,,Oliver Baumann,8393.0,,,,,,,1,From Kick Off,Niklas Süle,6322.0,Right Center Back,2,Hoffenheim,175,['f70172fa-cbd8-47b8-a2af-535eff45986a'],5,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:05.604,Pass,
