50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6f4c4b9a-7503-4411-acd1-f8fb9a47acd4,1,,,3890428,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19295, 'name': 'Philipp Lahm'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 9406, 'name': 'Holger Badstuber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8218, 'name': 'Arjen Robben'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 5837, 'name': 'Douglas Costa de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 8217, 'name': 'Kingsley Coman'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 29}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,770835ad-3c8b-405f-bb57-020b3062e96b,2,,,3890428,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 9396, 'name': 'Ermin Bičakčić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 40538, 'name': 'Jin-Su Kim'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 8311, 'name': 'Jonathan Schmid'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 30847, 'name': 'Jiloan Hamad'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Hoffenheim,175,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,70ed3597-5503-4e71-9162-3247b98c9d12,3,,,3890428,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['0bdef873-e30c-4d63-8cf2-cb7a2b81253f'],0,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0bdef873-e30c-4d63-8cf2-cb7a2b81253f,4,,,3890428,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['70ed3597-5503-4e71-9162-3247b98c9d12'],0,,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,237dc677-fa3e-4432-be43-c6d340bf656a,2041,,,3890428,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Hoffenheim,175,['6529b1a6-0a71-4e60-ab2d-6340c23117b7'],0,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6529b1a6-0a71-4e60-ab2d-6340c23117b7,2042,,,3890428,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Hoffenheim,175,['237dc677-fa3e-4432-be43-c6d340bf656a'],0,,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.465028,,,,,,,,,,,c58ecc25-ce2b-48f2-a7fe-cdbf84ea3f39,5,,"[61.0, 40.1]",3890428,0,True,,,1.706324,,Right Foot,,,"[60.4, 44.5]",,Ground Pass,,4.4407206,,,Robert Lewandowski,5668.0,,,,,Kick Off,1,From Kick Off,Thomas Müller,5562.0,Right Center Midfield,2,Bayern Munich,169,['01b44946-9d0a-4246-9ae5-89d1c3820efb'],0,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.711,Pass,
,,,,,,,,,,,,,,,,,1.20948,,,,,,,,,,,53e76c59-1a59-4e52-86fb-67a4674e0a7f,7,,"[59.2, 44.5]",3890428,0,,,,2.6426656,,Right Foot,,,"[42.5, 53.6]",,Ground Pass,,19.018412,,,Joshua Kimmich,5579.0,,,,,,1,From Kick Off,Robert Lewandowski,5668.0,Center Forward,2,Bayern Munich,169,['ef8061dc-11ba-46b8-b76e-0b19fdd0fc09'],1,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:01.721,Pass,
,,,,,,,,,,,,,,,,,2.32967,,,,,,,,,,,9d2aed25-acb8-434c-a3d6-a17ef76c844e,10,,"[42.5, 53.6]",3890428,0,,,,-1.5852462,,Right Foot,,,"[42.0, 19.0]",,Ground Pass,,34.60361,,,David Olatukunbo Alaba,8220.0,,,,,,1,From Kick Off,Joshua Kimmich,5579.0,Right Center Back,2,Bayern Munich,169,['bb10a7f3-6775-4697-b5a5-32963f948477'],3,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:03.761,Pass,
,,,,,,,,,,,,,,,,,1.052652,,,,,,,,,,,c3fc064c-fe2b-4bea-b2f3-2c9551dfb9f5,13,,"[42.0, 19.0]",3890428,0,,,,1.9634849,,Left Foot,,,"[35.0, 35.9]",,Ground Pass,,18.292349,,,Holger Badstuber,9406.0,,,,,,1,From Kick Off,David Olatukunbo Alaba,8220.0,Left Back,2,Bayern Munich,169,['67b73a9f-1d23-4c22-a4fa-9ae13fcf03c8'],6,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:06.315,Pass,
