50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4fb5e973-9865-4b81-b6ea-3497b6396631,1,,,,3890563,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 400627, 'name': 'Dario Kresic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 8918, 'name': 'Roberto Hilbert'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 9363, 'name': 'André Ramalho Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8573, 'name': 'Ömer Toprak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 8211, 'name': 'Benjamin Henrichs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 39}, {'player': {'id': 8210, 'name': 'Charles Mariano Aránguiz Sandoval'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8222, 'name': 'Kevin Kampl'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 44}, {'player': {'id': 8213, 'name': 'Karim Bellarabi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 38}, {'player': {'id': 5555, 'name': 'Julian Brandt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 11394, 'name': 'Stefan Kießling'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b7fc7591-9b28-4660-9921-ca84d94e27c0,2,,,,3890563,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10483, 'name': 'Ørjan Håskjold Nyland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 8676, 'name': 'Danny Vieira da Costa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3221, 'name': 'Markus Suttner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 8394, 'name': 'Robert Bauer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 20485, 'name': 'Almog Cohen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 36}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 9113, 'name': 'Dario Lezcano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 37}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6748c597-dec8-4c9d-b435-d9fada0c0b0c,3,,,,3890563,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['4135c18e-b5a0-4841-9f5c-4f201bad6858'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4135c18e-b5a0-4841-9f5c-4f201bad6858,4,,,,3890563,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['6748c597-dec8-4c9d-b435-d9fada0c0b0c'],0,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0ff469bc-1994-4972-b001-a3e4a6d1e371,1571,,,,3890563,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Bayer Leverkusen,904,['4657b4ad-095b-458d-b55c-51afa3224d00'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4657b4ad-095b-458d-b55c-51afa3224d00,1572,,,,3890563,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Bayer Leverkusen,904,['0ff469bc-1994-4972-b001-a3e4a6d1e371'],0,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.623864,,,,,,,,,,,,,,338032a5-de46-4b74-a5c0-771573c72847,5,,,"[60.0, 40.0]",3890563,0,,,,,-1.5253731,,Right Foot,,,"[60.1, 37.8]",,Ground Pass,2.2022715,,,,Hakan Çalhanoğlu,7039.0,,,,,Kick Off,1,From Kick Off,Stefan Kießling,11394.0,Right Center Forward,2,Bayer Leverkusen,904,['79ccfb5b-3d71-4f00-8087-fd5c5779c41c'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.700,Pass,
,,,,,,,,,,,,,,,,,,0.923506,,,,,,,,,,,,,,e3d276d6-681e-4660-b186-d5157a13f20f,8,,,"[64.8, 31.3]",3890563,0,,,,,-2.4026725,,Right Foot,,,"[55.8, 23.1]",,Ground Pass,12.175385,,,,Kevin Kampl,8222.0,,,,,,1,From Kick Off,Hakan Çalhanoğlu,7039.0,Left Center Forward,2,Bayer Leverkusen,904,['13d1f007-7e58-4d4b-80d6-ee535289e067'],2,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:02.489,Pass,
,,,,,,,,,,,,,,,,,,2.164087,,,,,,,,,,,,,,4823b3e2-9838-48cd-86d1-6fde8e6099c2,12,,,"[54.3, 26.5]",3890563,0,,,,,2.1457644,,Right Foot,,,"[38.1, 51.5]",,Ground Pass,29.78993,,,,André Ramalho Silva,9363.0,,,,,,1,From Kick Off,Kevin Kampl,8222.0,Left Defensive Midfield,2,Bayer Leverkusen,904,"['b36f0ac2-419b-4358-af75-44c841c7102b', 'e00ea6b2-76fa-48c4-8512-449a09cf3ed7']",4,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:04.532,Pass,True
,,,,,,,,,,,,,,,,,,1.841929,,,,,,,,,,,,,,8f422a77-8241-4694-bf26-f962c237d731,15,,,"[40.9, 51.7]",3890563,0,,,,,-1.8167933,,Right Foot,,,"[35.1, 28.6]",,Ground Pass,23.81701,,,,Ömer Toprak,8573.0,,,,,,1,From Kick Off,André Ramalho Silva,9363.0,Right Center Back,2,Bayer Leverkusen,904,['659d8abf-fc77-4166-9472-96d2ed3305da'],6,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:06.781,Pass,
