bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.820668,,,,,,,,,,,710e5e08-1556-41d1-aa9b-b777c69bd632,1130,,,"[113.2, 21.3]",3890404,27,,,,,-1.7557099,,Left Foot,,,"[110.6, 7.4]",Ground Pass,,14.141075,,,,Caiuby Francisco da Silva,8303.0,,,,,,,1,From Goal Kick,Dong-Won Ji,12302.0,Center Attacking Midfield,57,Augsburg,172,"['18ec32af-49b3-48bd-b931-30fc9bc1cdfa', '69a0fb5b-7e30-40f6-a2fd-cbd5e3db8e9e']",0,,,,,,,,,,,,,,,,,,Augsburg,172,00:27:00.631,Pass,True
,,,,,,,,,,,,,,,,,0.536633,,,,,,,,,,,ada75294-f24d-4d3b-b86d-a43b3f85cd2c,1132,,,"[110.6, 7.4]",3890404,27,,,,,1.5092304,,Left Foot,,,"[111.5, 22.0]",High Pass,,14.627713,,Incomplete,,Alexander Esswein,8574.0,,,,,,,1,From Goal Kick,Caiuby Francisco da Silva,8303.0,Left Wing,57,Augsburg,172,"['040d130c-197a-4983-986a-9033f0b4d84f', '5f24567e-69de-477d-8233-d5d7f3789c45']",2,,,,,,,,,,,,,,,,,,Augsburg,172,00:27:02.452,Pass,
,,,,,,,,,,,,,,,,,0.647805,,,,,,,,,,,17067465-efd3-4735-bf5b-b899c69cd4c2,1142,,,"[92.7, 5.7]",3890404,27,,,,,-0.4266275,,Left Foot,,,"[99.3, 2.7]",Ground Pass,,7.2498274,,,,Caiuby Francisco da Silva,8303.0,,,,,,,1,From Goal Kick,Philipp Max,8319.0,Left Back,57,Augsburg,172,['7b1dc69a-18ca-48b5-b5c8-5e8ffb4e303d'],9,,,,,,,,,,,,,,,,,,Augsburg,172,00:27:09.166,Pass,
,,,,,,,,,,,,,,,,,0.167095,,,,,,,,,,,4c80961d-aa5d-4d0f-bbbb-3a4893c934f9,1146,,,"[98.9, 9.6]",3890404,27,,,,,1.2712643,,Right Foot,,,"[101.0, 16.4]",High Pass,,7.1168814,,Incomplete,,Dong-Won Ji,12302.0,,,,,,,1,From Goal Kick,Caiuby Francisco da Silva,8303.0,Left Wing,57,Augsburg,172,"['57ad3ed7-a072-49fd-80cc-8297b06e8b52', 'a3805a8e-a84d-438b-b95c-93b399f52cdc', 'f9fb9611-936f-42c9-ab5a-ad15188e8940']",12,,,,,,,,,,,,,,,,,,Augsburg,172,00:27:12.430,Pass,True
,,,,,,,,,,,,,,,,,2.274186,,,,,,,,,,,f710310c-ef1e-4cf7-949c-b0fe3f8a5fc6,1149,,,"[120.0, 80.0]",3890404,27,,,,,-1.7533871,,Right Foot,,,"[111.1, 31.8]",High Pass,,49.014793,,Incomplete,True,Caiuby Francisco da Silva,8303.0,,,True,Outswinging,,Corner,1,From Corner,Daniel Baier,8317.0,Left Defensive Midfield,58,Augsburg,172,"['acc87440-740d-4d46-a0e8-3217af0a4cec', 'ec7acf5c-63be-4f70-a58c-a2601cf5975d']",49,,,,,,,,,,,,,,,,,,Augsburg,172,00:27:49.044,Pass,
,,,,,,,,,,,,,,,,,1.979048,,,,,,,,,,,b6bdec97-74a7-403f-9de9-27070816bae5,1153,,,"[120.0, 0.1]",3890404,28,,,,,1.7558469,c50318ef-772f-4c3a-8d16-2f4773702ecb,Right Foot,,,"[112.4, 40.7]",High Pass,True,41.305206,,,,Raúl Marcelo Bobadilla,8807.0,True,,True,Inswinging,,Corner,1,From Corner,Daniel Baier,8317.0,Left Defensive Midfield,59,Augsburg,172,['2899e5e5-ac11-41f1-ba64-cc5240eb0a43'],24,,,,,,,,,,,,,,,,,,Augsburg,172,00:28:24.125,Pass,
,,,,,,,,,,,,,,,,,1.863741,,,,,,,,,,,d4c04045-ae08-4c27-b26b-dcaf70d0ff38,1157,,,"[7.0, 36.1]",3890404,28,,True,,,-1.2814888,,Right Foot,,,"[15.9, 6.2]",Ground Pass,,31.196474,,,,Lewis Harry Holtby,8891.0,,,,,,Goal Kick,1,From Goal Kick,René Adler,8560.0,Goalkeeper,60,Hamburger SV,171,['3c4ecfa5-c301-4000-8821-105cf0ab1ff6'],45,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:28:45.212,Pass,
,,,,,,,,,,,,,,,,,1.305083,,,,,,,,,,,a2df5766-fca4-4813-bc9a-3a3d0c00e14d,1159,,,"[28.9, 10.9]",3890404,28,,,,,1.8869289,,Left Foot,,,"[21.9, 32.3]",Ground Pass,,22.515772,,,,Emir Spahić,26791.0,,,,,,,1,From Goal Kick,Lewis Harry Holtby,8891.0,Left Defensive Midfield,60,Hamburger SV,171,['97f05bae-700c-42f5-86f5-c1e67d222de1'],49,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:28:49.768,Pass,
,,,,,,,,,,,,,,,,,2.985492,,,,,,,,,,,a48ea003-b899-4642-ad14-a1cd5d918872,1162,,,"[43.9, 39.1]",3890404,28,,,,,-0.4968876,,Right Foot,,,"[92.4, 12.8]",High Pass,,55.171913,,Incomplete,,Matthias Ostrzolek,8547.0,,,,,,,1,From Goal Kick,Emir Spahić,26791.0,Left Center Back,60,Hamburger SV,171,"['575617fa-01df-4a7a-bdc9-2f2205a74e62', 'f95fdc1b-33ed-4d29-9bff-9aae63dbc06e']",56,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:28:56.273,Pass,
,,,,,,,,,,,,,,,,,2.552246,,,,,,,,,,,575617fa-01df-4a7a-bdc9-2f2205a74e62,1164,,,"[27.7, 67.3]",3890404,28,,,,,-0.15902318,,Head,,,"[59.5, 62.2]",High Pass,,32.206367,,Incomplete,,Raúl Marcelo Bobadilla,8807.0,,,,,,Recovery,1,From Goal Kick,Paul Verhaegh,8237.0,Right Back,60,Hamburger SV,171,"['a48ea003-b899-4642-ad14-a1cd5d918872', 'db351178-96a8-4ecf-ace3-39e1b214de69', 'f938885d-67ee-4683-8398-b7e12b18da04']",59,,,,,,,,,,,,,,,,,,Augsburg,172,00:28:59.258,Pass,
