ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dc70b2de-91a2-4ef2-9c89-6b0b4026bad3,1,,,3890560,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 10435, 'name': 'Łukasz Załuska'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 9222, 'name': 'Fabian Holland'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 34}, {'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 22017, 'name': 'Felix Platte'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6442cdb3-676e-4515-a3aa-8773d47a06da,2,,,3890560,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 11398, 'name': 'Tobias Sippel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 8395, 'name': 'Håvard Nordtveit'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 11285, 'name': 'Ibrahima Traoré'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 8813, 'name': 'Patrick Herrmann'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 7}, {'player': {'id': 29245, 'name': 'Marvin Schulz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 8322, 'name': 'André Hahn'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5b62bbfe-6cbf-4621-bbd2-49cc086aac15,3,,,3890560,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['ec912357-5ccb-45c5-8bfd-0d13a5ff65ff'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ec912357-5ccb-45c5-8bfd-0d13a5ff65ff,4,,,3890560,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['5b62bbfe-6cbf-4621-bbd2-49cc086aac15'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5d13a4bf-a983-45e2-93cc-0a996d507646,1982,,,3890560,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Borussia Mönchengladbach,185,['a87aaf58-d643-44dc-b8a3-f3834a691289'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a87aaf58-d643-44dc-b8a3-f3834a691289,1983,,,3890560,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Borussia Mönchengladbach,185,['5d13a4bf-a983-45e2-93cc-0a996d507646'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.723909,,,,,,,,,,,,,e4e31f7d-78fc-443e-8bda-1001ef8e150a,5,,"[60.0, 40.0]",3890560,0,,,,-3.02386,,Left Foot,,,,"[50.7, 38.9]",,Ground Pass,,9.364828,,,,,Jérôme Gondorf,8388.0,,,,,Kick Off,1,From Kick Off,Mario Vrančić,13675.0,Center Attacking Midfield,2,Darmstadt 98,872,['79aaeff8-0874-46c9-8718-a2e0c8ced8e6'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.726,Pass,
,,,,,,,,,,,,,,,,,1.901892,,,,,,,,,,,,,fa7663dc-3540-47b0-999f-89d7f16be29c,8,,"[50.2, 38.7]",3890560,0,,,,1.608901,,Right Foot,,,,"[48.9, 72.8]",,Ground Pass,,34.12477,,,,,György Garics,20522.0,,,,,,1,From Kick Off,Jérôme Gondorf,8388.0,Left Defensive Midfield,2,Darmstadt 98,872,['178610a0-164a-46b6-a502-74d86d55b520'],2,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:02.937,Pass,
,,,,,,,,,,,,,,,,,2.513227,,,,,,,,,,,,,1ebdd27a-40c4-4fea-aff6-421e9b6979eb,11,,"[48.9, 72.8]",3890560,0,,,,-0.48459274,,Right Foot,,,,"[84.8, 53.9]",,High Pass,,40.57117,,,,,Mario Vrančić,13675.0,,,,,,1,From Kick Off,György Garics,20522.0,Right Back,2,Darmstadt 98,872,['d3844c1f-50f8-4a84-8267-8799f35b98b8'],6,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:06.520,Pass,
,,,,,,,,,,,,,,,,,1.118314,,,,,,,,,,,,,96efa53c-e03b-448e-96a2-bce74cc838d1,14,,"[92.0, 63.7]",3890560,0,,,,0.8938815,,Right Foot,,,,"[101.0, 74.9]",,Ground Pass,,14.36802,,,,,Marcel Heller,9401.0,,,,,,1,From Kick Off,Mario Vrančić,13675.0,Center Attacking Midfield,2,Darmstadt 98,872,['bb74df80-7459-4494-acf0-f9fd587c844a'],11,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:11.650,Pass,
