50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[92.4, 38.0]",,,,,,,,,,,0.93421,,,,,,,,,,,,88406fc2-c09d-4221-96af-a678933775f2,434,,,"[89.9, 39.3]",3890342,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Josuha Guilavogui,8230.0,Right Defensive Midfield,20,Wolfsburg,179,"['9aa2f65b-bacc-4103-be43-919c00641f7f', 'c589a4d8-79d6-41f8-a75c-d17e277a8624']",53,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:09:53.779,Carry,
,,,,,"[31.6, 34.0]",,,,,,,,,,,0.55477,,,,,,,,,,,,674209ce-999a-4884-b7c5-dd0b00b912c9,442,,,"[32.5, 31.1]",3890342,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Back,22,Wolfsburg,179,"['f3cbfcd4-4859-458a-bfe9-931791ac5468', 'f7c9cb10-4cb7-4681-a8b8-41f25b5c23ae']",14,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:10:14.935,Carry,
,,,,,"[33.5, 69.3]",,,,,,,,,,,0.03746,,,,,,,,,,,,72c87d54-e003-4dfd-9022-fd93547a7370,445,,,"[33.5, 69.3]",3890342,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Christian Träsch,23266.0,Right Back,22,Wolfsburg,179,"['2bce55b0-09a1-4ed3-b927-be279b1700a2', 'c2c9daf3-1900-49c1-a8f8-1c289cedeee6']",17,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:10:17.310,Carry,
,,,,,"[45.5, 76.3]",,,,,,,,,,,0.305607,,,,,,,,,,,,4cb30c8b-37aa-4aab-ab59-11968d18d8a8,448,,,"[45.5, 76.3]",3890342,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adelino André Vieira Freitas,10790.0,Right Midfield,22,Wolfsburg,179,"['261b2e55-91f4-4e58-aa7c-856aeb2e6157', '8dda8271-2373-4e39-a88f-368e5aad3763']",19,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:10:19.151,Carry,
,,,,,"[33.1, 76.1]",,,,,,,,,,,1.983174,,,,,,,,,,,,bdaf248a-b576-498e-b062-ae1cb9284502,451,,,"[33.1, 76.1]",3890342,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Christian Träsch,23266.0,Right Back,22,Wolfsburg,179,"['204e649b-dcde-474d-8d1f-cfc2e0c5c8e8', '5f86f637-3196-4f6c-87c3-31691aad544f']",20,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:10:20.587,Carry,
,,,,,"[53.4, 38.2]",,,,,,,,,,,1.42416,,,,,,,,,,,,e87ff3dd-277f-42c1-a670-aac1212f155e,458,,,"[52.8, 30.2]",3890342,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luiz Gustavo Dias,3545.0,Left Defensive Midfield,22,Wolfsburg,179,"['8ef2ac50-18be-4877-ad59-ecb892b6e4d5', 'b0c88f4b-554d-4c92-87f5-83a4f6d97e67']",31,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:10:31.807,Carry,
,,,,,"[63.8, 73.7]",,,,,,,,,,,2.263889,,,,,,,,,,,,922c3547-713e-4c4f-8a95-6a44ccdadc8e,461,,,"[51.1, 74.4]",3890342,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Christian Träsch,23266.0,Right Back,22,Wolfsburg,179,"['66c5da1f-fef0-497b-93c7-4c2ef1bda801', 'c49c7437-34c1-4100-805a-287032bf3f53']",35,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:10:35.414,Carry,
,,,,,"[80.7, 76.9]",,,,,,,,,,,0.840192,,,,,,,,,,,,9d5a1e02-8610-441a-bcdc-dd3e3f234a16,464,,,"[80.7, 76.9]",3890342,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adelino André Vieira Freitas,10790.0,Right Midfield,22,Wolfsburg,179,"['bb7a7c47-8bbe-43ae-aa6e-8d34dd073dd1', 'e894133f-5066-4284-bd4b-88bd33e4d8b9']",38,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:10:38.947,Carry,
,,,,,"[116.5, 76.1]",,,,,,,,,,,5.625694,,,,,,,,,,,,de239916-8a23-41b0-8737-82ed9c8846e3,467,,,"[93.8, 68.0]",3890342,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Josuha Guilavogui,8230.0,Right Defensive Midfield,22,Wolfsburg,179,"['96366afc-1d55-47e8-8224-42ed18565429', 'afcb0a9c-0b9b-4914-9985-01f092e3f0d6', 'c8865d71-a43b-4a08-bc62-9f494e8c3f45']",41,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:10:41.167,Carry,True
,,,,,"[2.3, 5.8]",,,,,,,,,,,0.588439,,,,,,,,,,,,e3da9f6b-ee6f-4c10-b564-84dfccc7d784,471,,,"[3.6, 4.0]",3890342,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luca Caldirola,9404.0,Left Center Back,23,Darmstadt 98,872,"['0a535808-16e7-4b42-ba2e-009ec2be3c37', '6d8a728d-d732-4fde-b28d-15f7da1d2856', 'cb7cd6eb-868d-4d62-95c7-994d41bbdd80']",46,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:10:46.793,Carry,True
,,,,,"[73.8, 9.9]",,,,,,,,,,,0.12824,,,,,,,,,,,,b8e6784b-11d6-46bf-9e79-29b1e7524503,481,,,"[74.9, 10.0]",3890342,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sandro Wagner,9723.0,Center Forward,24,Darmstadt 98,872,"['a087861b-4a67-451e-9dfa-2946086ea45c', 'b0cd67c9-9f28-4085-9dea-e4268444e756']",20,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:11:20.380,Carry,
,,,,,"[44.0, 67.9]",,,,,,,,,,,1.093479,,,,,,,,,,,,4d2dda57-a673-45d5-a154-1dcf2e253d49,485,,,"[45.5, 63.6]",3890342,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,25,Wolfsburg,179,"['41538f8d-9218-4f34-affa-3726ab68caa2', '510d57f5-5ceb-4501-9a23-6b77f7a62f37', '6135e189-09fb-4e76-8350-ec9374492655', '932e6dd9-46cc-4af8-b80f-e431c31af2c4']",21,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:11:21.913,Carry,True
,,,,,"[57.2, 16.1]",,,,,,,,,,,2.825269,,,,,,,,,,,,60166557-47a8-41fa-b1d0-f9d3e02d1c45,490,,,"[45.8, 24.8]",3890342,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ricardo Iván Rodríguez Araya,5544.0,Left Back,26,Wolfsburg,179,"['70a2b730-acf2-41bd-9a4e-5992e00e206b', 'e9b62690-c62a-44e1-922c-ccb2cafde7eb']",27,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:11:27.982,Carry,
