50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,db88ed75-3457-466e-9b87-0d24ce3f1adc,1,,,3890513,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 23266, 'name': 'Christian Träsch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 40469, 'name': 'Marcel Schäfer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 25152, 'name': 'Bruno Henrique Pinto'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 10594, 'name': 'Bas Dost'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bddeed31-a7e2-4cdf-a32f-082f3bce3cee,2,,,3890513,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 8549, 'name': 'Giulio Donati'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 9098, 'name': 'Christian Clemens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 8555, 'name': 'Pablo Ezequiel De Blasis'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 32}, {'player': {'id': 8817, 'name': 'Jhon Andrés Córdoba Copete'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",FSV Mainz 05,177,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e693d624-dd03-414e-bd5f-17b04089cb0e,3,,,3890513,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['22e4998a-69e7-4868-9a94-89bd0d3608be'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,22e4998a-69e7-4868-9a94-89bd0d3608be,4,,,3890513,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['e693d624-dd03-414e-bd5f-17b04089cb0e'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,00985b1e-1b03-45f8-88f4-3001bdf96094,1772,,,3890513,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Wolfsburg,179,['dd1feaf4-3822-4661-b18b-b128beb80657'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dd1feaf4-3822-4661-b18b-b128beb80657,1773,,,3890513,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Wolfsburg,179,['00985b1e-1b03-45f8-88f4-3001bdf96094'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.79996,,,,,,,,,,,,,,6c0bfb9f-0f62-446a-b74b-85f81251c017,5,,"[60.0, 40.0]",3890513,0,,,,,-2.634494,,Right Foot,,,"[59.1, 39.5]",,Ground Pass,,1.0295631,,,,André Schürrle,10281.0,,,,,Kick Off,1,From Kick Off,Bas Dost,10594.0,Center Forward,2,Wolfsburg,179,['5b7bb6d0-4e6d-42a7-834d-769acc512cd7'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.129,Pass,
,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,06997b3b-1c0f-4acc-9ef8-2317fc3fd2f2,8,,"[59.3, 42.0]",3890513,0,,,,,-2.826105,,Right Foot,,,"[44.9, 37.3]",,Ground Pass,,15.147607,,,,Maximilian Arnold,8235.0,,,,,,1,From Kick Off,André Schürrle,10281.0,Left Wing,2,Wolfsburg,179,['5f8f6972-dfd2-4ab2-baa8-6eb77a50e6e7'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.969,Pass,
,,,,,,,,,,,,,,,,2.621393,,,,,,,,,,,,,,103148cb-5679-46ca-beff-d38e767b9da8,11,,"[45.9, 35.3]",3890513,0,,,,,0.61211956,,Left Foot,,,"[89.2, 65.7]",,High Pass,,52.906048,,,,Bruno Henrique Pinto,25152.0,,,,,,1,From Kick Off,Maximilian Arnold,8235.0,Left Center Midfield,2,Wolfsburg,179,['254a10b9-c5a1-4bad-9cfb-9f2e1ede20c6'],3,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:03.333,Pass,
,,,,,,,,,,,,,,,,4.505927,,,,,,,,,,,,,,fc929fbb-2d61-44d5-a1dc-011c0dd2277e,13,,"[89.4, 65.7]",3890513,0,,,,True,0.3249729,,,,,"[117.3, 75.1]",,High Pass,,29.440958,,Incomplete,,André Schürrle,10281.0,,,,,,1,From Kick Off,Bruno Henrique Pinto,25152.0,Right Wing,2,Wolfsburg,179,"['8c556f4a-688c-427b-b10d-6ce0d5554552', 'c567a810-47a4-4999-92f8-e41b89a611f2', 'd6413cc7-eb7b-4712-a5af-285c7c3c3e92']",5,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:05.955,Pass,True
