50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.312212,,,,,,,,,,,,,8b86d0ed-e30e-4c61-a512-b63ebd795480,16,,"[69.5, 76.7]",3890405,0,,,,,-0.1746722,,Right Foot,,,,"[74.6, 75.8]",,High Pass,,5.178803,Incomplete,,Anthony Ujah,12624.0,,,,,,1,From Kick Off,Levin Mete Öztunali,8554.0,Right Midfield,2,Werder Bremen,176,"['1c063c69-cf5a-48b1-861d-22bad4c0585e', 'aef00a2b-1c1a-4b36-9bb4-3504b7cff24d']",8,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:08.958,Pass,
,,,,,,,,,,,,,,,,,,1.272934,,,,,,,,,,,,,57c017bf-add5-47ba-88d7-14153b7ccb52,19,,"[79.6, 80.0]",3890405,0,,,,,-0.97704667,,,,,,"[90.4, 64.0]",,Low Pass,,19.303886,,,Claudio Miguel Pizarro Bossio,11132.0,,,,,Throw-in,1,From Throw In,Theodor Gebre Selassie,8396.0,Right Back,3,Werder Bremen,176,['92385acd-86e4-40f6-b45c-30d695fa96ce'],18,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:18.451,Pass,
,,,,,,,,,,,,,,,,,,0.861229,,,,,,,,,,,,,6e0ee204-5e72-4789-a5aa-f39f6dfd2542,22,,"[90.4, 64.0]",3890405,0,,,,,-3.1163878,,Right Foot,,,,"[78.5, 63.7]",,Ground Pass,,11.903781,,,Clemens Fritz,20010.0,,,,,,1,From Throw In,Claudio Miguel Pizarro Bossio,11132.0,Left Center Forward,3,Werder Bremen,176,['da658e81-3c94-4139-ada1-d056bdb36c40'],19,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:19.764,Pass,
,,,,,,,,,,,,,,,,,,1.410027,,,,,,,,,,,,,7185a502-f24e-433a-80d0-3902974bf52c,26,,"[80.0, 56.1]",3890405,0,,,,,-1.9586605,,Right Foot,,,,"[69.5, 30.4]",,Ground Pass,,27.762205,,,Janek Sternberg,40479.0,,,,,,1,From Throw In,Clemens Fritz,20010.0,Right Defensive Midfield,3,Werder Bremen,176,['ca6de565-7501-49f0-b953-a3782b0187f7'],21,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:21.895,Pass,
,,,,,,,,,,,,,,,,,,1.757254,,,,,,,,,,,,,49e04572-0c96-43e3-af47-2f3793405ccd,29,,"[69.8, 27.6]",3890405,0,,,,,0.77344656,,Left Foot,,,,"[95.2, 52.4]",,High Pass,,35.499294,Pass Offside,,Anthony Ujah,12624.0,,,,,,1,From Throw In,Janek Sternberg,40479.0,Left Back,3,Werder Bremen,176,['25d75677-e071-4382-ae83-e09742128fb7'],24,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:24.826,Pass,
,,,,,,,,,,,,,,,,,,2.004397,,,,,,,,,,,,,f83886a5-fa27-4eb6-b98d-5c41fed04b91,31,,"[24.4, 25.5]",3890405,0,,True,,,-0.078834355,,Right Foot,,,,"[76.3, 21.4]",,High Pass,,52.061695,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Lukáš Hrádecký,8667.0,Goalkeeper,4,Eintracht Frankfurt,184,['5588ad54-d077-45df-b4f5-933ea158e710'],38,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:38.353,Pass,
,,,,,,,,,,,,,,,,,,0.989606,,,,,,,,,,,,,5588ad54-d077-45df-b4f5-933ea158e710,32,,"[43.8, 58.7]",3890405,0,,True,,,-0.50638473,,Head,,,,"[55.7, 52.1]",,High Pass,,13.607718,,,Philipp Bargfrede,8390.0,,,,,Recovery,1,Regular Play,Assani Lukimya-Mulongoti,51388.0,Right Center Back,5,Werder Bremen,176,"['ceca74bc-aad1-4605-8440-482b07a4b85e', 'f83886a5-fa27-4eb6-b98d-5c41fed04b91']",40,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:40.357,Pass,
,,,,,,,,,,,,,,,,,,0.515744,,,,,,,,,,,,,9b15f8e2-1a6d-4b42-b6f0-db7a53a10869,34,,"[55.7, 52.1]",3890405,0,,,,,-0.11379201,,Head,,,,"[62.7, 51.3]",,Low Pass,,7.045566,Incomplete,,,,,,,,,1,Regular Play,Philipp Bargfrede,8390.0,Left Defensive Midfield,5,Werder Bremen,176,['9a753af6-1e21-40b7-8097-391f19ead380'],41,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:41.405,Pass,
,,,,,,,,,,,,,,,,,,1.519914,,,,,,,,,,,,,ac53a84f-03d7-4b50-b73f-cde67ef1149e,37,,"[69.5, 50.0]",3890405,0,,,,,1.3538567,,Right Foot,,,,"[74.9, 74.5]",,Ground Pass,,25.088045,,,Aleksandar Ignjovski,9134.0,,,,,,1,Regular Play,Makoto Hasebe,5681.0,Left Defensive Midfield,6,Eintracht Frankfurt,184,['889f28cd-6dd0-4973-b892-138e8e03f494'],46,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:46.662,Pass,
,,,,,,,,,,,,,,,,,,0.416043,,,,,,,,,,,,,9decb061-d25f-4178-bd7a-3f47baad2637,41,,"[76.9, 76.8]",3890405,0,,,,,0.16910122,,Right Foot,,,,"[85.1, 78.2]",,Ground Pass,,8.318654,,,Stefan Aigner,21156.0,,,,,,1,Regular Play,Aleksandar Ignjovski,9134.0,Right Back,6,Eintracht Frankfurt,184,"['7a4e05fe-c4d1-45df-bc19-5ff8179eb109', 'b52aa3bc-ee4d-452f-b054-385db1cd3dfc']",49,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:49.494,Pass,True
