50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7f746c65-b54d-476f-951f-21c93967a19e,1,,,3890429,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 4600, 'name': 'Diego Orlando Benaglio'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24919, 'name': 'Sebastian Jung'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 34}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 3186, 'name': 'Julian Draxler'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4614c234-0e0a-49c1-9a34-6f499f7cf33a,2,,,3890429,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 11286, 'name': 'Dominik Maroh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8900, 'name': 'Mërgim Mavraj'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 7993, 'name': 'Filip Mladenović'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8822, 'name': 'Simon Zoller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 8231, 'name': 'Yannick Gerhardt'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 31}, {'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a81170bb-6bcb-4c4a-a2bd-dba59ce09343,3,,,3890429,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['49a96e83-08e0-4df2-b0e8-6f11b3946803'],0,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,49a96e83-08e0-4df2-b0e8-6f11b3946803,4,,,3890429,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['a81170bb-6bcb-4c4a-a2bd-dba59ce09343'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,020f65cb-ef08-4304-9b9b-ef79f6bc3239,1735,,,3890429,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,96,Wolfsburg,179,['f6864eb1-2a2c-43aa-97a5-f7adfb71db23'],0,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f6864eb1-2a2c-43aa-97a5-f7adfb71db23,1736,,,3890429,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,96,Wolfsburg,179,['020f65cb-ef08-4304-9b9b-ef79f6bc3239'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.965349,,,,,,,,,,,,577edcfe-b2ac-4f3b-92ac-817675ad1917,5,,"[60.0, 40.0]",3890429,0,,,,,0.2153577,,Right Foot,,,"[63.2, 40.7]",,Ground Pass,3.275668,,,Yannick Gerhardt,8231.0,,,,,Kick Off,1,From Kick Off,Anthony Modeste,23486.0,Center Forward,2,FC Köln,186,['54a1191e-f1ad-468a-a77c-7d4ed59d7f94'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.155,Pass,
,,,,,,,,,,,,,,,,0.731908,,,,,,,,,,,,e6fca611-de0b-497e-a569-6a6bb2c87e46,7,,"[62.4, 41.3]",3890429,0,,,,,3.0445533,,Left Foot,,,"[51.1, 42.4]",,Ground Pass,11.353414,,,Matthias Lehmann,8827.0,,,,,,1,From Kick Off,Yannick Gerhardt,8231.0,Center Attacking Midfield,2,FC Köln,186,['f887209f-c16d-4932-95c3-98d67860ece8'],1,,,,,,,,,,,,,,,,,FC Köln,186,00:00:01.120,Pass,
,,,,,,,,,,,,,,,,0.780352,,,,,,,,,,,,5ef5b02a-3c6c-4bea-911b-8860604fb4dd,11,,"[50.3, 42.1]",3890429,0,,,,,-2.3811893,,Right Foot,,,"[42.1, 34.3]",,Ground Pass,11.317244,,,Jonas Hector,6040.0,,,,,,1,From Kick Off,Matthias Lehmann,8827.0,Left Defensive Midfield,2,FC Köln,186,"['1c1da627-68ef-448e-917c-39341a664f92', 'cb166169-3012-4181-89b5-79e689041e78']",2,,,,,,,,,,,,,,,,,FC Köln,186,00:00:02.458,Pass,True
,,,,,,,,,,,,,,,,0.846092,,,,,,,,,,,,96b175f1-7697-4b09-aca9-4c1d5e1d3ed4,14,,"[42.1, 34.3]",3890429,0,,,,,0.9272952,,Left Foot,,,"[47.5, 41.5]",,Ground Pass,9.0,,,Matthias Lehmann,8827.0,,,,,,1,From Kick Off,Jonas Hector,6040.0,Right Defensive Midfield,2,FC Köln,186,['e623e427-3db2-4e2c-91dc-74d0c71da56a'],4,,,,,,,,,,,,,,,,,FC Köln,186,00:00:04.397,Pass,
