50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0061226c-fed8-4791-914b-df673c65b47e,1,,,3890315,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 51388, 'name': 'Assani Lukimya-Mulongoti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 9178, 'name': 'Felix Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 8554, 'name': 'Levin Mete Öztunali'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 11132, 'name': 'Claudio Miguel Pizarro Bossio'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,96c87622-3074-4896-a1cf-65700b2130c1,2,,,3890315,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15581, 'name': 'Bernd Leno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8549, 'name': 'Giulio Donati'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8313, 'name': 'Kyriakos Papadopoulos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20415, 'name': 'Sebastian Boenisch'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8969, 'name': 'Lars Bender'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8805, 'name': 'Christoph Kramer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8219, 'name': 'Admir Mehmedi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 5555, 'name': 'Julian Brandt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 8213, 'name': 'Karim Bellarabi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 38}, {'player': {'id': 11394, 'name': 'Stefan Kießling'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a103e2de-20ad-41f7-813d-ad57eb66f16e,3,,,3890315,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['5b14c114-5ce8-4bd0-bb99-0062a947202a'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5b14c114-5ce8-4bd0-bb99-0062a947202a,4,,,3890315,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['a103e2de-20ad-41f7-813d-ad57eb66f16e'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3ab9f4bd-3c81-4bb6-98a4-66e3b9ad045a,1688,,,3890315,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Werder Bremen,176,['b7c914d4-e84b-4809-9b67-7392fd948abe'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b7c914d4-e84b-4809-9b67-7392fd948abe,1689,,,3890315,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Werder Bremen,176,['3ab9f4bd-3c81-4bb6-98a4-66e3b9ad045a'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.240934,,,,,,,,,,,,,600e4d22-2442-45de-b0e7-6502c5037e01,5,,"[61.0, 40.1]",3890315,0,,,,,1.9862884,,Right Foot,,,"[59.5, 43.5]",,Ground Pass,,3.7161808,,,,Anthony Ujah,12624.0,,,,,Kick Off,1,From Kick Off,Claudio Miguel Pizarro Bossio,11132.0,Left Center Forward,2,Werder Bremen,176,['bac96f71-7044-4c63-8ae0-111409a8d721'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.558,Pass,
,,,,,,,,,,,,,,,,,,1.304885,,,,,,,,,,,,,39c838d8-d29a-4b02-b614-ee42b4aa2ec9,8,,"[60.1, 42.7]",3890315,0,,,,,-2.7233684,,Right Foot,,,"[51.1, 38.7]",,Ground Pass,,9.848858,,,,Zlatko Junuzović,8762.0,,,,,,1,From Kick Off,Anthony Ujah,12624.0,Right Center Forward,2,Werder Bremen,176,['a249dbf2-fde8-4620-b1a3-f6b470df12b5'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.919,Pass,
,,,,,,,,,,,,,,,,,,2.030622,,,,,,,,,,,,,7b712061-1d77-49b7-9a67-5726220629bd,11,,"[44.9, 31.1]",3890315,0,,,,,2.0856414,,Right Foot,,,"[30.7, 56.2]",,Ground Pass,,28.838343,,,,Assani Lukimya-Mulongoti,51388.0,,,,,,1,From Kick Off,Zlatko Junuzović,8762.0,Center Attacking Midfield,2,Werder Bremen,176,['d71610ac-1ed8-41e9-a401-59d37526c4b2'],3,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:03.199,Pass,
,,,,,,,,,,,,,,,,,,2.603006,,,,,,,,,,,,,30474f41-7e1f-4131-b0d6-298f1bc571d9,14,,"[29.5, 65.4]",3890315,0,,,,,-0.09306373,,Right Foot,,,"[82.0, 60.5]",,High Pass,,52.728172,,Incomplete,,Claudio Miguel Pizarro Bossio,11132.0,,,,,,1,From Kick Off,Assani Lukimya-Mulongoti,51388.0,Right Center Back,2,Werder Bremen,176,"['71e0f34b-7184-4f08-bc58-49a6eda76cce', 'f11565c9-e7dd-4a63-b814-b2380ba9fad3']",7,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:07.102,Pass,
