50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,6c478b1c-7ab7-4533-9fd8-6780464b6cbd,1,,,,3890319,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 4600, 'name': 'Diego Orlando Benaglio'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23266, 'name': 'Christian Träsch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 34}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8521, 'name': 'Daniel Caligiuri'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 3186, 'name': 'Julian Draxler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 10594, 'name': 'Bas Dost'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,fe90852f-6320-4038-8720-865d43250e36,2,,,,3890319,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 13126, 'name': 'Miiko Martín Albornoz Inola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8543, 'name': 'Manuel Schmiedebach'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 400613, 'name': 'Leon Andreasen'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 2}, {'player': {'id': 8541, 'name': 'Kenan Karaman'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 26}, {'player': {'id': 38524, 'name': 'Hiroshi Kiyotake'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 11845, 'name': 'Artur Sobiech'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,0187d9b3-0e4a-4bba-9a43-1e34daa2e2f2,3,,,,3890319,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['c492c9a8-6e98-424d-968e-7980e5ebd73d'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,c492c9a8-6e98-424d-968e-7980e5ebd73d,4,,,,3890319,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['0187d9b3-0e4a-4bba-9a43-1e34daa2e2f2'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,2b4c9032-b9ad-425a-a474-e01af86d11b5,1967,,,,3890319,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Wolfsburg,179,['55faf5a4-19a2-41f1-9af2-f019861bc4a3'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,55faf5a4-19a2-41f1-9af2-f019861bc4a3,1968,,,,3890319,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Wolfsburg,179,['2b4c9032-b9ad-425a-a474-e01af86d11b5'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.734221,,,,,,,,,,,,ce42cce0-68d0-4669-9d7b-7ace3f528721,5,,,"[60.0, 40.0]",3890319,0,,,,1.6879051,,Right Foot,,,"[59.8, 41.7]",,Ground Pass,1.7117243,,,Hiroshi Kiyotake,38524.0,,,,,Kick Off,1,From Kick Off,Artur Sobiech,11845.0,Center Forward,2,Hannover 96,178,['87a9282c-c55f-4e85-a765-7f414ad1136a'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.477,Pass,
,,,,,,,,,,,,,1.118679,,,,,,,,,,,,1853c64b-35ef-476b-a8e0-70ed312459f0,7,,,"[59.9, 40.8]",3890319,0,,,,-3.0024967,,Right Foot,,,"[44.9, 38.7]",,Ground Pass,15.146287,,,Manuel Schmiedebach,8543.0,,,,,,1,From Kick Off,Hiroshi Kiyotake,38524.0,Center Attacking Midfield,2,Hannover 96,178,['9ea1e270-c71a-445c-a132-7120e35c420d'],1,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:01.212,Pass,
,,,,,,,,,,,,,5.909868,,,,,,,,,,,,a5b3c19b-93c5-490f-b9ee-ba7933db6519,10,,,"[42.7, 38.9]",3890319,0,,,,0.34866711,,Right Foot,,,"[120.0, 67.0]",,High Pass,82.249016,Out,,Leon Andreasen,400613.0,,,,,,1,From Kick Off,Manuel Schmiedebach,8543.0,Right Defensive Midfield,2,Hannover 96,178,['25da3185-18a4-4c83-b984-86a537843c3d'],4,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:04.095,Pass,
,,,,,,,,,,,,,1.990977,,,,,,,,,,,,0734e2ad-f548-4fc6-9ffc-7f820f202cc8,12,,,"[7.0, 36.1]",3890319,0,,,,-1.7446336,,Right Foot,,,"[3.4, 15.6]",,Ground Pass,20.813698,,,Dante Bonfim da Costa Santos,3197.0,,,,,Goal Kick,1,From Goal Kick,Diego Orlando Benaglio,4600.0,Goalkeeper,3,Wolfsburg,179,['cd1e27d6-86f4-480d-9dcd-6d19e815b386'],21,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:21.246,Pass,
,,,,,,,,,,,,,1.794463,,,,,,,,,,,,4abd5d02-f32c-42f3-947b-8844fa19a42b,14,,,"[3.9, 15.6]",3890319,0,,,,1.5422326,,Left Foot,,,"[4.4, 33.1]",,Ground Pass,17.507141,,,Diego Orlando Benaglio,4600.0,,,,,,1,From Goal Kick,Dante Bonfim da Costa Santos,3197.0,Left Center Back,3,Wolfsburg,179,['28fdc3f7-e5b0-4c9b-be3f-79d8e1a65ae1'],23,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:23.237,Pass,
,,,,,,,,,,,,,1.696804,,,,,,,,,,,,40b0d0b3-8649-40f4-b4b5-e9c09b5b3399,18,,,"[5.2, 43.4]",3890319,0,,,,1.4418856,,Right Foot,,,"[8.0, 65.0]",,Ground Pass,21.780725,,,Ronaldo Aparecido Rodrigues,8516.0,,,,,,1,From Goal Kick,Diego Orlando Benaglio,4600.0,Goalkeeper,3,Wolfsburg,179,"['82cfe4d6-8627-492a-b922-134e18890e8c', 'd9e2a6f5-250f-4b2d-bb36-9c221618b5a2']",26,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:26.940,Pass,True
,,,,,,,,,,,,,2.127536,,,,,,,,,,,,ce21c9b0-f31e-4ef3-af32-bc6240ceac7b,22,,,"[9.4, 67.1]",3890319,0,,,,0.07626376,,Right Foot,,,"[39.5, 69.4]",,High Pass,30.187746,Incomplete,,Daniel Caligiuri,8521.0,,,,,,1,From Goal Kick,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,3,Wolfsburg,179,"['79635a31-296a-42bb-a49c-7ba525704a38', 'c31ee661-6663-4d7d-8ca7-9528c8783684', 'e9f8c164-27f6-4f7c-91cd-cc685ea57e30']",29,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:29.714,Pass,True
,,,,,,,,,,,,,0.485857,,,,,,,,,,,,e9f8c164-27f6-4f7c-91cd-cc685ea57e30,24,,,"[80.6, 10.7]",3890319,0,,,,0.57871497,,Right Foot,,,"[88.1, 15.6]",,Ground Pass,8.958795,,,Manuel Schmiedebach,8543.0,,,,,Recovery,1,From Goal Kick,Miiko Martín Albornoz Inola,13126.0,Left Back,3,Wolfsburg,179,"['af452818-89d3-4146-8bdb-99b38c73c290', 'ce21c9b0-f31e-4ef3-af32-bc6240ceac7b']",31,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:31.841,Pass,
,,,,,,,,,,,,,1.666502,,,,,,,,,,,,ef70d9f4-c1e5-415e-816c-87e4ad043357,28,,,"[27.2, 69.7]",3890319,0,,,,-0.9851522,,Right Foot,,,"[33.7, 59.9]",,Ground Pass,11.759677,,,Josuha Guilavogui,8230.0,,,,,Recovery,1,From Goal Kick,Christian Träsch,23266.0,Right Back,3,Wolfsburg,179,['4e20ded7-02ae-41db-b6c7-38711347142c'],33,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:33.332,Pass,
,,,,,,,,,,,,,2.097716,,,,,,,,,,,,81e8a99f-04e4-4fb4-8211-eb1d392649eb,32,,,"[33.8, 54.7]",3890319,0,,,,-1.651503,,Right Foot,,,"[31.6, 27.5]",,Ground Pass,27.288826,,,Ricardo Iván Rodríguez Araya,5544.0,,,,,,1,From Goal Kick,Josuha Guilavogui,8230.0,Center Defensive Midfield,3,Wolfsburg,179,['ef15680c-54b2-4b2d-80d7-88d833ad5cc5'],35,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:35.641,Pass,
,,,,,,,,,,,,,2.602205,,,,,,,,,,,,18f9c6f0-1ea3-4f3d-a1b8-647f13f92191,35,,,"[33.3, 24.5]",3890319,0,,,,-0.51325226,,Right Foot,,,"[60.8, 9.0]",,Ground Pass,31.567389,,,André Schürrle,10281.0,,,,,,1,From Goal Kick,Ricardo Iván Rodríguez Araya,5544.0,Left Back,3,Wolfsburg,179,['3125f5b4-1cc3-4a8d-a2ac-790562d6282e'],38,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:38.003,Pass,
,,,,,,,,,,,,,1.948319,,,,,,,,,,,,ab57df14-dbae-4b59-ba5c-7211308560d2,38,,,"[76.7, 9.7]",3890319,0,,,,2.4929502,,Right Foot,,,"[51.9, 28.5]",,Ground Pass,31.12041,,,Dante Bonfim da Costa Santos,3197.0,,,,,,1,From Goal Kick,André Schürrle,10281.0,Left Midfield,3,Wolfsburg,179,['b5259adc-a84d-41d8-81c2-479f85c48837'],44,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:44.674,Pass,
,,,,,,,,,,,,,1.517757,,,,,,,,,,,,b387384a-a505-423a-a4a5-2129681cb382,41,,,"[52.8, 30.6]",3890319,0,,,,1.4974587,,Left Foot,,,"[54.6, 55.1]",,Ground Pass,24.566034,,,Ronaldo Aparecido Rodrigues,8516.0,,,,,,1,From Goal Kick,Dante Bonfim da Costa Santos,3197.0,Left Center Back,3,Wolfsburg,179,['36f1673c-3ccd-454d-9161-ad59c4ec1321'],47,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:47.434,Pass,
,,,,,,,,,,,,,2.100703,,,,,,,,,,,,2adbcc42-0a85-4503-bf5e-f1ee676c0c8e,44,,,"[56.6, 57.9]",3890319,0,,,,1.2952648,,Right Foot,,,"[62.0, 77.0]",,Ground Pass,19.848677,,,Christian Träsch,23266.0,,,,,,1,From Goal Kick,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,3,Wolfsburg,179,['cc525389-11a7-479e-a4a2-9f662dde7609'],49,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:49.802,Pass,
,,,,,,,,,,,,,3.130572,,,,,,,,,,,,2372e47f-004c-473e-9bf6-493c4aeb6827,48,,,"[75.5, 65.3]",3890319,0,,,,-1.5970529,,Right Foot,,,"[74.2, 15.8]",,High Pass,49.517067,,,André Schürrle,10281.0,,True,,,,1,From Goal Kick,Christian Träsch,23266.0,Right Back,3,Wolfsburg,179,"['00667a97-f93f-4e30-bb2d-8ad34e4d487d', 'a074b86c-fd8f-4d36-ac76-70d056975c37']",55,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:55.687,Pass,True
,,,,,,,,,,,,,2.318661,,,,,,,,,,,,ed7d62b0-f6d1-495a-8fde-83b51bdaa2cb,51,,,"[93.6, 18.2]",3890319,1,,,,1.1817987,fb323ae9-27c6-4b82-b157-c1bef26a060f,Left Foot,,,"[107.7, 52.6]",,High Pass,37.177547,,,Daniel Caligiuri,8521.0,True,,,,,1,From Goal Kick,André Schürrle,10281.0,Left Midfield,3,Wolfsburg,179,['03fd4cd9-2551-4fa3-9f4e-e9eb71fa83c7'],2,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:01:02.309,Pass,
,,,,,,,,,,,,,1.727472,,,,,,,,,,,,963c33d0-23ab-4d4b-8be6-2df316520ea7,56,,,"[13.0, 42.9]",3890319,1,,,,1.4221044,,Keeper Arm,,,"[16.7, 67.6]",,Ground Pass,24.975588,,,Marcelo Antônio Guedes Filho,3164.0,,,,,,1,From Keeper,Ron-Robert Zieler,8947.0,Goalkeeper,5,Hannover 96,178,['3742a134-3deb-4a16-81ae-f55316659c35'],14,,,,,,,,,,,,,,,,,,Hannover 96,178,00:01:14.471,Pass,
,,,,,,,,,,,,,3.894656,,,,,,,,,,,,710a1f79-7bd9-4e2b-aee2-c5a28b2b1e64,60,,,"[27.9, 75.8]",3890319,1,,,,-0.081810564,,Right Foot,,,"[90.1, 70.7]",,High Pass,62.408733,,,Artur Sobiech,11845.0,,,,,,1,From Keeper,Marcelo Antônio Guedes Filho,3164.0,Right Center Back,5,Hannover 96,178,"['8a983967-e1d2-4891-9fab-1429dad3a1c0', 'f1ddf599-f862-4dd0-85c3-01bf90b97993']",17,,,,,,,,,,,,,,,,,,Hannover 96,178,00:01:17.413,Pass,True
,,,,,,,,,,,,,0.72763,,,,,,,,,,,,9c4be4f1-45c9-4bb9-ac08-6ef96f2dd35c,63,,,"[90.1, 69.7]",3890319,1,,,,-1.6756732,,Left Foot,,,"[89.1, 60.2]",,Low Pass,9.552486,,,Leon Andreasen,400613.0,,,,,,1,From Keeper,Artur Sobiech,11845.0,Center Forward,5,Hannover 96,178,['a0a4b351-e8b5-4929-ba33-e5196904387e'],21,,,,,,,,,,,,,,,,,,Hannover 96,178,00:01:21.421,Pass,
