50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,3.204494,,,,,,,,,,,,,d8d9c288-0b57-4db8-995d-5cdb99bececd,18,,"[14.0, 54.5]",3890299,0,,,,0.36220986,,Right Foot,,,,"[68.1, 75.0]",,High Pass,57.853783,,Incomplete,,Ibrahima Traoré,11285.0,,,,,,1,From Kick Off,Yann Sommer,5550.0,Goalkeeper,2,Borussia Mönchengladbach,185,"['15894c60-de27-4be8-a7f8-12e984abfdf5', '699d52ad-9965-43c4-85f1-6f1e8f8486af', 'a15e00e6-6948-46fa-8948-43c92708f3b0']",10,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:10.195,Pass,True
,,,,,,,,,,,,,,,,2.025621,,,,,,,,,,,,,15894c60-de27-4be8-a7f8-12e984abfdf5,20,,"[52.0, 5.1]",3890299,0,,,True,0.551655,,,,,,"[72.8, 17.9]",,High Pass,24.42294,,Incomplete,,Leonardo Bittencourt,8826.0,,,,,Recovery,1,From Kick Off,Jonas Hector,6040.0,Left Back,2,Borussia Mönchengladbach,185,"['7ab46700-9e57-448d-ab42-613feccead14', '7c06092a-33ef-4066-b9e7-0bb57cf2a6b2', 'd8d9c288-0b57-4db8-995d-5cdb99bececd', 'ef51c90b-6c74-47a8-abf2-e758540f6873']",13,,,,,,,,,,,,,,,,,FC Köln,186,00:00:13.400,Pass,True
,,,,,,,,,,,,,,,,1.658178,,,,,,,,,,,,,7ab46700-9e57-448d-ab42-613feccead14,23,,"[47.3, 62.2]",3890299,0,,,,1.8106903,,Other,,,,"[43.9, 76.1]",,Low Pass,14.309787,,,,Tony Jantschke,12320.0,,,,,Recovery,1,From Kick Off,Granit Xhaka,3500.0,Right Defensive Midfield,2,Borussia Mönchengladbach,185,"['15894c60-de27-4be8-a7f8-12e984abfdf5', '4e8a6b46-9ad5-4b24-90b9-c642eae53ee0']",15,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:15.426,Pass,
,,,,,,,,,,,,,,,,0.224529,,,,,,,,,,,,,9e642660-ec33-42ef-8f90-1b5aec97f2a9,26,,"[44.3, 75.9]",3890299,0,,,,-0.16910122,,Right Foot,,,,"[48.4, 75.2]",,Low Pass,4.159327,,Incomplete,,Ibrahima Traoré,11285.0,,,,,,1,From Kick Off,Tony Jantschke,12320.0,Right Back,2,Borussia Mönchengladbach,185,"['5e0bb869-9520-4d4d-bad2-96d8a3e46c4c', 'b9adf16f-b015-40fb-9371-e2832b8fd740']",17,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:17.172,Pass,
,,,,,,,,,,,,,,,,1.369518,,,,,,,,,,,,,00f0de7f-db4b-456f-94e4-f253c0cefdfd,32,,"[32.4, 75.7]",3890299,0,True,,,-2.2142975,,Right Foot,,,,"[23.4, 63.7]",,Ground Pass,15.0,,,,Roel Brouwers,400654.0,,,,,Free Kick,1,From Free Kick,Tony Jantschke,12320.0,Right Back,3,Borussia Mönchengladbach,185,['74ed40ac-e321-45c0-aa63-6fb730d4e6c5'],25,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:25.558,Pass,
,,,,,,,,,,,,,,,,0.887847,,,,,,,,,,,,,1ddf3ece-46a2-44b8-8477-b4333d4cfc92,34,,"[23.4, 62.0]",3890299,0,,,,-1.467004,,Right Foot,,,,"[24.9, 47.6]",,Ground Pass,14.477914,,,,Granit Xhaka,3500.0,,,,,,1,From Free Kick,Roel Brouwers,400654.0,Right Center Back,3,Borussia Mönchengladbach,185,['deca7ebf-8721-4c31-9cf1-71e076c388c9'],28,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:28.779,Pass,
,,,,,,,,,,,,,,,,1.329165,,,,,,,,,,,,,dbcd8e15-4b58-4dec-b67a-3ed2affa3a8b,37,,"[27.9, 44.6]",3890299,0,,,,-1.3162193,,Left Foot,,,,"[34.9, 17.7]",,Ground Pass,27.795862,,,,Andreas Christensen,3959.0,,,,,,1,From Free Kick,Granit Xhaka,3500.0,Right Defensive Midfield,3,Borussia Mönchengladbach,185,['15bb6592-14c5-4c1c-80bc-e0a981ed9534'],31,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:31.090,Pass,
,,,,,,,,,,,,,,,,1.248501,,,,,,,,,,,,,1636d156-334a-4879-bcf5-959e324a0488,40,,"[38.3, 11.7]",3890299,0,,,,-0.64477986,,Right Foot,,,,"[50.8, 2.3]",,Ground Pass,15.640013,,,,Oscar Wendt,8809.0,,,,,,1,From Free Kick,Andreas Christensen,3959.0,Left Center Back,3,Borussia Mönchengladbach,185,['495474bd-79c2-43d8-ad57-9fccedcf363d'],33,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:33.934,Pass,
,,,,,,,,,,,,,,,,1.273597,,,,,,,,,,,,,a449695b-339b-4462-a14a-e4a69c5c0b6f,43,,"[51.0, 2.3]",3890299,0,,,,2.9062688,,Left Foot,,,,"[33.9, 6.4]",,Ground Pass,17.584652,,,,Andreas Christensen,3959.0,,,,,,1,From Free Kick,Oscar Wendt,8809.0,Left Back,3,Borussia Mönchengladbach,185,"['4997d214-6014-48ca-8159-1b85dbae730b', '94372f50-da37-45e3-af46-7a4a1d1fef67']",35,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:35.182,Pass,True
,,,,,,,,,,,,,,,,2.057157,,,,,,,,,,,,,8a50f24b-84a7-45c3-8555-4d08fc636dd2,47,,"[30.9, 8.3]",3890299,0,,,,2.2925687,,Right Foot,,,,"[14.0, 27.5]",,Ground Pass,25.578312,,,,Yann Sommer,5550.0,,,,,,1,From Free Kick,Andreas Christensen,3959.0,Left Center Back,3,Borussia Mönchengladbach,185,"['55f9dbd8-d0a8-4a62-9592-dad5be64ca15', 'd7a3bdf2-760d-4c9a-b7df-9ed6a7e664ad']",36,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:36.856,Pass,True
