50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,84b4c725-ed48-4ed0-b685-b0b8d53ae3db,1,,,3890498,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 8239, 'name': 'Robin Knoche'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 31}, {'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 40469, 'name': 'Marcel Schäfer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 8521, 'name': 'Daniel Caligiuri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,816cdc54-27bf-4c22-a1d8-8ca0698fb5c6,2,,,3890498,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 12383, 'name': 'Florian Jungwirth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 35033, 'name': 'Slobodan Rajković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 35}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 34}, {'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d6b23e0c-261a-42e4-9ebc-be086add032d,3,,,3890498,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['f12dbe45-a0de-4879-9698-1155b24b5584'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f12dbe45-a0de-4879-9698-1155b24b5584,4,,,3890498,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['d6b23e0c-261a-42e4-9ebc-be086add032d'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d458426c-9b4f-49a7-bfde-1039c41b0ff4,1649,,,3890498,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,Wolfsburg,179,['6e4f4e44-08a0-4685-9866-9ba73c816f13'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6e4f4e44-08a0-4685-9866-9ba73c816f13,1650,,,3890498,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,Wolfsburg,179,['d458426c-9b4f-49a7-bfde-1039c41b0ff4'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.50459,,,,,,,,,,,5a3d739d-0a2e-45c1-b28b-4fff1c3e0c8a,5,,"[61.0, 40.1]",3890498,0,,,,,1.9614034,,Left Foot,,,,"[60.3, 41.8]",,Ground Pass,,1.8384776,,,André Schürrle,10281.0,,,,,Kick Off,1,From Kick Off,Max Kruse,8386.0,Left Center Forward,2,Wolfsburg,179,['d764cf09-ec69-4b9d-9c19-60c3cc439751'],1,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:01.397,Pass,
,,,,,,,,,,,,,,,,,0.971879,,,,,,,,,,,2de9a21e-7641-4f3b-86c4-eb3c2d8b8773,7,,"[61.4, 42.9]",3890498,0,,,,,3.1415927,,Right Foot,,,,"[50.6, 42.9]",,Ground Pass,,10.8,,,Maximilian Arnold,8235.0,,,,,,1,From Kick Off,André Schürrle,10281.0,Right Center Forward,2,Wolfsburg,179,['a2d195e9-63ec-4035-8df0-0bf8242b85c3'],1,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:01.902,Pass,
,,,,,,,,,,,,,,,,,1.377078,,,,,,,,,,,019e9103-44ab-4854-b2f2-822e4c5061f5,10,,"[50.6, 40.6]",3890498,0,,,,,-1.5707964,,Left Foot,,,,"[50.6, 25.6]",,Ground Pass,,15.0,,,Daniel Caligiuri,8521.0,,,,,,1,From Kick Off,Maximilian Arnold,8235.0,Center Attacking Midfield,2,Wolfsburg,179,['8f42be09-f92d-4d6d-ad5d-cb291256ae42'],3,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:03.602,Pass,
,,,,,,,,,,,,,,,,,0.984097,,,,,,,,,,,9252352c-acb6-44ea-b404-d74f42114ad0,12,,"[50.6, 25.6]",3890498,0,,,,,1.9085313,,Left Foot,,,,"[44.7, 42.4]",,Ground Pass,,17.805899,,,Luiz Gustavo Dias,3545.0,,,,,,1,From Kick Off,Daniel Caligiuri,8521.0,Left Center Midfield,2,Wolfsburg,179,['71d38289-5ec5-4f62-97e4-d437817e23d2'],4,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:04.979,Pass,
