50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,edba82ee-847f-4fce-bea0-d14b19e8526c,1,,,,3890386,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23499, 'name': 'Jaroslav Drobný'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40468, 'name': 'Cleber Janderson Pereira Reis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 8323, 'name': 'Gideon Jung'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8302, 'name': 'Nicolai Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8321, 'name': 'Sven Schipplock'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d6c1f464-4b85-4081-af0f-e33323d82bb9,2,,,,3890386,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 15847, 'name': 'Alexander Hack'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 42}, {'player': {'id': 20871, 'name': 'Pierre Bengtsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 30551, 'name': 'Gonzalo Alejandro Jara Reyes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 8555, 'name': 'Pablo Ezequiel De Blasis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 32}, {'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6337, 'name': 'Yoshinori Muto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",FSV Mainz 05,177,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,33f77064-f9b5-48e3-bb89-d45af03c8f23,3,,,,3890386,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,['db3a82b4-ee6f-4618-9581-a95eac57b9d2'],0,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,db3a82b4-ee6f-4618-9581-a95eac57b9d2,4,,,,3890386,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,['33f77064-f9b5-48e3-bb89-d45af03c8f23'],0,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ce826deb-5fc6-4a8d-abe2-f1d5ac3801ec,1989,,,,3890386,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Hamburger SV,171,['f4a07c1a-27f9-4fe1-8d7c-94e6a3e3fe10'],0,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f4a07c1a-27f9-4fe1-8d7c-94e6a3e3fe10,1990,,,,3890386,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Hamburger SV,171,['ce826deb-5fc6-4a8d-abe2-f1d5ac3801ec'],0,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,9911d2fb-21b0-4fdc-9400-18d7e4dc0935,5,,,"[61.0, 40.1]",3890386,0,,True,,,2.1730838,,Right Foot,,,,"[59.9, 41.7]",,Ground Pass,1.9416488,,,,Michael Gregoritsch,8309.0,,,,,Kick Off,1,From Kick Off,Sven Schipplock,8321.0,Center Forward,2,Hamburger SV,171,['3b578d04-524b-4a75-9a0f-12dfd68d5c05'],0,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.167,Pass,
,,,,,,,,,,,,,,,,,2.57999,,,,,,,,,,,,,ccdd67f1-2dac-4735-9a7c-511c55405ca6,7,,,"[59.2, 41.6]",3890386,0,,True,,,3.0225923,,Left Foot,,,,"[40.8, 43.8]",,Ground Pass,18.531055,,,,Johan Danon Djourou-Gbadjere,6359.0,,,,,,1,From Kick Off,Michael Gregoritsch,8309.0,Center Attacking Midfield,2,Hamburger SV,171,['e0997474-04b8-40cf-8ee1-c62bd1b81f85'],0,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.343,Pass,
,,,,,,,,,,,,,,,,,3.678026,,,,,,,,,,,,,b7150f1c-4e75-49a3-aa4a-773fe01dc2d0,9,,,"[40.8, 43.8]",3890386,0,,,,,-0.36072618,,Right Foot,,,,"[85.6, 26.9]",,High Pass,47.881626,,Incomplete,,Matthias Ostrzolek,8547.0,,,,,,1,From Kick Off,Johan Danon Djourou-Gbadjere,6359.0,Right Center Back,2,Hamburger SV,171,"['b0a9ea99-cb66-427e-ade0-f18771fb5eca', 'dcda4e17-3c09-4805-9f2e-f7e8429b08a5']",3,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:03.014,Pass,
,,,,,,,,,,,,,,,,,0.871517,,,,,,,,,,,,,dcda4e17-3c09-4805-9f2e-f7e8429b08a5,11,,,"[34.5, 53.2]",3890386,0,,,,,-0.27032533,,Head,,,,"[42.8, 50.9]",,High Pass,8.612782,,Incomplete,,Yunus Mallı,8679.0,,,,,Recovery,1,From Kick Off,Julian Baumgartlinger,20037.0,Right Defensive Midfield,2,Hamburger SV,171,"['88f0f702-28e6-4de6-9bbe-e757db38ebe1', 'b7150f1c-4e75-49a3-aa4a-773fe01dc2d0', 'fa39445f-a43f-4da0-a9ff-316e5d39e544']",6,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:06.693,Pass,
