50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,34fb068b-74de-470e-be84-033e9a2e1c70,1,,,3890382,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15581, 'name': 'Bernd Leno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8549, 'name': 'Giulio Donati'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8573, 'name': 'Ömer Toprak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 20415, 'name': 'Sebastian Boenisch'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8805, 'name': 'Christoph Kramer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8222, 'name': 'Kevin Kampl'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 44}, {'player': {'id': 8213, 'name': 'Karim Bellarabi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 38}, {'player': {'id': 8219, 'name': 'Admir Mehmedi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3058, 'name': 'Javier Hernández Balcázar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,01fb2517-3e38-4878-96c7-a7da60c40b22,2,,,3890382,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25003, 'name': 'Sascha Riether'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 7016, 'name': 'Benedikt Höwedes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 8958, 'name': 'Dennis Aogo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 13}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6646582c-2bbe-40c5-af02-c2cd8e273f9f,3,,,3890382,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['028c74ac-cbd9-4211-8eb8-8d2ee12b2458'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,028c74ac-cbd9-4211-8eb8-8d2ee12b2458,4,,,3890382,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['6646582c-2bbe-40c5-af02-c2cd8e273f9f'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b4508d76-fb3f-44e6-bbbc-5c1b3ff3b625,1780,,,3890382,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Bayer Leverkusen,904,['3eba5f0a-0a74-4ebc-979a-ce0c39037d41'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3eba5f0a-0a74-4ebc-979a-ce0c39037d41,1781,,,3890382,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Bayer Leverkusen,904,['b4508d76-fb3f-44e6-bbbc-5c1b3ff3b625'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.121746,,,,,,,,,,,,,656b52d0-0ca7-4548-9c87-18000a0dda9e,5,,"[61.0, 40.1]",3890382,0,,,,,-3.1242533,,Right Foot,,,"[43.7, 39.8]",,Ground Pass,,17.3026,,,,Leon Goretzka,6324.0,,,,,Kick Off,1,From Kick Off,Klaas-Jan Huntelaar,8060.0,Center Forward,2,Schalke 04,181,['1647dda3-1d29-48fe-9916-a1f04151e835'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.751,Pass,
,,,,,,,,,,,,,,,,,0.608596,,,,,,,,,,,,,fc8ac480-6976-4fb0-a39c-c39db7038638,8,,"[44.7, 39.6]",3890382,0,,,,,2.0931997,,Right Foot,,,"[42.8, 42.9]",,Ground Pass,,3.8078866,,,,Joël Andre Job Matip,3502.0,,,,,,1,From Kick Off,Leon Goretzka,6324.0,Right Defensive Midfield,2,Schalke 04,181,['5ec4492d-601b-478e-932d-f4bb9b11df6d'],2,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:02.167,Pass,
,,,,,,,,,,,,,,,,,2.700702,,,,,,,,,,,,,3c641015-0c84-41db-b657-49069eaf7e63,10,,"[42.8, 42.9]",3890382,0,,,,,-0.08793386,,Left Foot,,,"[82.5, 39.4]",,High Pass,,39.853985,,,,Klaas-Jan Huntelaar,8060.0,,,,,,1,From Kick Off,Joël Andre Job Matip,3502.0,Left Center Back,2,Schalke 04,181,['63a352b6-23db-45df-bd71-81e2bfb6db86'],2,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:02.775,Pass,
,,,,,,,,,,,,,,,,,2.399101,,,,,,,,,,,,,f95d0834-9352-4098-bc68-5afee41a0405,12,,"[82.5, 39.4]",3890382,0,,,,,-1.5063695,,Head,,,"[83.9, 17.7]",,High Pass,,21.745115,,,,Jean-Eric Maxim Choupo-Moting,3499.0,,,,,,1,From Kick Off,Klaas-Jan Huntelaar,8060.0,Center Forward,2,Schalke 04,181,['97e67bf3-8449-475a-af47-3bece5229b3a'],5,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:05.476,Pass,
