50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c5412a53-3c64-4191-b126-1184c8cdd803,1,,,3890289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9134, 'name': 'Aleksandar Ignjovski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 400619, 'name': 'Stefan Reinartz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 23268, 'name': 'Alexander Meier'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 30}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4565476e-8dcb-4d9f-8a55-a181873ec532,2,,,3890289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9459, 'name': 'Paweł Olkowski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 8829, 'name': 'Frederik Hillesborg Sørensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8397, 'name': 'Kevin Vogt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 27}, {'player': {'id': 8822, 'name': 'Simon Zoller'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d7455b55-3362-49be-abff-9099afffb512,3,,,3890289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,['7a020d8e-0ee0-4d7c-b4b2-a33077031b4c'],0,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7a020d8e-0ee0-4d7c-b4b2-a33077031b4c,4,,,3890289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,['d7455b55-3362-49be-abff-9099afffb512'],0,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1ddffd77-f7da-4da0-81c8-c0291e48d96a,1892,,,3890289,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,FC Köln,186,['d04b0a8f-8a9c-4892-bfc9-5aa7f4681eb2'],0,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d04b0a8f-8a9c-4892-bfc9-5aa7f4681eb2,1893,,,3890289,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,FC Köln,186,['1ddffd77-f7da-4da0-81c8-c0291e48d96a'],0,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.414085,,,,,,,,,,,c9f92fe3-79fa-41fe-baf7-d4e5e8d7f448,5,,"[61.0, 40.1]",3890289,0,,,,,1.5167948,,Right Foot,,,,"[61.2, 43.8]",,Ground Pass,,3.7054014,,,,Haris Seferović,5543.0,,,,,Kick Off,1,From Kick Off,Luc Castaignos,7846.0,Left Center Forward,2,Eintracht Frankfurt,184,['e7ba19fd-8da4-4a75-ba36-29e99a3c5724'],1,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:01.987,Pass,
,,,,,,,,,,,,,,,,0.900169,,,,,,,,,,,ab1a205b-dd25-41bb-b07e-1e2cbddafabb,8,,"[59.5, 44.7]",3890289,0,,,,,-2.74743,,Right Foot,,,,"[48.2, 40.0]",,Ground Pass,,12.238464,,,,Alexander Meier,23268.0,,,,,,1,From Kick Off,Haris Seferović,5543.0,Right Center Forward,2,Eintracht Frankfurt,184,['cc8dd54d-c259-431c-87d9-d64e444965ea'],2,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:02.442,Pass,
,,,,,,,,,,,,,,,,1.662361,,,,,,,,,,,4b2dd902-0deb-4a78-8ccd-9ee53d915e4e,11,,"[48.2, 40.2]",3890289,0,,,,,2.0363932,,Right Foot,,,,"[37.9, 60.7]",,Ground Pass,,22.9421,,,,Marco Russ,8812.0,,,,,,1,From Kick Off,Alexander Meier,23268.0,Center Attacking Midfield,2,Eintracht Frankfurt,184,['40149b7e-128d-4836-9432-b1f8ad5544f5'],4,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:04.077,Pass,
,,,,,,,,,,,,,,,,1.626022,,,,,,,,,,,bee84272-cb09-49b1-b4aa-f8915999e030,14,,"[37.0, 60.7]",3890289,0,,,,,-1.873441,,Right Foot,,,,"[29.6, 37.0]",,Ground Pass,,24.828411,,,,David Ángel Abraham,8678.0,,,,,,1,From Kick Off,Marco Russ,8812.0,Right Center Back,2,Eintracht Frankfurt,184,['3382a857-8a78-432c-bb96-03827dd1502b'],6,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:06.653,Pass,
