50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.466975,,,,,,,,,,,,,,,00139e07-ff26-4470-baa7-9aa5ce880e6e,15,,"[13.3, 50.0]",3890280,0,,,,-1.1304641,,Keeper Arm,,,,"[27.2, 20.5]",,Ground Pass,,32.610733,,,,,Dominique Heintz,8828.0,,,,,,,1,From Kick Off,Timo Horn,8821.0,Goalkeeper,2,FC Köln,186,['881e939f-cb08-46a4-9bc2-15bd71d8e8ed'],11,,,,,,,,,,,,,,,,FC Köln,186,00:00:11.244,Pass,
,,,,,,,,,,,,,,,,,1.379293,,,,,,,,,,,,,,,e95d3e20-4fc3-48eb-a343-e3f78a83242e,18,,"[51.0, 10.1]",3890280,0,,,,0.033045817,,Left Foot,,,,"[87.3, 11.3]",,High Pass,,36.319828,,,,,Anthony Modeste,23486.0,,,,,,,1,From Kick Off,Dominique Heintz,8828.0,Left Center Back,2,FC Köln,186,['4c5c4a07-f101-4113-84c9-30c0f103a752'],18,,,,,,,,,,,,,,,,FC Köln,186,00:00:18.589,Pass,
,,,,,,,,,,,,,,,,,0.563065,,,,,,,,,,,,,,,e9e706f4-7298-4cf4-8c62-2ca70e3ce6e4,21,,"[84.2, 3.3]",3890280,0,,,,0.72486615,,Right Foot,,,,"[87.7, 6.4]",,Low Pass,,4.675468,,,Incomplete,,Leonardo Bittencourt,8826.0,,,,,,,1,From Kick Off,Anthony Modeste,23486.0,Left Center Forward,2,FC Köln,186,"['1d279dcf-6a7e-4453-833a-44ca8a5eb327', 'b0d4262f-07fc-41c6-8e66-a4b97d559f19']",21,,,,,,,,,,,,,,,,FC Köln,186,00:00:21.847,Pass,
,,,,,,,,,,,,,,,,,0.6786,,,,,,,,,,,,,,,1d8b7ea3-fc47-417f-b453-c7af51c3489d,25,,"[31.6, 73.9]",3890280,0,,,,-0.28693876,,Right Foot,,,,"[37.7, 72.1]",,Ground Pass,,6.3600316,,,,,Michael Gregoritsch,8309.0,,,,,,,1,Regular Play,Cleber Janderson Pereira Reis,40468.0,Right Center Back,3,Hamburger SV,171,['1b1f7830-fa2d-4b7f-9411-7191ccb406a1'],23,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:23.414,Pass,
,,,,,,,,,,,,,,,,,1.106698,,,,,,,,,,,,,,,e5faa9ba-d202-4268-bf51-59bbb3a4797a,28,,"[45.4, 66.4]",3890280,0,,,,-1.2577412,,Left Foot,,,,"[51.0, 49.1]",,Ground Pass,,18.183784,,,,,Ivo Iličević,24740.0,,,,,,,1,Regular Play,Michael Gregoritsch,8309.0,Right Midfield,3,Hamburger SV,171,['e8beeb59-cf05-4a51-aae0-39de3bd147d4'],25,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:25.815,Pass,
,,,,,,,,,,,,,,,,,0.8044,,,,,,,,,,,,,,,318054c6-f54f-45a3-9ef7-7b6f44670a57,31,,"[51.6, 49.1]",3890280,0,,,,0.4200245,,Right Foot,,,,"[61.9, 53.7]",,Ground Pass,,11.280514,,,,,Sven Schipplock,8321.0,,,,,,,1,Regular Play,Ivo Iličević,24740.0,Left Midfield,3,Hamburger SV,171,['10ca5431-bf28-4cf3-9547-3f5b424fa11c'],27,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:27.002,Pass,
,,,,,,,,,,,,,,,,,0.5408,,,,,,,,,,,,,,,2bc0b793-4a00-465d-85a4-89c1c6b83a0d,34,,"[62.0, 53.7]",3890280,0,,,,2.5337906,,Right Foot,,,,"[59.7, 55.3]",,Ground Pass,,2.8017852,,,,,Ivo Iličević,24740.0,,,,,,,1,Regular Play,Sven Schipplock,8321.0,Center Forward,3,Hamburger SV,171,['362b72bb-ccf2-484a-bdfb-1d24fd1c91dd'],27,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:27.926,Pass,
,,,,,,,,,,,,,,,,,1.2511,,,,,,,,,,,,,,,134bd435-4288-4622-b4df-42b6d6f39264,39,,"[66.7, 77.2]",3890280,0,,,,-2.670699,,Left Foot,,,,"[50.2, 68.8]",,Ground Pass,,18.51513,,,,,Cleber Janderson Pereira Reis,40468.0,,,,,,,1,Regular Play,Ivo Iličević,24740.0,Left Midfield,3,Hamburger SV,171,"['20f65278-ecd2-4d2f-ba9f-4f10ddc3837d', '41ae207c-bb35-42a2-9bea-f14b7db3b1aa']",35,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:35.427,Pass,True
,,,,,,,,,,,,,,,,,1.753798,,,,,,,,,,,,,,,47098082-0c41-4c29-aa68-0d57af9caefe,42,,"[32.0, 55.7]",3890280,0,,,,-1.3754584,,Left Foot,,,,"[39.4, 18.3]",,Ground Pass,,38.125057,,,,,Emir Spahić,26791.0,,,,,,,1,Regular Play,Cleber Janderson Pereira Reis,40468.0,Right Center Back,3,Hamburger SV,171,['907d4034-0307-46ac-b90f-236555553ccc'],40,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:40.459,Pass,
,,,,,,,,,,,,,,,,,1.383699,,,,,,,,,,,,,,,ea696684-c857-437e-995e-1915f194300a,45,,"[39.8, 16.7]",3890280,0,,,,-1.6415998,,Right Foot,,,,"[38.8, 2.6]",,Ground Pass,,14.135417,,,,,Matthias Ostrzolek,8547.0,,,,,,,1,Regular Play,Emir Spahić,26791.0,Left Center Back,3,Hamburger SV,171,['276f13ad-64a8-4c2b-94b1-d99401d7db95'],44,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:44.460,Pass,
