50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c868edd8-6c5c-43c5-9810-eeb653032a59,1,,,,3890479,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20950, 'name': 'Yanni Regäsel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 18888, 'name': 'Szabolcs Huszti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6317, 'name': 'Marco Jhonfai Fabián De La Mora'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c0cbf8bb-7a9c-49fa-98d3-048c23fbbc38,2,,,,3890479,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8394, 'name': 'Robert Bauer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3221, 'name': 'Markus Suttner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 13332, 'name': 'Romain Brégerie'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 12551, 'name': 'Max Christiansen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 40463, 'name': 'Stefan Lex'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 2968, 'name': 'Elias Kachunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,169312cb-60e9-4b78-94e2-25db4cc80843,3,,,,3890479,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,['b7ddf73b-1fc4-48a2-828b-2d29565b7062'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b7ddf73b-1fc4-48a2-828b-2d29565b7062,4,,,,3890479,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,['169312cb-60e9-4b78-94e2-25db4cc80843'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,02bec085-bb10-4f2b-a95e-3007badbc9ef,1628,,,,3890479,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,128,Eintracht Frankfurt,184,['af09b3d2-7030-498e-ae57-22f4a5f2e9e9'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,af09b3d2-7030-498e-ae57-22f4a5f2e9e9,1629,,,,3890479,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,128,Eintracht Frankfurt,184,['02bec085-bb10-4f2b-a95e-3007badbc9ef'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.933998,,,,,,,,,,,,,,8c30bf73-7591-4126-b767-97633da60ade,5,,,"[60.0, 40.0]",3890479,0,True,,,-0.90675014,,Left Foot,,,,"[61.8, 37.7]",,Ground Pass,,2.9206164,,,,,Pascal Groß,3097.0,,,,,Kick Off,1,From Kick Off,Elias Kachunga,2968.0,Center Forward,2,Ingolstadt,189,['fb7d3b47-83e3-465f-80b0-de1885546e6f'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.100,Pass,
,,,,,,,,,,,,,,,,,,1.867668,,,,,,,,,,,,,,f122be39-3709-4239-aca5-21439c5e0ae9,7,,,"[61.8, 37.0]",3890479,0,,,,-1.5004001,,Right Foot,,,,"[64.0, 5.8]",,Ground Pass,,31.277468,,,,,Markus Suttner,3221.0,,,,,,1,From Kick Off,Pascal Groß,3097.0,Right Center Midfield,2,Ingolstadt,189,['8502b03b-d18c-4e6f-a47a-637ef8d7091f'],3,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:03.679,Pass,
,,,,,,,,,,,,,,,,,,2.092277,,,,,,,,,,,,,,0259ebd0-edbf-45dd-b4ce-95243117de4c,10,,,"[65.2, 4.4]",3890479,0,,,,0.41515294,,Left Foot,,,,"[101.5, 20.4]",,High Pass,,39.66976,,,Incomplete,,Stefan Lex,40463.0,,,,,,1,From Kick Off,Markus Suttner,3221.0,Left Back,2,Ingolstadt,189,"['04ce8340-a20a-4aae-ac18-efe20ec1eee9', '7c3020c7-46fa-434c-b00d-c940a145bae6']",6,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:06.586,Pass,
,,,,,,,,,,,,,,,,,,1.319912,,,,,,,,,,,,,,7c3020c7-46fa-434c-b00d-c940a145bae6,12,,,"[18.6, 59.7]",3890479,0,,,,0.4216555,,Right Foot,,,,"[42.9, 70.6]",,Low Pass,,26.632687,,,Incomplete,,Makoto Hasebe,5681.0,,,,,Recovery,1,From Kick Off,Carlos Augusto Zambrano Ochandarte,36359.0,Right Center Back,2,Ingolstadt,189,"['0259ebd0-edbf-45dd-b4ce-95243117de4c', '60c320cb-38c9-4cd7-ae13-fcbc125acdb6', 'bb3e41c1-fe46-4d13-a248-a79c9765f399']",8,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:08.678,Pass,
,,,,,,,,,,,,,,,,,,5.238273,,,,,,,,,,,,,,4872c0e7-c257-43c6-baec-f04d241aac0c,16,,,"[93.3, 8.6]",3890479,0,,,True,-0.07908002,,,,,,"[119.8, 6.5]",,Low Pass,,26.583076,,,Out,,Elias Kachunga,2968.0,,,,,Recovery,1,From Kick Off,Max Christiansen,12551.0,Left Center Midfield,2,Ingolstadt,189,"['0767e717-f33a-46ef-be3e-99d5cc12059c', '2e231b5e-d4c4-4c22-9df6-3d30601aea49']",12,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:12.025,Pass,True
,,,,,,,,,,,,,,,,,,2.111163,,,,,,,,,,,,,,a3db791c-b86a-4077-a615-9ad500e1b27d,18,,,"[7.0, 36.1]",3890479,0,,,,-0.8832663,,Right Foot,,,,"[19.4, 21.0]",,Ground Pass,,19.538935,,,,,David Ángel Abraham,8678.0,,,,,Goal Kick,1,From Goal Kick,Lukáš Hrádecký,8667.0,Goalkeeper,3,Eintracht Frankfurt,184,['4920362e-a0a7-41a1-b184-2dbccd6d2612'],23,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:23.886,Pass,
,,,,,,,,,,,,,,,,,,1.384827,,,,,,,,,,,,,,ef5b9a1e-c5dd-4595-b0d1-e5bd69187e1b,21,,,"[23.1, 17.7]",3890479,0,,,,-0.60439456,,Right Foot,,,,"[41.2, 5.2]",,Ground Pass,,21.996819,,,,,Bastian Oczipka,8504.0,,,,,,1,From Goal Kick,David Ángel Abraham,8678.0,Left Center Back,3,Eintracht Frankfurt,184,['a3b47799-4e81-4ff2-8284-c7403cbca47a'],27,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:27.221,Pass,
,,,,,,,,,,,,,,,,,,1.237319,,,,,,,,,,,,,,aedfc2b2-7c26-4f83-8c9c-f458e23d885d,24,,,"[41.2, 4.5]",3890479,0,,,,2.7407992,,Left Foot,,,,"[23.5, 12.0]",,Ground Pass,,19.223423,,,,,David Ángel Abraham,8678.0,,,,,,1,From Goal Kick,Bastian Oczipka,8504.0,Left Back,3,Eintracht Frankfurt,184,['176acbff-1568-4904-a840-69eca4bc307f'],29,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:29.865,Pass,
,,,,,,,,,,,,,,,,,,2.27884,,,,,,,,,,,,,,7fd4d2cc-abc7-42d8-87b3-5645dda9e26b,27,,,"[25.6, 14.5]",3890479,0,,,,0.33725318,,Right Foot,,,,"[71.8, 30.7]",,High Pass,,48.957943,,,,,Marco Jhonfai Fabián De La Mora,6317.0,,,,,,1,From Goal Kick,David Ángel Abraham,8678.0,Left Center Back,3,Eintracht Frankfurt,184,['5c5fd721-d51b-4f90-9778-db82f51fe7bd'],32,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:32.534,Pass,
,,,,,,,,,,,,,,,,,,2.469441,,,,,,,,,,,,,,12b572eb-3557-4027-bd89-7b45d7c7e784,29,,,"[71.8, 30.7]",3890479,0,,,,0.7246036,,Head,,,,"[90.1, 46.9]",,Low Pass,,24.440336,,,Incomplete,,Haris Seferović,5543.0,,,,,,1,From Goal Kick,Marco Jhonfai Fabián De La Mora,6317.0,Left Center Forward,3,Eintracht Frankfurt,184,"['42ae7bb5-5659-43c4-bc11-a56dffce9d5a', '8047e6db-9933-4429-833e-8b760342386b']",34,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:34.812,Pass,
,,,,,,,,,,,,,,,,,,2.427571,,,,,,,,,,,,,,8047e6db-9933-4429-833e-8b760342386b,32,,,"[30.0, 33.2]",3890479,0,,,,-2.8251612,,Left Foot,,,,"[7.4, 25.8]",,Ground Pass,,23.780664,,,,,Ramazan Özcan,12319.0,,,,,Recovery,1,Regular Play,Benjamin Hübner,8405.0,Left Center Back,4,Ingolstadt,189,"['0a9dd176-8586-4953-8c52-db0f789dde71', '12b572eb-3557-4027-bd89-7b45d7c7e784', 'b18c7c0c-14d1-47fe-996d-1f87a232396c']",37,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:37.282,Pass,True
,,,,,,,,,,,,,,,,,,1.528568,,,,,,,,,,,,,,538747ce-603f-4463-bcb5-ef4655822350,36,,,"[7.6, 25.3]",3890479,0,,,,-0.7727406,,Left Foot,,,,"[23.6, 9.7]",,Ground Pass,,22.346365,,,,,Markus Suttner,3221.0,,,,,,1,Regular Play,Ramazan Özcan,12319.0,Goalkeeper,4,Ingolstadt,189,"['8e8451b7-8150-41c6-840f-a22655ba3ce0', 'eb0063c9-282d-491d-988b-7c659c0978a6']",39,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:39.749,Pass,True
,,,,,,,,,,,,,,,,,,1.715525,,,,,,,,,,,,,,125bc362-2661-40b6-bd93-a019b8f7dfdd,40,,,"[22.1, 5.0]",3890479,0,,,,-0.1966137,,Left Foot,,,,"[46.7, 0.1]",,High Pass,,25.083261,,,Out,,Stefan Lex,40463.0,,,,,,1,Regular Play,Markus Suttner,3221.0,Left Back,4,Ingolstadt,189,"['1d057cb2-47a5-4324-b5cc-d3ec4c08e4f4', 'af3b77d7-b3d5-4813-adb5-eff2ece24d30']",42,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:42.453,Pass,True
,,,,,,,,,,,,,,,,,,1.17737,,,,,,,,,,,,,,bbc1cb32-b4b9-4e64-a154-e4324e58567f,42,,,"[85.0, 80.0]",3890479,0,True,,,-1.1155168,,,,,,"[89.7, 70.4]",,Low Pass,,10.688779,,,,,Szabolcs Huszti,18888.0,,,,,Throw-in,1,From Throw In,Yanni Regäsel,20950.0,Right Back,5,Eintracht Frankfurt,184,['ef9a96d4-8670-4d80-a7be-0adbe15a96ee'],48,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:48.997,Pass,
,,,,,,,,,,,,,,,,,,0.853338,,,,,,,,,,,,,,de3c3e7c-0531-4b50-bf1b-5747a1fc1e88,46,,,"[89.2, 68.5]",3890479,0,,,,0.9407624,,Right Foot,,,,"[96.2, 78.1]",,Ground Pass,,11.881078,,,,,Yanni Regäsel,20950.0,,,,,,1,From Throw In,Szabolcs Huszti,18888.0,Center Attacking Midfield,5,Eintracht Frankfurt,184,"['2a87780a-d490-4949-a659-588080d5961b', 'ca9831d2-a578-48ed-896e-5ee7817cf0de']",50,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:50.798,Pass,True
,,,,,,,,,,,,,,,,,,1.403584,,,,,,,,,,,,,,aa9f1469-dd75-4859-9854-cb45156e1a0a,49,,,"[96.2, 78.1]",3890479,0,,,,-1.4511982,,Right Foot,,,,"[99.0, 54.8]",,Ground Pass,,23.467638,,,Incomplete,,Makoto Hasebe,5681.0,,,,,,1,From Throw In,Yanni Regäsel,20950.0,Right Back,5,Eintracht Frankfurt,184,"['9f8cdd97-3c6e-4095-b182-df36f59a0415', 'd9847a51-37b5-482d-a8cc-79351c77b793']",51,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:51.691,Pass,
,,,,,,,,,,,,,,,,,,1.505176,,,,,,,,,,,,,,e023cb2d-3aad-47bb-8b92-502d9bd834c4,53,,,"[15.5, 23.1]",3890479,0,,,,2.6651251,,Right Foot,,,,"[3.1, 29.5]",,Ground Pass,,13.954211,,,,,Ramazan Özcan,12319.0,,,,,,1,From Throw In,Pascal Groß,3097.0,Right Center Midfield,5,Eintracht Frankfurt,184,['90b53385-3470-4b7c-94db-adefb355f1ed'],54,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:54.181,Pass,
