50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,999b07c0-6d45-43ea-9b2d-df520698ca81,1,,,,3890468,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 12383, 'name': 'Florian Jungwirth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 35033, 'name': 'Slobodan Rajković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 35}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 34}, {'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,42303183-3c42-4352-b672-6f714fe4a4fe,2,,,,3890468,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 12424, 'name': 'Roman Weidenfeller'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 4430, 'name': 'Neven Subotić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 13206, 'name': 'Erik Durm'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 37}, {'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8241, 'name': 'Felix Passlack'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 30}, {'player': {'id': 8233, 'name': 'Gonzalo Castro Randon'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 24324, 'name': 'Gustavo Adrián Ramos Vásquez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f9d06120-8060-425f-8ac1-4e128ccbfbef,3,,,,3890468,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['b56f6972-f6af-4772-817f-5023457d0e62'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b56f6972-f6af-4772-817f-5023457d0e62,4,,,,3890468,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['f9d06120-8060-425f-8ac1-4e128ccbfbef'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c7e288bd-4d44-41ae-85d1-b659626c1943,1899,,,,3890468,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,86,Darmstadt 98,872,['cf220d12-c427-404b-a450-e41817c364f7'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf220d12-c427-404b-a450-e41817c364f7,1900,,,,3890468,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,86,Darmstadt 98,872,['c7e288bd-4d44-41ae-85d1-b659626c1943'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,2.342517,,,,,,,,,,,,,6f2864ff-969a-4309-bfd2-e630b79d36f1,5,,,"[60.0, 40.0]",3890468,0,,,,-2.5189219,,Right Foot,,,"[36.6, 23.2]",,Ground Pass,,28.80625,,,,Slobodan Rajković,35033.0,,,,,Kick Off,1,From Kick Off,Sandro Wagner,9723.0,Center Forward,2,Darmstadt 98,872,['a6f2f3e8-9ebb-4331-a6ca-cae35ca06757'],1,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:01.163,Pass,
,,,,,,,,,,,,,,,,,,1.820744,,,,,,,,,,,,,b3d6741e-0649-479d-bec4-7116a5e427ca,9,,,"[36.2, 23.9]",3890468,0,,,,2.6939554,,Left Foot,,,"[8.5, 37.2]",,Ground Pass,,30.727512,,,,Christian Mathenia,8306.0,,,,,,1,From Kick Off,Slobodan Rajković,35033.0,Left Center Back,2,Darmstadt 98,872,['82d74b94-fc7b-4ae2-b956-ff8c24c5ff97'],4,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:04.723,Pass,
,,,,,,,,,,,,,,,,,,4.27276,,,,,,,,,,,,,7523bfa6-a512-4077-9c1a-81022607e0b0,11,,,"[9.8, 37.2]",3890468,0,,,,0.035235874,,Right Foot,,,"[63.7, 39.1]",,High Pass,,53.93348,,,,Sandro Wagner,9723.0,,,,,,1,From Kick Off,Christian Mathenia,8306.0,Goalkeeper,2,Darmstadt 98,872,['e7cc43d3-cbd1-4cdc-8e9e-dc667e829a51'],6,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:06.544,Pass,
,,,,,,,,,,,,,,,,,,1.143196,,,,,,,,,,,,,55a03714-ef32-49b2-a61d-19de2d60d7ce,14,,,"[63.7, 39.1]",3890468,0,,,,0.9914703,,Right Foot,,,"[70.7, 49.8]",,Low Pass,,12.786321,,Incomplete,,Marcel Heller,9401.0,,,,,,1,From Kick Off,Sandro Wagner,9723.0,Center Forward,2,Darmstadt 98,872,"['8d1da84a-eed4-4186-8d11-0c7e8d4221c8', 'e2a12e59-fd1d-413e-8957-8b9822ec9a36']",10,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:10.817,Pass,
