50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dc609a79-0589-4e4d-afc4-d5b0e81d638f,1,,,,3890389,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40460, 'name': 'Tobias Levels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8394, 'name': 'Robert Bauer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 40463, 'name': 'Stefan Lex'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 9103, 'name': 'Lukas Hinterseer'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,09d47260-c5c8-4e46-be27-07f5ca9fb491,2,,,,3890389,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 40538, 'name': 'Jin-Su Kim'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 8556, 'name': 'Pirmin Schwegler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 8404, 'name': 'Eugen Polanski'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26832, 'name': 'Tarik Elyounoussi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 5548, 'name': 'Steven Zuber'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 8403, 'name': 'Nadiem Amiri'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 31}]}",Hoffenheim,175,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3dc5ea61-a08b-4397-a086-e39ffae4fcff,3,,,,3890389,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['b618b90e-4a41-4e0d-b557-c24048fc6d80'],0,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b618b90e-4a41-4e0d-b557-c24048fc6d80,4,,,,3890389,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['3dc5ea61-a08b-4397-a086-e39ffae4fcff'],0,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,205e8b15-7424-4267-8cb7-951b03387ec2,1968,,,,3890389,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Hoffenheim,175,['4838a88b-ada4-4e62-8377-4fb4a08357bf'],0,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4838a88b-ada4-4e62-8377-4fb4a08357bf,1969,,,,3890389,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Hoffenheim,175,['205e8b15-7424-4267-8cb7-951b03387ec2'],0,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.4144,,,,,,,,,,,,,e2823cb5-7522-4a4c-ba94-1aa8a3504935,5,,,"[60.0, 40.0]",3890389,0,,,,,-0.9048271,,Right Foot,,,,"[61.1, 38.6]",Ground Pass,,1.7804494,,,,,Nadiem Amiri,8403.0,,,,,Kick Off,1,From Kick Off,Eugen Polanski,8404.0,Left Defensive Midfield,2,Hoffenheim,175,['dfe65a28-ac40-44ad-b7bb-d6e107c9883f'],0,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.622,Pass,
,,,,,,,,,,,,,,,,,,1.5829,,,,,,,,,,,,,985cc907-1fb6-41a2-9029-88cae7f15a59,8,,,"[61.3, 38.4]",3890389,0,,,,,2.9791706,,Right Foot,,,,"[37.5, 42.3]",Ground Pass,,24.11742,,,,,Fabian Lukas Schär,5537.0,,,,,,1,From Kick Off,Nadiem Amiri,8403.0,Center Attacking Midfield,2,Hoffenheim,175,['316a3000-c5e2-4bb9-aa05-a7d103aaf311'],1,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:01.225,Pass,
,,,,,,,,,,,,,,,,,,2.498697,,,,,,,,,,,,,f6f8e914-64d4-4428-bd6d-9bca73e5fdfb,11,,,"[41.0, 41.9]",3890389,0,,,,,-0.41253388,,Right Foot,,,,"[83.5, 23.3]",High Pass,,46.39192,,,,,Kevin Volland,8215.0,,,,,,1,From Kick Off,Fabian Lukas Schär,5537.0,Right Center Back,2,Hoffenheim,175,['19fb9560-f007-4fef-9987-a2f7e179c9c8'],3,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:03.812,Pass,
,,,,,,,,,,,,,,,,,,3.393499,,,,,,,,,,,,,d57690dc-f30f-492f-9447-04e011424752,14,,,"[84.0, 23.3]",3890389,0,,,,True,-0.29047704,,,,,,"[112.1, 14.9]",Low Pass,,29.328655,,,,,Steven Zuber,5548.0,,,,,,1,From Kick Off,Kevin Volland,8215.0,Center Forward,2,Hoffenheim,175,"['0ba99b79-6275-4908-b1cd-761ac01d27f2', '7151eee5-8b6f-454d-91e7-03c52bce23a8']",6,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:06.351,Pass,True
