ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,88c16234-9a1b-4316-8684-ad50fd6a9004,1,,,3890446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 8237, 'name': 'Paul Verhaegh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8319, 'name': 'Philipp Max'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8318, 'name': 'Jeffrey Gouweleeuw'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 26790, 'name': 'Piotr Trochowski'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 30}, {'player': {'id': 8807, 'name': 'Raúl Marcelo Bobadilla'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a6e18bbb-432c-4edd-b03c-4729b0ca072d,2,,,3890446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19295, 'name': 'Philipp Lahm'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 15651, 'name': 'Juan Bernat Velasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8218, 'name': 'Arjen Robben'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5837, 'name': 'Douglas Costa de Souza'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,69d77a2b-5b56-4777-934a-0965614cf96a,3,,,3890446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['be896b50-593c-4a5d-8796-a22dfab56104'],0,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,be896b50-593c-4a5d-8796-a22dfab56104,4,,,3890446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['69d77a2b-5b56-4777-934a-0965614cf96a'],0,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9587e56d-4275-4149-b7c9-0f5c890f6fb4,1961,,,3890446,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Bayern Munich,169,['625dfd42-a534-490a-a91d-bbf88ece9de5'],0,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,625dfd42-a534-490a-a91d-bbf88ece9de5,1962,,,3890446,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Bayern Munich,169,['9587e56d-4275-4149-b7c9-0f5c890f6fb4'],0,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.727394,,,,,,,,,,,,9b8b489b-1a80-4828-bf8e-1205753cdb3a,5,,"[60.0, 40.0]",3890446,0,,,,,0.9964915,,Right Foot,,,,"[61.1, 41.7]",,Ground Pass,,2.0248456,,,,,Raúl Marcelo Bobadilla,8807.0,,,,,Kick Off,1,From Kick Off,Piotr Trochowski,26790.0,Center Attacking Midfield,2,Augsburg,172,['89e4005b-d7e5-48e8-b920-9a123ee9782c'],0,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.524,Pass,
,,,,,,,,,,,,,,,1.178052,,,,,,,,,,,,ecfe077f-f966-4ae2-ae97-a39deb88410e,8,,"[57.8, 41.7]",3890446,0,,,,,3.1111143,,Right Foot,,,,"[41.4, 42.2]",,Ground Pass,,16.40762,,,,,Dominik Kohr,8207.0,,,,,,1,From Kick Off,Raúl Marcelo Bobadilla,8807.0,Center Forward,2,Augsburg,172,['40055aab-274e-41dc-81a0-6faa9258b5d6'],1,,,,,,,,,,,,,,,,Augsburg,172,00:00:01.420,Pass,
,,,,,,,,,,,,,,,1.264569,,,,,,,,,,,,ccb1e214-02e2-4e96-89ae-1a6b4e4d3272,11,,"[36.1, 38.5]",3890446,0,,,,,-2.2318394,,Right Foot,,,,"[28.4, 28.6]",,Ground Pass,,12.541929,,,,,Ragnar Klavan,4174.0,,,,,,1,From Kick Off,Dominik Kohr,8207.0,Right Defensive Midfield,2,Augsburg,172,['eb0f6e2f-8674-4164-81e3-569e49349301'],3,,,,,,,,,,,,,,,,Augsburg,172,00:00:03.610,Pass,
,,,,,,,,,,,,,,,2.685307,,,,,,,,,,,,d4d10983-37e8-4627-8524-20ebd2ab83e7,14,,"[26.4, 29.9]",3890446,0,,,,,2.6170185,,Left Foot,,,,"[8.6, 40.2]",,Ground Pass,,20.565262,,,,,Marwin Hitz,8314.0,,,,,,1,From Kick Off,Ragnar Klavan,4174.0,Left Center Back,2,Augsburg,172,['c9d283e8-77e0-4f09-9f0c-97d863749398'],5,,,,,,,,,,,,,,,,Augsburg,172,00:00:05.755,Pass,
