50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d06c223e-15b1-41df-aff8-49fba7431529,1,,,3890337,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8560, 'name': 'René Adler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 8316, 'name': 'Dennis Diekmeier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8302, 'name': 'Nicolai Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8308, 'name': 'Aaron Hunt'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8895, 'name': 'Pierre-Michel Lasogga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,824fe2c2-2317-43eb-9acf-62b312af5aac,2,,,3890337,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15581, 'name': 'Bernd Leno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8549, 'name': 'Giulio Donati'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8313, 'name': 'Kyriakos Papadopoulos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20415, 'name': 'Sebastian Boenisch'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8573, 'name': 'Ömer Toprak'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8805, 'name': 'Christoph Kramer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8213, 'name': 'Karim Bellarabi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 38}, {'player': {'id': 5555, 'name': 'Julian Brandt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 3058, 'name': 'Javier Hernández Balcázar'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 11394, 'name': 'Stefan Kießling'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,495eed9d-9eca-4964-978d-11190b5a8146,3,,,3890337,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,['b448e970-a07a-4f10-a1de-c942bbb1be05'],0,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b448e970-a07a-4f10-a1de-c942bbb1be05,4,,,3890337,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,['495eed9d-9eca-4964-978d-11190b5a8146'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f3e0b31e-245c-4586-b566-21f2f356ef8c,1510,,,3890337,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,97,Hamburger SV,171,['eca08d23-4925-4cec-8fa8-3f9383971c0e'],0,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eca08d23-4925-4cec-8fa8-3f9383971c0e,1511,,,3890337,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,97,Hamburger SV,171,['f3e0b31e-245c-4586-b566-21f2f356ef8c'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.871301,,,,,,,,,,,,,9f4e6b29-ab33-471b-843a-60ac694929f3,5,,"[60.0, 40.0]",3890337,0,,,,0.48447794,,Right Foot,,,"[61.9, 41.0]",Ground Pass,,2.1470912,,,Javier Hernández Balcázar,3058.0,,,,,,Kick Off,1,From Kick Off,Stefan Kießling,11394.0,Left Center Forward,2,Bayer Leverkusen,904,['042f525a-70bd-4d47-892c-d61348975b89'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.861,Pass,
,,,,,,,,,,,,,,,,,,,2.262197,,,,,,,,,,,,,88d7e3e3-9218-4d00-9651-e561620543fe,8,,"[63.0, 44.0]",3890337,0,,,,1.5112641,,Right Foot,,,"[64.8, 74.2]",Low Pass,,30.253595,,,Giulio Donati,8549.0,,,,,,,1,From Kick Off,Javier Hernández Balcázar,3058.0,Right Center Forward,2,Bayer Leverkusen,904,['e22afdcd-f953-49bc-ae4c-0d39abe1a426'],2,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:02.415,Pass,
,,,,,,,,,,,,,,,,,,,0.723851,,,,,,,,,,,,,f4a3ebc5-3141-43cb-a425-fb3cd5db6d55,12,,"[69.6, 76.7]",3890337,0,,,,-0.5191461,,Right Foot,,,"[78.7, 71.5]",Ground Pass,,10.480935,,,Karim Bellarabi,8213.0,,,,,,,1,From Kick Off,Giulio Donati,8549.0,Right Back,2,Bayer Leverkusen,904,"['2097c0dd-e80d-472f-bab9-5e20bd825564', 'f597dd36-8d26-4420-af4b-d17602bc2aa0']",6,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:06.349,Pass,True
,,,,,,,,,,,,,,,,,,,1.181563,,,,,,,,,,,,,a133a68b-46f7-4b07-85d3-fa29cb799161,14,,"[78.7, 71.5]",3890337,0,,,,-1.9860237,,Right Foot,,,"[74.6, 62.2]",Ground Pass,,10.163661,Incomplete,,,,,,,,,,1,From Kick Off,Karim Bellarabi,8213.0,Right Midfield,2,Bayer Leverkusen,904,['345aab99-04b9-4ebf-9582-fa303ce7bafb'],7,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:07.073,Pass,
